CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Outras_Caracteristicas_Relevantes;Area;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
00.868.235/0001-08;2024-03-31;1;Rua Primeiro de Janeiro, 100;Terreno;3950;1;0
00.868.235/0001-08;2024-06-30;1;Rua Primeiro de Janeiro, 100;Terreno;3950;1;0
00.868.235/0001-08;2024-09-30;1;Rua Primeiro de Janeiro, 100;Terreno;3950;1;0
00.868.235/0001-08;2024-12-31;1;Rua Primeiro de Janeiro, 100;Terreno;3950;1;0
01.235.622/0001-61;2024-03-28;1;Av. Vereador Hermínio Moreira - Itaboraí, RJ;Itaboraí;20000;0.003119;0
01.235.622/0001-61;2024-03-28;1;Rodovia Darly Santos - Vila Velha - ES;Green Village;477000;0.173078;0.001042
01.235.622/0001-61;2024-03-28;1;Praia Rasa, Búzios - RJ;Aretê - Toriba I;11537;0;0
01.235.622/0001-61;2024-03-28;1;Praia Rasa, Búzios - RJ;Aretê - Toriba Oeste;15039;0.035082;4.7E-05
01.235.622/0001-61;2024-03-28;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase I;20471;0.144026;-0.001132
01.235.622/0001-61;2024-03-28;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase II;5274;0.025738;1.3E-05
01.235.622/0001-61;2024-03-28;1;Praia Rasa, Búzios - RJ;ARETÊ - TORIBA SUL;6287.47;0.02471;0
01.235.622/0001-61;2024-03-28;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase III;4229;0.033838;-0.00133
01.235.622/0001-61;2024-03-28;1;Praia Rasa, Búzios - RJ;Aretê - Vista Ybirá;3870.28;0.094101;0.000864
01.235.622/0001-61;2024-03-28;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase IV;4349;0.04125;3.9E-05
01.235.622/0001-61;2024-03-28;1;Rua José Higino n° 416 - Tijuca, RJ;Homem de Melo - Tijuca;9430;0;0
