CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
13.320.290/0001-00;2024-03-28;1;Av. Francisco Roveri, Gleba "A-1F" - Bairro do Varjão - Jundiai - São Paulo;108557;Matirculas: 169.491, 169.492 e 169.493;1;0.109631
13.320.290/0001-00;2024-09-30;1;Gleba A10,  situada na Fazenda Grandeou Bracaiúva de Criar, ou ainda São Bento de Bracaiúva, no Município e comarca deJundia - São Paulo;27093.3;142.882_TERRENO JUNDIAÍ-A10;1;0
13.320.290/0001-00;2024-12-31;1;Gleba A10,  situada na Fazenda Grandeou Bracaiúva de Criar, ou ainda São Bento de Bracaiúva, no Município e comarca deJundia - São Paulo;27093.3;142.882_TERRENO JUNDIAÍ-A10;1;0
13.598.226/0001-88;2024-03-31;1;AV VEREADOR JOAO DE LUCA, 749;244.2;ID 337 MATRICULA 76.709;1;0.0109
13.598.226/0001-88;2024-06-30;2;LUCAS N GARCEZ, 320;255.15;ID 197 MATRICULA 52.114;1;0.0047
13.598.226/0001-88;2024-06-30;2;LUCAS N GARCEZ, 310;303.07;ID 199 MATRICULA 85.732;1;0.0057
13.598.226/0001-88;2024-06-30;2;RUA CALIFORNIA, 1381;5417;ID 213 MATRICULA 134.796;1;0.0001
13.598.226/0001-88;2024-06-30;2;AV J R MARINHO;204;ID 223 MATRICULA 92.477;1;0.0138
13.598.226/0001-88;2024-06-30;2;RUA BRAMMER NETTO, 14;232;ID 72 MATRICULA 107.639;1;0.0159
13.598.226/0001-88;2024-09-30;1;RUA NIAGARA, 51;225;ID 214 MATRICULA 275.088;1;0.0065
13.598.226/0001-88;2024-09-30;1;AV J. MARINHO;95;ID 74 MATRICULA 77.654;1;0.0028
13.598.226/0001-88;2024-09-30;1;AV J. MARINHO;90;ID 75 MATRICULA 77.673;1;0.0029
13.598.226/0001-88;2024-09-30;1;RUA NIAGARA, 59;310;ID 97 MATRICULA 85.449;1;0.0087
13.598.226/0001-88;2024-12-31;1;RUA OSCAR GOMES CARDIM;872;ID 100 MATRICULA 135708;0.0166;0.011
13.598.226/0001-88;2024-12-31;1;RUA GENERAL GLICERIO, 191;1211.55;ID 121 MATRICULA 94073;0.0078;0.0078
13.598.226/0001-88;2024-12-31;1;PERNAMBUCO, 14;1280;ID 151 MATRICULAS 50772 E 50773;0.0076;0.005
13.598.226/0001-88;2024-12-31;1;ROD WALDOMIRO CORREA KM 58;48110;ID 166 MATRICULA 92730;0.0445;0.0295
