CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
01.601.918/0001-59;2024-12-31;1;Eusébio Matoso;Av Eusébio Matoso nº 891 - São Paulo - SP;2024-12-13;5279.94;6;N/A;0.917959;0.809455
07.000.400/0001-46;2024-06-30;1;Sede I - Brasilia;Sbs Quadra 1 Bloco E Lote 24, S/n, Sem Complemento, Asa Sul, Brasilia/DF, Brasil, 70072-900;2024-06-05;46175.4;1;Nenhuma caracterítica que destoe das demais;0.76270251077733;0.76270251077733
07.000.400/0001-46;2024-06-30;1;Sede I - Antenas;Sbs Quadra 1, S/n, Sem Complemento, Asa Sul, Brasilia/DF, Brasil, 70072-900;2024-06-05;40.4;1;Nenhuma caracterítica que destoe das demais;0.00279908398906;0.00279908398906
08.098.114/0001-28;2024-06-28;1;Loja - Nova Iguaçu;Cidade de Nova Iguaçu, Rio de Janeiro, na Avenida Nilo Peçanha, 176 e 186;2024-04-15;4457.25;1;Direito de propriedade;0.0312;0.0306
08.098.114/0001-28;2024-09-30;1;Loja - Shopping Goiânia;Cidade de Goiânia, Goiás, na Avenida T-10, 1.300;2024-07-29;2400;1;Não há;0.0233;0.0219
08.098.114/0001-28;2024-12-31;1;Loja - Centro E Call Center;Cidade de São Paulo, São Paulo, na Av. São João, 455 e Rua 24 de Maio, 70/90;2024-11-26;6654.76;1;Não há;0.0339;0.0317
08.417.532/0001-30;2024-09-30;1;Posto Salvador;Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia;2024-07-15;7000;1;N/A;0.011896;0.03829
08.417.532/0001-30;2024-12-31;1;Posto Araucária;Rod do Xisto BR-476, Km. 16,5, n° 3.105 - Araucária/ Paraná;2024-12-23;15000;1;N/A;0.00373734755924496;0.00753402981288241
08.417.532/0001-30;2024-12-31;1;Posto BH - Amazonas;Avenida Amazonas, nº 8.555 - Belo Horizonte/Minas Gerais;2024-12-30;1787.27;1;N/A;0.00979507839443723;0.025830959358454
08.431.747/0001-06;2024-03-31;1;I Fashion Outlet;BR-116, 236 - Rio Branco, Novo Hamburgo - RS;2024-02-08;;;Fração ideal de 10,625% do imóvel.;0.00807;0.008612
