CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
03.855.441/0001-63;2024-03-31;1;Vitória;Arrend Mercantil Financeiro;109137346.21
03.855.441/0001-63;2024-03-31;1;Santos;Arrend Mercantil Financeiro;361154722.72
03.855.441/0001-63;2024-03-31;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;76517888.31
03.855.441/0001-63;2024-06-30;1;Vitória;Arrend Mercantil Financeiro;113265851.54
03.855.441/0001-63;2024-06-30;1;Santos;Arrend Mercantil Financeiro;371719218.06
03.855.441/0001-63;2024-06-30;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;82617173.67
03.855.441/0001-63;2024-09-30;1;Vitória;Arrend Mercantil Financeiro;117047496.08
03.855.441/0001-63;2024-09-30;1;Santos;Arrend Mercantil Financeiro;380955510.04
03.855.441/0001-63;2024-09-30;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;88491213.6
03.855.441/0001-63;2024-12-31;1;Vitória;Arrend Mercantil Financeiro;63128720.2
03.855.441/0001-63;2024-12-31;1;Santos;Arrend Mercantil Financeiro;375860924.29
03.855.441/0001-63;2024-12-31;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;117877250.17
08.417.532/0001-30;2024-03-31;1;Bapon;Arrendamento Mercantil Financeiro;95084176.69
08.417.532/0001-30;2024-03-31;1;Basul;Arrendamento Mercantil Financeiro;190162388.74
08.417.532/0001-30;2024-06-30;1;Bapon;Arrendamento Mercantil Financeiro;98024942.51
08.417.532/0001-30;2024-06-30;1;Basul;Arrendamento Mercantil Financeiro;201230164.67
08.417.532/0001-30;2024-09-30;1;Bapon;Arrendamento Mercantil Financeiro;100058964.98
08.417.532/0001-30;2024-09-30;1;Basul;Arrendamento Mercantil Financeiro;211295252.88
08.417.532/0001-30;2024-12-31;1;Bapon;Arrendamento Mercantil Financeiro;103555179.74
08.417.532/0001-30;2024-12-31;1;Basul;Arrendamento Mercantil Financeiro;224463470.44
13.568.181/0001-07;2024-03-31;1;Terreno - Estrada da Lama Preta, 2705 - Rio de Janeiro;Direito Real de Uso de Superfície - DUS a ser amortizado até 2027 - Valor da Cessão R$ 10 MM - valor já amortizado de R$ 6.525.925,93;3307407.42
13.568.181/0001-07;2024-03-31;1;Terreno - Rod Anhaguera,Km 106, Jd São Judas Tadeu-Sumaré-SP;Direito Real de Uso de Superfície - DUS - a ser amortizado ate 2023 - Valor da Cessão R$ 50 mil - valor já amortizado R$ 42.433,08;6412493.51
13.584.584/0001-31;2024-03-31;1;Cemitério Morumby;131 Jazigos;1690000
13.584.584/0001-31;2024-03-31;1;Cemitério Morumby;943 Jazigos;14616500
13.584.584/0001-31;2024-03-31;1;Cemitério Morumby;1799 Jazigos;28190700
13.584.584/0001-31;2024-06-30;1;Cemitério Morumby;131 Jazigos;3173820
13.584.584/0001-31;2024-06-30;1;Cemitério Morumby;943 Jazigos;23022402
13.584.584/0001-31;2024-06-30;1;Cemitério Morumby;1799 Jazigos;43041882
13.584.584/0001-31;2024-09-30;1;Cemitério Morumby;131 Jazigos;3173820
13.584.584/0001-31;2024-09-30;1;Cemitério Morumby;943 Jazigos;23022402
13.584.584/0001-31;2024-09-30;1;Cemitério Morumby;1799 Jazigos;43041882
13.584.584/0001-31;2024-12-31;1;Cemitério Morumby;131 Jazigos;3173820
13.584.584/0001-31;2024-12-31;1;Cemitério Morumby;943 Jazigos;23022402
13.584.584/0001-31;2024-12-31;1;Cemitério Morumby;1799 Jazigos;43041882
15.576.907/0001-70;2024-03-31;1;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;7056788.5
15.576.907/0001-70;2024-03-31;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;19160088.39
15.576.907/0001-70;2024-03-31;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;49897875.39
15.576.907/0001-70;2024-03-31;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;54360897.97
15.576.907/0001-70;2024-06-30;2;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;7840788.27
15.576.907/0001-70;2024-06-30;2;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;19160088.39
15.576.907/0001-70;2024-06-30;2;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;49897875.39
15.576.907/0001-70;2024-06-30;2;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;54360897.97
15.576.907/0001-70;2024-09-30;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;19160088.39
15.576.907/0001-70;2024-09-30;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;49897875.39
15.576.907/0001-70;2024-09-30;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;54360897.97
15.576.907/0001-70;2024-12-31;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;19160088.39
15.576.907/0001-70;2024-12-31;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;49897875.39
15.576.907/0001-70;2024-12-31;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;54360897.97
16.543.270/0001-89;2024-03-28;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI;3000000
16.543.270/0001-89;2024-03-28;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2024-03-28;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2024-03-28;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2024-03-28;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
16.543.270/0001-89;2024-06-28;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI;3000000
16.543.270/0001-89;2024-06-28;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2024-06-28;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2024-06-28;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2024-06-28;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
16.543.270/0001-89;2024-09-30;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI;3000000
16.543.270/0001-89;2024-09-30;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2024-09-30;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2024-09-30;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2024-09-30;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
16.543.270/0001-89;2024-12-31;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI;3000000
16.543.270/0001-89;2024-12-31;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2024-12-31;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2024-12-31;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2024-12-31;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
16.671.412/0001-93;2024-03-31;1;Galpão Contagem;Direitos de usufruto imóvel de Contagem - MG;103666657.42
16.671.412/0001-93;2024-06-30;1;Galpão Contagem;Direitos de usufruto imóvel de Contagem - MG;101523129.547965
16.671.412/0001-93;2024-09-30;1;Galpão Contagem;Direitos de usufruto imóvel de Contagem - MG;99356046.61
16.671.412/0001-93;2024-12-31;1;Galpão Contagem;Direitos de usufruto imóvel de Contagem - MG;97188963.58
16.685.929/0001-31;2024-03-31;1;LA SHOPPING CENTERS S.A.;Gestão e administração da propriedade imobiliária/Holdings de instituições não-financeiras;626253.395352416
26.269.251/0001-60;2024-03-28;1;MAQUINARIO;MAQUINARIO;33041000
26.269.251/0001-60;2024-06-28;1;MAQUINARIO;MAQUINARIO;33041000
26.269.251/0001-60;2024-09-30;2;MAQUINARIO;MAQUINARIO;33041000
26.269.251/0001-60;2024-12-31;1;MAQUINARIO;MAQUINARIO;33041000
26.452.053/0001-37;2024-09-30;1;MAQUINARIO;MAQUINARIO;33041000
27.486.542/0001-72;2024-03-31;2;Viracopos;Galpão na Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP;313683751.1
27.486.542/0001-72;2024-06-30;1;Viracopos;Galpão na Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP;314168751.09
27.486.542/0001-72;2024-09-30;1;Viracopos;Galpão na Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP;314168751.09
27.486.542/0001-72;2024-12-31;1;Viracopos;Galpão na Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP;316630508.87
29.242.809/0001-01;2024-03-31;2;CAXANGA;DIREITO DE SUBSCRIÇÃO;13817947
29.242.809/0001-01;2024-06-30;2;CAXANGA;DIREITO DE SUBSCRIÇÃO;13817947
29.242.809/0001-01;2024-09-30;1;CAXANGA;DIREITO DE SUBSCRIÇÃO;13817947
29.242.809/0001-01;2024-12-31;1;CAXANGA;DIREITO DE SUPERFICIE;13817947
29.267.567/0001-00;2024-03-31;1;Sala Comercial;Sala Comercial - EDIFÍCIO GAUDÍ - N° 61 - MAT - 179.771;433000
29.267.567/0001-00;2024-03-31;1;Sala Comercial;Sala Comercial - EDIFÍCIO GAUDÍ - N° 71 - MAT - 179.776;433000
29.267.567/0001-00;2024-06-30;1;Sala Comercial;Sala Comercial - EDIFÍCIO GAUDÍ - N° 61 - MAT - 179.771;433000
29.267.567/0001-00;2024-06-30;1;Sala Comercial;Sala Comercial - EDIFÍCIO GAUDÍ - N° 71 - MAT - 179.776;433000
29.267.567/0001-00;2024-09-30;1;Sala Comercial;Sala Comercial - EDIFÍCIO GAUDÍ - N° 61 - MAT - 179.771;433000
29.267.567/0001-00;2024-09-30;1;Sala Comercial;Sala Comercial - EDIFÍCIO GAUDÍ - N° 71 - MAT - 179.776;433000
29.267.567/0001-00;2024-12-31;1;Sala Comercial;Sala Comercial - EDIFÍCIO GAUDÍ - N° 61 - MAT - 179.771;433000
29.267.567/0001-00;2024-12-31;1;Sala Comercial;Sala Comercial - EDIFÍCIO GAUDÍ - N° 71 - MAT - 179.776;433000
30.816.679/0001-52;2024-06-28;1;STUSABIA;214 unidades studios no projeto Casa Sabiá localizado na Av. Sabiá, 598 - Moema - São Paulo (em construção);32550503.08
30.816.679/0001-52;2024-09-30;1;STUSABIA;214 unidades studios no projeto Casa Sabiá localizado na Av. Sabiá, 598 - Moema - São Paulo (em construção);40261065.12
31.373.514/0001-16;2024-03-28;1;CLASSIC BOLL;X;762000
31.373.514/0001-16;2024-03-28;1;ROTTEDAM;;4365000
31.373.514/0001-16;2024-03-28;1;VILA DE ÉVORA;;2075000
31.373.514/0001-16;2024-06-28;1;CLASSIC BOLL;X;762000
31.373.514/0001-16;2024-06-28;1;ROTTEDAM;;4365000
31.373.514/0001-16;2024-06-28;1;VILA DE ÉVORA;;2075000
31.524.769/0001-32;2024-03-28;1;CUSTO DA OBRA;Custo da obra do ELEVSHOP KODY;5174362.19
31.524.769/0001-32;2024-06-28;1;CUSTO DA OBRA;Custo da obra do ELEVSHOP KODY;5174362.19
31.524.769/0001-32;2024-09-30;1;CUSTO DA OBRA;Custo da obra do ELEVSHOP KODY;5174362.19
31.524.769/0001-32;2024-12-31;1;CUSTO DA OBRA;Custo da obra do ELEVSHOP KODY;5174362.19
31.524.789/0001-03;2024-03-28;1;CUSTO DA OBRA;;363739500
31.524.789/0001-03;2024-06-28;1;CUSTO DA OBRA;;364815500
31.524.789/0001-03;2024-09-30;1;csuto da obra;;364815500
31.524.789/0001-03;2024-12-31;1;csuto da obra;;399200000
32.317.313/0001-64;2024-03-28;1;DIREITO DE PARTICIPAÇÃO - JOAQUIM GUARANI;Participação através de permuta financeira;21751434.44
32.317.313/0001-64;2024-06-28;1;DIREITO DE PARTICIPAÇÃO - JOAQUIM GUARANI;Participação através de permuta financeira;21770868.85
32.317.313/0001-64;2024-09-30;1;DIREITO DE PARTICIPAÇÃO - JOAQUIM GUARANI;Participação através de permuta financeira;21655641.15
32.317.313/0001-64;2024-12-31;1;DIREITO DE PARTICIPAÇÃO - JOAQUIM GUARANI;Participação através de permuta financeira;21703491.39
33.701.887/0001-02;2024-03-31;1;Fazenda Tupã;;15181000.01
33.701.887/0001-02;2024-03-31;1;Parque Eldorado - Lote 01, 02 e 03 Qd 9;;9123999.98
33.701.887/0001-02;2024-03-31;1;Terra Nova - Lote 02 Qd 02;;7945000.03
33.701.887/0001-02;2024-06-30;1;Fazenda Tupã;;15181000.01
33.701.887/0001-02;2024-06-30;1;Parque Eldorado - Lote 01, 02 e 03 Qd 9;;9123999.98
33.701.887/0001-02;2024-06-30;1;Terra Nova - Lote 02 Qd 02;;7945000.03
33.701.887/0001-02;2024-09-30;1;Fazenda Tupã;;15181000.01
33.701.887/0001-02;2024-09-30;1;Parque Eldorado - Lote 01, 02 e 03 Qd 9;;9123999.98
33.701.887/0001-02;2024-09-30;1;Terra Nova - Lote 02 Qd 02;;7945000.03
33.701.887/0001-02;2024-12-31;1;Fazenda Tupã;;15181000.01
33.701.887/0001-02;2024-12-31;1;Parque Eldorado - Lote 01, 02 e 03 Qd 9;;9123999.98
33.701.887/0001-02;2024-12-31;1;Terra Nova - Lote 02 Qd 02;;7945000.03
36.501.128/0001-86;2024-03-31;2;FAZ ROMA - TO;Aquisição de Participação da empresa ECO BRASIL FLORESTAS S.A., referente as propriedades: Bela Vista I, Bela Vista II, Bom Jesus, Cachoeira - Lote 1, Cachoeira - Lote 2, Caititu, Estância Córdoba, Feio, Lontra, Pitanga, União I, União II, União III, Vai Quem Quer, Vitória, Vitória II e Capivara com as suas respectivas matrículas 640, 641, 455, 457, 456, 458, 586, 446, 459, 454, 507, 508, 442, 644, 585, 610 e 464 do CRI de Tupiratins-TO. A área total das propriedades é de 13.764,06 hectares.;40000000
36.501.128/0001-86;2024-06-30;1;FAZ ROMA - TO;Aquisição de Participação da empresa ECO BRASIL FLORESTAS S.A., referente as propriedades: Bela Vista I, Bela Vista II, Bom Jesus, Cachoeira - Lote 1, Cachoeira - Lote 2, Caititu, Estância Córdoba, Feio, Lontra, Pitanga, União I, União II, União III, Vai Quem Quer, Vitória, Vitória II e Capivara com as suas respectivas matrículas 640, 641, 455, 457, 456, 458, 586, 446, 459, 454, 507, 508, 442, 644, 585, 610 e 464 do CRI de Tupiratins-TO. A área total das propriedades é de 13.764,06 hectares.;40000000
