CNPJ_Fundo;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
31.469.385/0001-64;2020-06-30;1;Avenida Europa, 105 - Jardim Paulista;148.36;Unidade 202;0.000621;0.2919
31.469.385/0001-64;2020-06-30;1;Avenida Europa, 105 - Jardim Paulista;240.38;Unidade 203;0.001006;0.473
31.469.385/0001-64;2020-06-30;1;Avenida Europa, 105 - Jardim Paulista;148.36;Unidade 204;0.000621;0.2919
31.469.385/0001-64;2020-06-30;1;Avenida Europa, 105 - Jardim Paulista;290.63;Unidade 209;0.001217;0.5719
31.469.385/0001-64;2020-06-30;1;Avenida Europa, 105 - Jardim Paulista;254.76;Unidade 210;0.001067;0.5014
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;157.42;Unidade 102;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;310.43;Unidade 103;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;159.18;Unidade 104;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;438.02;Unidade 109;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;239.64;Unidade 201;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;148.36;Unidade 202;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;240.38;Unidade 203;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;148.36;Unidade 204;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;290.63;Unidade 209;0;0
31.469.385/0001-64;2020-12-31;2;Avenida Europa, 105 - Jardim Paulista;254.76;Unidade 210;0;0
31.962.875/0001-06;2020-12-31;1;Rodovia Raposo Tavares SP-270, Bairro do Moinho Velho, Cotia/SP;800000;Direito de propriedade;0.028866;0.026047
33.842.871/0001-01;2020-03-31;1;Rua 1, nº 46, Sítio Recanto dos Boiadeiros, Recanto da Colina, Itapetinga/Ba;36036.2;Residencial Itapetinga - Mat 6979;0.027518;0.022537
34.895.711/0001-93;2020-09-30;1;ALPHAVILLE BAURU;267218;Direito de propriedade;0.058213;0.04357
34.895.711/0001-93;2020-12-31;1;Alphaville Nova Esplanada Nº 17 Lote Ab3 - Bairro do Vossoroca, com frente para a Rua Oito - Votorantim/SP;495.12;Direito de propriedade;0.019855;0.115654
34.895.711/0001-93;2020-12-31;1;Alphaville Nova Esplanada Nº 09 Quadra S4 - Bairro do Vossoroca, com frente para a Rua Oito - Votorantim/SP;521.03;Direito de propriedade;0.0191145;0.111339
34.895.711/0001-93;2020-12-31;1;Alphaville Nova Esplanada Nº 12 Quadra U4 - Bairro do Vossoroca, com frente para a Rua Oito - Votorantim/SP;473.97;Direito de propriedade;0.020849;0.121443
34.895.752/0001-80;2020-12-31;1;R. Alves Guimarães - Pinheiros São Paulo - SP;1220.2;Direito de propriedade;0.163826;0.1613
34.895.752/0001-80;2020-12-31;1;Rua Martins - São Paulo - SP;418.5;Direito de propriedade;0.195697;0.1927
34.895.752/0001-80;2020-12-31;1;Rua Ministro Ferreira Alves - Pompéia São Paulo - SP;1294;Direito de propriedade;0.243127;0.2395
34.895.752/0001-80;2020-12-31;1;Av. Santo Amaro, 3576 / 3586 / 3600 / 3608 Av. Padre Antônio José dos Santos, 42 e Rua acucaim, 31 / 43;1725.48;Direito de propriedade;0.39735;0.3914
36.098.375/0001-83;2020-06-30;1;Avenida dos Alecrins, 430, Distrito Industrial, Pouso Alegre/MG;53623;Imovel a ser destinado a construcao de fabrica com contrato de locacao assinado na modalidade Built-to-Suit, sujeito ao Art. 54-A da Lei Federal n 8.245/91;;
36.969.658/0001-53;2020-12-31;1;Macaé, Rio de Janeiro;22918;Matrícula 27891;1;
36.969.658/0001-53;2020-12-31;1;Macaé, Rio de Janeiro;20735;Matrícula 27889;1;
