CNPJ_Fundo;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2020-03-31;1;;;;;;;;;0;0;12323219.63;14877898.72;-360518.01;-360518.01;;;;;;;-3276838.61;-2924740.52;8685863.01;11592640.19;;;;;;;;;0;0;8685863.01;11592640.19;92360.12;92360.12;;;;;;;92360.12;92360.12;;;-196572.09;-197515.65;;;-36000;-12000;;;;;;;-48955.5;-48955.5;;;-37101.65;-37101.65;;;-16913.62;-16913.62;;;;;;;;;-25396.96;-25396.96;-360939.82;-337883.38;8417283.31;11347116.93;11347116.93;10779761.0835;;;7308388.8935;-7307421.49;967.4035;0.644075
00.332.266/0001-31;2020-06-30;1;;;;;;;;;0;0;8725512.79;8819197.58;-144674.59;-144674.59;;;;;;;-10179694.45;-9600646.6;-1598856.25;-926123.61;;;;;;;;;0;0;-1598856.25;-926123.61;58135.81;58135.81;;;;;;;58135.81;58135.81;;;-199012.11;-197046.58;;;-36000;;;;;;;;;;;;-23530.53;-23530.53;;;-12993.88;-12993.88;;;;;;;;;-38996.5;-38996.5;-310533.02;-272567.49;-1851253.46;-1140555.29;10206561.64;9696233.558;;;9696233.558;-7314861.64;2381371.918;0.95
00.332.266/0001-31;2020-09-30;2;;;;;;;;;0;0;5574615.16;5670176.26;-158155.74;-158155.74;;;;;;;-6107864.08;-5813217.78;-691404.66;-301197.26;;;;;;;;;0;0;-691404.66;-301197.26;20140.64;20140.64;;;;;;;20140.64;20140.64;;;-214565.71;-208498.5;;;-36000;;;;;;;;;;;;-12029.55;-12029.55;;;-19153.61;-19153.61;;;;;;;-81.18;-81.18;-30066.3;-30066.3;-311896.35;-269829.14;-983160.37;-550885.76;-550885.76;0;;;0;0;0;0
00.332.266/0001-31;2020-12-31;1;0;0;0;0;0;0;0;0;0;0;10977921.81;9285081.45;-95016.81;-95016.81;0;0;0;0;-52320007.5;0;-4236552.32;-5462344.56;-45673654.82;3727720.08;0;0;0;0;0;0;0;0;0;0;-45673654.82;3727720.08;29002.46;29002.46;0;0;0;0;0;0;29002.46;29002.46;;;-214565.7;-212165.3;0;0;-36000;0;0;0;0;0;0;0;-25500;-25500;0;0;-19653.19;-19653.19;0;0;-12407.91;-12407.91;0;0;-11219.54;-5609.77;0;0;-1410.78;-1410.78;-8008.13;-20796.49;-328765.25;-297543.44;-45973417.61;3459179.1;2908293.34;2762878.673;;;2770121.133;-4931.27;2765189.863;0.95249
00.613.094/0001-74;2020-03-31;1;;;;;;;-128541.26;-128541.26;-128541.26;-128541.26;0;;-98590.8;-98590.8;0;0;-446488.2;-239781.86;0;0;5181145.04;0;4636066.04;-338372.66;;;;;;;;;0;0;4507524.78;-466913.92;;;;;;;;;0;0;;;0;;0;;0;;0;;0;;-17499.62;-17499.62;-14679.81;-14679.81;0;;-33238.86;-33238.86;0;;-137089.43;-137354.65;0;;0;;0;;0;;-8086.93;-56601.14;-210594.65;-259374.08;4296930.13;-726288;-726288;0;;;0;0;0;0
00.613.094/0001-74;2020-06-30;1;;;;;;;-128541.26;-128541.26;-128541.26;-128541.26;0;;-98590.8;-98590.8;0;0;-446488.2;-239781.86;0;0;5181145.04;0;4636066.04;-338372.66;;;;;;;;;0;0;4507524.78;-466913.92;;;;;;;;;0;0;;;0;;0;;0;;0;;0;;-17499.62;-17499.62;-14679.81;-14679.81;0;;-33238.86;-33238.86;0;;-137089.43;-137354.65;0;;0;;0;;0;;-8086.93;-56601.14;-210594.65;-259374.08;4296930.13;-726288;-726288;0;;;0;0;0;0
00.613.094/0001-74;2020-09-30;1;;;;;;;-192811.89;-192811.89;-192811.89;-192811.89;0;;-98590.8;-98590.8;0;0;-446488.2;-239781.86;0;0;63085.74;0;-481993.26;-338372.66;;;;;;;;;0;0;-674805.15;-531184.55;;;;;;;;;0;0;;;0;;0;;0;;0;;0;;-17492.24;-17492.24;0;0;0;;-18966.19;-18966.19;0;;0;0;0;;0;;0;;0;;-420158.94;-180949.59;-456617.37;-217408.02;-1131422.52;-748592.57;-726288;0;;;0;0;0;0
00.613.094/0001-74;2020-12-31;1;;;;;;;-128541.26;-76187.8;-128541.26;-76187.8;0;0;-161416.2;-161416.2;0;0;-446488.2;-292135.32;0;0;53351.62;0;-554552.78;-453551.52;;;;;;;;;0;0;-683094.04;-529739.32;;;;;;;;;0;0;;;0;;0;;0;;0;;0;;-19767.96;-19767.96;-41860.97;-20930.49;0;;-18026.38;-18026.38;0;;-263319.8;-263319.8;0;;0;;0;;0;;-189560.78;-71006.84;-532535.89;-393051.47;-1215629.93;-922790.79;-1671383.37;0;;;0;0;0;0
00.762.723/0001-28;2020-03-31;1;;;;;;;;;0;0;3722659.74;3604681.52;-51326.56;-51326.56;;;;;;;-349657.12;-349657.12;3321676.06;3203697.84;;;;;;;;;0;0;3321676.06;3203697.84;18868.98;18868.98;;;;;;;18868.98;18868.98;;;-91620.53;-93091.58;;;;;;;;;;;-16093.3;-16093.3;;;-7007.05;-7007.05;;;-2231;-2231;;;;;;;;;-9783.92;-9783.92;-126735.8;-128206.85;3213809.24;3094359.97;3094359.97;2939641.9715;;17836.09;2957478.0615;-1971652.04;985826.0215;0.955764
00.762.723/0001-28;2020-06-30;1;;;;;;;;;0;0;3663376.34;3624640.39;-108244.64;-108244.64;;;;;;;-308746.79;-308746.79;3246384.91;3207648.96;;;;;;;;;0;0;3246384.91;3207648.96;7242.39;7242.39;;;;;;;7242.39;7242.39;;;-91721.7;-91518.09;;;;;;;;;;;-2401.24;-2401.24;;;-7190.6;-7190.6;;;0;0;;;-2520;-2520;;;-42.1;-42.1;-30106.18;-30106.18;-133981.82;-133778.21;3119645.48;3081113.14;6175473.11;5866699.4545;;0;5914956.1245;-4929130.1;985826.0245;0.957814
