CNPJ_Fundo;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
01.235.622/0001-61;2020-03-31;1;Sete De Setembro N° 155;Multa por atraso superior.
01.235.622/0001-61;2020-03-31;1;Travessa Do Ouvidor, 9;Multa por atraso superior.
01.235.622/0001-61;2020-03-31;1;Uruguaiana 76;Multa por atraso superior.
01.235.622/0001-61;2020-03-31;1;Uruguaiana 78;Multa por atraso superior, prazo contratual maior e devolução de desconto em caso de rescisão antecipada
01.235.622/0001-61;2020-06-30;3;Av. Mem De Sá;Multa por atraso maior e isenção de multa de rescisão com aviso prévio de 3 meses.
01.235.622/0001-61;2020-06-30;3;Barão De Mesquita 164;Prazo contratual superior, obras de adequação realizadas pelo Locador com majoração do valor do aluguel.
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;Índice de reajuste pelo IGP-DI em um dos contratos. Contratos com isenção de multa por rescisão a partir de determinado tempo transcorrido. Um dos contratos sem a apresentação de garantia.
01.235.622/0001-61;2020-06-30;3;Carioca;Multa por atraso superior. Obrigação e Responsabilidade do Locatário em adequações e manutenções específicas nos imóveis.
01.235.622/0001-61;2020-06-30;3;Cesbon;Contrato com garantia de permanência por todo o prazo contratual, sob pena de pagamento a título de multa dos meses em aberto em caráter imediato. Garantia hipotecária.
01.235.622/0001-61;2020-06-30;3;Città América;Contratos com garantia de permanência por prazo determinado sob pena de pagamento de multa referente ao restante do prazo determinado e aviso de rescisão superior a 30 dias. Contratos com isenção de multa a partir de determinado período. Contratos com isenção de garantia e garantia mediante depósito. Um dos contratos com índice de reajuste pelo IPCA e prazo inferior aos 60 meses.
01.235.622/0001-61;2020-06-30;3;Città Office;Isenção de multa de rescisão a partir de determinado prazo, desde que realizado aviso prévio de 180 dias. Multa por atraso superior a 2%. Impossibilidade de alienar o imóvel a terceiros, enquanto não averbada a locação a menos que se obtenha do futuro comprador a garantia de que o contrato será cumprido, sob pena de pagamento de multa em caso de não cumprimento que resulte a saída do Locatário antes do término do contrato.
01.235.622/0001-61;2020-06-30;3;Conde de Bonfim, 149;Multa por atraso maior e data para pagamento de aluguel diferente.
01.235.622/0001-61;2020-06-30;3;Dom Gerado. 46;Prazos menores e maiores a 60 meses, Multa para o Locador em caso de extinção do usufruto durante a vigência do contrato. Isenção de garantia.
