CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2020-03-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57017;209;Shopping Center;0.04774;0.17;0.990940488435521;;;;;;;
00.332.266/0001-31;2020-06-30;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57000;212;Shopping Center;0.0464210526315789;0.6719;0.978006;;;;;;;
00.332.266/0001-31;2020-09-30;2;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57000;213;Shopping Center;0.069544;0.1738;0.954537651599322;;;;;;;
00.332.266/0001-31;2020-12-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57000;213;Shopping Center;0.059561;0.2058;0.982453;;;;;;;
00.762.723/0001-28;2020-03-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45450;1;Imóvel Comercial;0.0954;0;0.996693;;;;;;;
00.762.723/0001-28;2020-06-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45450;1;Imóvel Comercial;0.0954;0;0.997312;;;;;;;
00.762.723/0001-28;2020-09-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45450;1;Imóvel Comercial;0.0954;0;0.998598;;;;;;;
00.762.723/0001-28;2020-12-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45450;1;Imóvel Comercial;0.58;0;0.997651;;;;;;;
00.868.235/0001-08;2020-03-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.163911717598346;;;;;;;
00.868.235/0001-08;2020-03-31;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.0406740957061066;0.834399764492735;;;;;;;
00.868.235/0001-08;2020-06-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.163468;;;;;;;
00.868.235/0001-08;2020-06-30;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.0406740957061066;0.832141;;;;;;;
00.868.235/0001-08;2020-09-30;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.0406740957061066;0.872538632927617;;;;;;;
00.868.235/0001-08;2020-09-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.125744798204021;;;;;;;
00.868.235/0001-08;2020-12-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.069402;;;;;;;
00.868.235/0001-08;2020-12-31;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.0406740957061066;0.926785;;;;;;;
01.201.140/0001-90;2020-03-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.009;0.014;0.994537;;;;;;;
01.201.140/0001-90;2020-06-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.018;0.1003;0.994537;;;;;;;
01.201.140/0001-90;2020-09-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.02;0.207;0.996723;;;;;;;
01.201.140/0001-90;2020-12-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.022;0.123;0.99671;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Aretê - Peninsula Norte;Praia Rasa, Buzios - RJ;14129;20;Construção própia;;;;;0.354838709677419;0;0;20946.87;140000;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Esquina 98;Rua Miguel Couto, 98;3583.39;1;Prédio;1;0;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Visconde de Inhauma;Rua Visconde de Inhauma, 95, centro, Rio de Janeiro;7688.02;1;Prédio;0;0;0.053;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Estoque Diversos;Av. Carlos Moreira Lima, nº 460, Vitória-ES;70;1;Aquisição de unidades prontas;;;;;;;;;;0.00220896046509852
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Carioca;Rua da Carioca, centro, Rio de Janeiro;7209.4;13;Lojas;0.799;0.041;0.008;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda em construção;Itabira;Rua Guarda Mor Custódio, Centro, Itabira - MG;8312;0;Universidade;;;;1;;1;1;7814191.14;7814191.14;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;8273.23;84;Construção própia;;;;;0.671875;0.0323;0.033;10958735.010005;16126261;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Touch;Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ;679.9;17;Aquisição de unidades prontas;;;;;;;;;;0.107276587158606
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Uruguaiana, 76;Rua Uruguaiana nº 76, centro, Rio de Janeiro;282.11;1;Loja;0;0;0.002;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Park Square;Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói;93.08;1;Aquisição de unidades prontas;;;;;;;;;;0.00514025100228425
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Fusion;Bloco "D", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;71.28;2;Construção própia;;;;;;;;;;0.00506104399132144
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Dom Gerardo 40/42;Rua Dom Gerardo nº40 e 42, centro, Rio de Janeiro;7175.92;1;Prédio;1;0;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Cardeal Leme;Rua Teófilo Otoni, 82. Centro. Rio de Janeiro.;6194.4;16;Teófilo Otoni;0.295;0.048;0.026;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;27969.29;12;Lojas;0.294;0.009;0.058;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;AV. Brasil, 20384;Av. Brasil, 20384, Rio de Janeiro.;6500;1;Galpão;1;0;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Marechal Camara;Avenida Marechal Camara nº160, centro, Rio de Janeiro;840;1;Salas;0;0;0.007;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Travessa do Ouvidor;Travessa do Ouvidor nº9, centro, Rio de Janeiro;749.88;1;Loja;0;0;0.004;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Primeiro de Março;Rua Primeiro de Março nº19, centro, Rio de Janeiro;798.8;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;The Gallery;R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES;10788.91;38;Construção própia;;;;;0.525;0.0724;0.0744;12347864.57;12347864.57;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Sete de Setembro;Rua Sete de Setembro nº155, centro, Rio de Janeiro;283;1;Loja;0;1;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Dom Gerado 46;Rua Dom Gerardo nº46, centro, Rio de Janeiro;4750.65;5;Lajes Corporativas;0.423;0;0.017;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda em construção;Itumbiara - Fase 1;Avenida Santos Dumont, 979, Setor Oeste, Itumbiara - GO;4145;1;Universidade;;;;1;;1;1;9886974.06;9886974.06;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Citta Office;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;1898.73;1;Lajes Corporativas;0;0;0.022;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Maison Laranjeiras;Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ;3708.5;48;Construção própia;;;;;0.454545454545455;0.0929;0.1141;7639862.17;7639862.17;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;CESBOM;Fazenda cachoeirinha, Bom Despacho, Minas Gerais;17539.69;1;Centro de Ensino Superiorl do Bom Despacho;0;0;0.024;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Conde de Bonfim,149;Rua Conde de Bonfim nº149, centro, Rio de Janeiro;638.64;1;Lajes Corporativas;1;0;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Aretê - Toriba 1;Praia Rasa, Buzios - RJ;12919.73;11;Construção própia;;;;;0.685714285714286;0.5376;0.5309;17389925.81;19023802.27;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;São Pedro da Aldeia;Rodovia Amaral Peixoto, Km 107, Quadra 20, Lote 9, S/n - Balneario São Pedro, São Pedro da Aldeia;3581.88;1;Prédio;0;0;0.006;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Barão de Mesquita;Barão de Mesquita nº164, Rio de Janeiro;2420;1;Colégio São José;0;0;0.006;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Hub - Coliving;Rua das Marrecas, 11/13, Centro, Rio de Janeiro - RJ;1885.02;42;Construção própia;;;;;0.481481481481482;0.3179;0.3951;5821058.319998;7234665.43640138;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Teofilo Otoni 24;Rua Teofilo Otoni 24;133;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Vision;Bloco "F", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;109.73;2;Construção própia;;;;;;;;;;0.00779108245184766
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Innovitá;Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ;281.14;4;Aquisição de unidades prontas;;;;;;;;;;0.0155256786289449
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Highline;R. José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES;7910.59999999999;85;Construção própia;;;;;0.68978102189781;0.834;0.864;115149060;113000000;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Rio Branco 45;Avenida Rio Branco nº45, centro, Rio de Janeiro;520.84;1;Salas;0.601;0.399;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Seasons;Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ;71.25;1;Aquisição de unidades prontas;;;;;;;;;;0.00281050773461195
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Av. Mem de Sá;Av. Mem de Sá, 102, Centro, Rio de Janeiro.;800;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Largo de Santa Rita;Largo de Santa Rita, 10, Centro, Rio de Janeiro;292;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Aretê;Praia Rasa, Buzios - RJ;154806.61;101;Aquisição de unidades prontas;;;;;;;;;;0.610645859332009
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Icono Parque;Rua Machado de Assis, 40;2994.92;33;Construção própia;;;;;0.928879310344828;0.5063;0.6053;80432942.8224715;95163957.892064;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Miraggio;R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ;2242.21;16;Aquisição de unidades prontas;;;;;;;;;;0.160970980444578
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Presidente Antonio Carlos;Av. Presidente Antonio Carlos, 51, centro , Rio de Janeiro;217;1;Laje Corporativa;0.552;0;0.001;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Orbit;Av. Presidente Vargas, 989, Centro , Rio dde Janeiro;600;1;Terreno;0;0;0.002;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Costa Mare;Rodovia Darly Santos, S/n°, Gleba I, Vila Velha - ES;21074.25;121;Construção própia;;;;;0;0.5908;0.5745;50963588.000755;50963588.000755;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Iluminato;Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ;2570.5;24;Construção própia;;;;;0.555555555555556;0.0515;0.0633;8731619.34;15446000;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda acabados;Gift;Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ;1744.36;15;Construção própia;;;;;;;;;;0.0825690487906983
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Uruguaiana, 78;Rua Uruguaiana nº 78, centro, Rio de Janeiro;645.79;1;Loja;0;0;0.004;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Tijuca All Ways;Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ;237.82;2;Construção própia;;;;;0.975;0.3977;0.3621;20658567.26;20658567.26;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Golden Corporate;Rua Buenos Aires nº48, centro, Rio de Janeiro;2887;7;Lajes Corporativas;0.444;0;0.02;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Metropolitan;Av. Professor Magalhães Neto, na Pituba, Subdistrito de Amaralina, em Salvador (BA);5662;101;Lajes Corporativas;0;0;0.071;;;;;;;
01.235.622/0001-61;2020-03-31;1;Imóveis para renda acabados;Senhor dos Passos 107;Rua Senhor do Passos nº107, centro, Rio deJaneiro;382;1;Salas;0;0;0.002;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Largo de Santa Rita;Largo de Santa Rita, 10, Centro, Rio de Janeiro;292;1;Loja;0;0;0;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Golden Corporate;Rua Buenos Aires nº48, centro, Rio de Janeiro;2887;7;Lajes Corporativas;0.565;0;0.023;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Cardeal Leme;Rua Teófilo Otoni, 82. Centro. Rio de Janeiro.;6194.4;16;Teófilo Otoni;0.39;0.048;0.03;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Conde de Bonfim,149;Rua Conde de Bonfim nº149, centro, Rio de Janeiro;638.64;1;Lajes Corporativas;1;0;0;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Rainha Guilhermina;Rainha Guilhermina, 75 , Leblon;1109.96;5;Prédio;0.581;0;0.005;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Orbit;Av. Presidente Vargas, 989, Centro , Rio dde Janeiro;600;1;Terreno;0;0;0.002;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;São Pedro da Aldeia;Rodovia Amaral Peixoto, Km 107, Quadra 20, Lote 9, S/n - Balneario São Pedro, São Pedro da Aldeia;3581.88;1;Prédio;0;0;0.007;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Primeiro de Março;Rua Primeiro de Março nº19, centro, Rio de Janeiro;798.8;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;CESBOM;Fazenda cachoeirinha, Bom Despacho, Minas Gerais;17539.69;1;Centro de Ensino Superiorl do Bom Despacho;0;0;0.028;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Uruguaiana, 78;Rua Uruguaiana nº 78, centro, Rio de Janeiro;645.79;1;Loja;0;0;0.005;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Marechal Camara;Avenida Marechal Camara nº160, centro, Rio de Janeiro;840;1;Salas;0;0;0.009;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;27969.29;12;Lojas;0.238;0.003;0.067;;;;;;;
01.235.622/0001-61;2020-06-30;3;Imóveis para renda acabados;Teofilo Otoni 24;Rua Teofilo Otoni 24;133;1;Loja;1;0;0;;;;;;;
