CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
01.235.622/0001-61;2020-06-30;3;Abril/20;0.0022;0.0022
01.235.622/0001-61;2020-06-30;3;Maio/20;0.0066;0.0066
01.235.622/0001-61;2020-06-30;3;Junho/2020;0.0139;0.0139
01.235.622/0001-61;2020-09-30;2;Julho/2020;-0.0049;-0.0049
01.235.622/0001-61;2020-09-30;2;Agosto/2020;0.00794005584858098;0.00794005584858098
01.235.622/0001-61;2020-09-30;2;Setembro/2020;0.012751766863261;0.012751766863261
01.235.622/0001-61;2020-12-31;1;outubro/2020;0.00718;0.00718
01.235.622/0001-61;2020-12-31;1;novembro/2020;0.008878;0.008878
01.235.622/0001-61;2020-12-31;1;dezembro/2020;0.017436;0.017436
01.636.325/0001-28;2020-03-31;1;03/2020;0.00034;0.00034
01.657.856/0001-05;2020-03-31;1;03/2020;0.002887;0.002887
03.683.056/0001-86;2020-03-31;1;Janeiro;0.003529;0.003479
03.683.056/0001-86;2020-03-31;1;Fevereiro;0.003456;0.003407
03.683.056/0001-86;2020-03-31;1;Março;0.003696;0.003529
03.683.056/0001-86;2020-06-30;1;Abril;0.003524;0.003357
03.683.056/0001-86;2020-06-30;1;Maio;0.003493;0.003353
03.683.056/0001-86;2020-06-30;1;Junho;0.007093;0.006941
03.683.056/0001-86;2020-09-30;1;Julho;0.003287;0.00313
03.683.056/0001-86;2020-09-30;1;Agosto;0.003471;0.003315
03.683.056/0001-86;2020-09-30;1;Setembro;0.003297;0.00314
03.683.056/0001-86;2020-12-31;1;Outubro;-0.026843;-0.02697
03.683.056/0001-86;2020-12-31;1;Novembro;0.038748;0.038617
03.683.056/0001-86;2020-12-31;1;Dezembro;0.005102;0.004975
04.141.645/0001-03;2020-03-31;2;03/2020;0.004111;0.004111
08.696.175/0001-97;2020-03-31;1;03/2020;0.006742;
08.696.175/0001-97;2020-06-30;1;03/2020;0.006742;
08.696.175/0001-97;2020-09-30;1;09/2020;0.005244;
10.522.648/0001-81;2020-09-30;2;julho/20;-0.005693;-0.005693
10.522.648/0001-81;2020-09-30;2;agosto/20;0.0136995240422306;0.0136995240422306
10.522.648/0001-81;2020-09-30;2;setembro/20;0.0593837156503907;0.0593837156503907
10.522.648/0001-81;2020-12-31;1;outubro/2020;-0.022223;-0.022223
10.522.648/0001-81;2020-12-31;1;novembro/2020;-0.02673;-0.02673
10.522.648/0001-81;2020-12-31;1;dezembro/2020;-0.140669;-0.140669
11.268.335/0001-01;2020-03-31;1;01/2020;0.001549;0.001549
11.268.335/0001-01;2020-03-31;1;02/2020;0.006819;0.006819
11.268.335/0001-01;2020-03-31;1;03/2020;0.00173;0.00173
11.268.335/0001-01;2020-06-30;1;04/2020;0.001782;0.001782
11.268.335/0001-01;2020-06-30;1;05/2020;0.001384;0.001384
11.268.335/0001-01;2020-06-30;1;06/2020;0.001705;0.001705
11.268.335/0001-01;2020-09-30;1;07/2020;0.002776;0.002776
11.268.335/0001-01;2020-09-30;1;08/2020;0.00149;0.00149
11.268.335/0001-01;2020-09-30;1;09/2020;0.021798;0.021798
11.268.335/0001-01;2020-12-31;2;10/2020;0.004922;0.004922
11.268.335/0001-01;2020-12-31;2;11/2020;0.00341;0.00341
11.268.335/0001-01;2020-12-31;2;12/2020;0.042408;0.042408
11.281.322/0001-72;2020-03-31;1;01/2020;0.005437;0.005437
11.281.322/0001-72;2020-03-31;1;02/2020;0.005268;0.005268
11.281.322/0001-72;2020-03-31;1;03/2020;0.005484;0.005484
17.098.794/0001-70;2020-03-31;2;03/2020;-0.131613;-0.131613
17.098.794/0001-70;2020-03-31;2;02/2020;-0.040265;-0.040265
17.098.794/0001-70;2020-03-31;2;01/2020;-0.060492;-0.060492
17.098.794/0001-70;2020-06-30;3;06/2020;0.042531;0.042531
17.098.794/0001-70;2020-06-30;3;05/2020;-0.018368;-0.018368
17.098.794/0001-70;2020-06-30;3;04/2020;0.035979;0.035979
17.098.794/0001-70;2020-09-30;2;09/2020;0.019051;0.019051
17.098.794/0001-70;2020-09-30;2;08/2020;0.010447;0.010447
17.098.794/0001-70;2020-09-30;2;07/2020;-0.024647;-0.024647
17.098.794/0001-70;2020-12-31;2;12/2020;0.008536;0.008536
17.098.794/0001-70;2020-12-31;2;11/2020;0.008266;0.008266
17.098.794/0001-70;2020-12-31;2;10/2020;-0.015394;-0.015394
17.161.979/0001-82;2020-03-31;1;03/2020;0.003273;0.003273
17.311.079/0001-74;2020-03-31;1;Janeiro/2020;-0.001229;-0.001229
17.311.079/0001-74;2020-03-31;1;Fevereiro/2020;-0.003093;-0.003093
17.311.079/0001-74;2020-03-31;1;Março/2020;-0.121433;-0.121433
17.311.079/0001-74;2020-06-30;1;Abril/2020;-0.003716;-0.003716
17.311.079/0001-74;2020-06-30;1;Maio/2020;-0.003;-0.003
17.311.079/0001-74;2020-06-30;1;Junho/2020;-0.000729;-0.000729
17.311.079/0001-74;2020-09-30;1;Julho/2020;-0.000769;-0.000769
17.311.079/0001-74;2020-09-30;1;Agosto/2020;-0.000777;-0.000777
17.311.079/0001-74;2020-09-30;1;Setembro/2020;-0.000749;-0.000749
17.311.079/0001-74;2020-12-31;1;Outubro/2020;-0.000742;-0.000742
17.311.079/0001-74;2020-12-31;1;Novembro/2020;-0.000731;-0.000731
17.311.079/0001-74;2020-12-31;1;Dezembro/2020;0.005707;0.005707
17.329.029/0001-14;2020-03-31;1;Mar 2020;-0.13126;-0.13126
17.329.029/0001-14;2020-03-31;1;Fev 2020;-0.200472;-0.200472
17.329.029/0001-14;2020-03-31;1;Jan 2020;-0.043605;-0.043605
18.330.535/0001-96;2020-03-31;1;01/2020;0.005468;0.005468
18.330.535/0001-96;2020-03-31;1;02/2020;0.004709;0.004709
18.330.535/0001-96;2020-03-31;1;03/2020;0.004882;0.004882
18.330.535/0001-96;2020-06-30;1;04/2020;0.004665;0.004665
18.330.535/0001-96;2020-06-30;1;05/2020;0.005631;0.005631
18.330.535/0001-96;2020-06-30;1;06/2020;0.005031;0.005031
18.330.535/0001-96;2020-09-30;1;07/2020;0.005079;0.005079
18.330.535/0001-96;2020-09-30;1;08/2020;0.005006;0.005006
18.330.535/0001-96;2020-09-30;1;09/2020;0.005081;0.005081
18.330.535/0001-96;2020-12-31;1;10/2020;0.005217;0.005217
18.330.535/0001-96;2020-12-31;1;11/2020;0.004719;0.004719
18.330.535/0001-96;2020-12-31;1;12/2020;-0.067508;-0.067508
18.369.510/0001-04;2020-06-30;3;Junho;0.001836;0.001836
18.369.510/0001-04;2020-09-30;3;Junho;0.001836;0.001836
18.369.510/0001-04;2020-12-31;3;Junho;0.001836;0.001836
20.216.935/0001-17;2020-03-31;2;01/2020;-0.043994;-0.043994
20.216.935/0001-17;2020-03-31;2;02/2020;-0.038912;-0.038912
20.216.935/0001-17;2020-03-31;2;03/2020;-0.150438;-0.150438
20.216.935/0001-17;2020-06-30;2;04/2020;0.017558;0.017558
20.216.935/0001-17;2020-06-30;2;05/2020;0.011189;0.011189
20.216.935/0001-17;2020-06-30;2;06/2020;0.060656;0.060656
20.216.935/0001-17;2020-09-30;2;07/2020;-0.029869;-0.029869
20.216.935/0001-17;2020-09-30;2;08/2020;0.016357;0.016357
20.216.935/0001-17;2020-09-30;2;09/2020;0.021589;0.021589
20.216.935/0001-17;2020-12-31;2;10/2020;-0.011209;-0.011209
20.216.935/0001-17;2020-12-31;2;11/2020;0.002919;0.002919
20.216.935/0001-17;2020-12-31;2;12/2020;0.018444;0.018444
20.265.467/0001-70;2020-03-31;1;01/2020;-0.001561;-0.001561
20.265.467/0001-70;2020-03-31;1;02/2020;-0.001827;-0.001827
20.265.467/0001-70;2020-03-31;1;03/2020;-0.01155;-0.01155
22.044.621/0001-00;2020-03-31;1;03/2020;-0.000139;-0.000139
24.853.060/0001-15;2020-03-31;1;01/2020;-0.008912;-0.008912
