CNPJ_Fundo;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2020-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;156496.60638;7526105.33
00.332.266/0001-31;2020-03-31;1;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;1237530.65
00.332.266/0001-31;2020-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;128138.96459;6205342.17
00.332.266/0001-31;2020-06-30;1;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;1205234.23
00.332.266/0001-31;2020-09-30;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;34732.48002;1687726.59
00.332.266/0001-31;2020-09-30;2;Outros Ativos Financeiros;Itau Soberano RF Simples LP FICFI;6175696000173;;;;Soberano;;34732.48002;1687726.59
00.332.266/0001-31;2020-09-30;2;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;3055110.12
00.332.266/0001-31;2020-12-31;1;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;6381412.84
00.332.266/0001-31;2020-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;28373.18;1384959.33
00.762.723/0001-28;2020-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;25210.68864;1212411.58
00.762.723/0001-28;2020-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;27481.78961;1330851.3
00.762.723/0001-28;2020-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;30281.43705;1471440.76
00.762.723/0001-28;2020-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;21008.3;1025462.75
00.868.235/0001-08;2020-03-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.46535;926.9
00.868.235/0001-08;2020-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;1059.06958;50931.89
