CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
01.235.622/0001-61;2020-06-30;3;Guilhermina;Rua Rainha Guilhermina, 75;300;4;Construção Propria;1;Renda
03.683.056/0001-86;2020-03-31;1;Edifício Alameda Santos;Alameda Santos, 1.800 - Jardins;5835;;Lajes Corporativas - Imóvel em retrofit;0.129388;Renda
08.098.114/0001-28;2020-03-31;2;Shopping ABC;Av. Pereira Barreto, 42 - Santo André - SP;47375;270;Aréa total construida 28.840 m²;0.619048;Renda
08.098.114/0001-28;2020-03-31;2;Shopping Patio Belém;Trav. Padre Eutíquio, 1078 - Belém - PA;21650.29;189;Aréa total construida 126251,0 m²;0.380952;Renda
08.431.747/0001-06;2020-12-31;1;Franca Shopping - 0,3673897836%;Av. Rio Negro 1.100, Franca - SP;18651.32;96;-;;Renda
11.728.688/0001-47;2020-09-30;1;Extrema;Estrada Municipal José Geraldo Aparecido e Rua Josepha Gomes de Souza, Extrema - MG;34101;3;-;0.042973;Renda
11.728.688/0001-47;2020-09-30;1;Itupeva;Estrada Joaquim Bueno Neto, 9835, Itupeva - SP;58828;4;-;0.0722034564116099;Renda
11.728.688/0001-47;2020-09-30;1;Betim;Avenida Parque B, 347, Betim - MG;62587;1;-;0.092516695484805;Renda
11.728.688/0001-47;2020-12-31;1;GR Louveira;Rua Atílio Biscuola, 1831, Louveira - SP;55202;13;-;0.067935;Renda
11.728.688/0001-47;2020-12-31;1;CONE G06;Rodovia BR 101, 5225, Cabo de Santo Agostinho - PE;21550;11;-;0.015596;Renda
11.839.593/0001-09;2020-06-30;1;BRF Fortaleza;BR 116, nº 2.271, Bairro Verife, Município de Itaitinga - CE.;23273;1;Não possui caracteristicas que destoem dos demais;0.38;Renda
12.005.956/0001-65;2020-03-31;1;Boulevard Corporate Tower;Avenida dos Andradas, 3000, Santa Efigênia, Belo Horizonte - MG;4806.16;16;NA;1;Renda
12.005.956/0001-65;2020-09-30;1;Edifício Joaquim Floriano;Rua Joaquim Floriano, 913 - Itaim/SP;234;1;-;0.0009;Renda
12.005.956/0001-65;2020-12-31;1;Edifício Joaquim Floriano;Rua Joaquim Floriano, 913 - Itaim/SP;468;2;-;0.0021;Renda
12.516.185/0001-70;2020-03-31;1;C&A - Alphaville;Alameda Araguaia, 617, Alphaville, Barueri/SP;7900;1;O Fundo possui 70% do imóvel.;1;Renda
12.516.185/0001-70;2020-03-31;1;LAB 1404;Rua Mourato Coelho, 1404, na Vila Madalena, São Paulo/SP;1382.44;1;Aquisição de 20,11%. da fração ideal do ativo.;1;Renda
12.516.185/0001-70;2020-09-30;2;BMA Corporate;Largo do Ibam, 1, Humaitá, Rio de Janeiro/RJ;0;1;Aquisição de 30% do imóvel.;0.20346646;Renda
12.516.185/0001-70;2020-12-31;2;Haddock  Lobo;Rua Haddock Lobo, nº 347,  São Paulo - SP;8140;1;Direito de propriedade;0.1772;Renda
13.371.132/0001-71;2020-03-31;1;Ed. Tower Bridge Corporate;Av. Jornalista Roberto Marinho, 85, Cidade Monções, Sao Paulo - SP;56447.68;76;-;0.468441;Renda
