CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
01.235.622/0001-61;2020-03-31;1;Rio Branco 45;ADVOCACIA;0;0
01.235.622/0001-61;2020-03-31;1;Rio Branco 45;DISPONÍVEL;0;0
01.235.622/0001-61;2020-03-31;1;Senhor dos Passos 107;COMÉRCIO;0.01;5E-05
01.235.622/0001-61;2020-03-31;1;Sete de Setembro;COMÉRCIO;0;0
01.235.622/0001-61;2020-03-31;1;Teofilo Otoni 24;N/A;0;0
01.235.622/0001-61;2020-03-31;1;Travessa do Ouvidor;COMÉRCIO;0.01;0.00012
01.235.622/0001-61;2020-03-31;1;Uruguaiana, 76;COMÉRCIO;0.01;7.2E-05
01.235.622/0001-61;2020-03-31;1;Uruguaiana, 78;COMÉRCIO;0.01;0.00012
01.235.622/0001-61;2020-03-31;1;Visconde de Inhauma;HOTELARIA;0.01;0.00159
01.235.622/0001-61;2020-03-31;1;Metropolitan;HOSPITALAR;0.01;0.00212
01.235.622/0001-61;2020-03-31;1;Orbit;ESTACIONAMENTO;0.01;6E-05
01.235.622/0001-61;2020-03-31;1;Dom Gerardo 40/42;N/A;0;0
01.235.622/0001-61;2020-03-31;1;São Pedro da Aldeia;ÁGUA E ESGOTO;0.01;0.00017
01.235.622/0001-61;2020-03-31;1;Esquina 98;N/A;0;0
01.235.622/0001-61;2020-06-30;3;AV. Brasil, 20384;N/A;0;0
01.235.622/0001-61;2020-06-30;3;Av. Mem de Sá;N/A;0;0
01.235.622/0001-61;2020-06-30;3;Barão de Mesquita;ENSINO;1;0.018
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;ADVOCACIA;0.099;0.008
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;COMERCIO;0.145;0.011
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;CONSULTORIA;0.09;0.007
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;CONTABILIDADE;0.065;0.005
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;DISPONÍVEL;0.188;0.015
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;FINANCEIRO;0.089;0.007
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;LOGISTICA;0.049;0.004
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;TELECOMUNICAÇÃO;0.047;0.004
01.235.622/0001-61;2020-06-30;3;Cardeal Leme;TI;0.228;0.018
01.235.622/0001-61;2020-06-30;3;Carioca;COMÉRCIO;1;0.024
01.235.622/0001-61;2020-06-30;3;CESBOM;ENSINO;1;0.073
01.235.622/0001-61;2020-06-30;3;Citta America;ACADEMIA;0.98;0.169
01.235.622/0001-61;2020-06-30;3;Citta America;COMERCIO;0.02;0.003
01.235.622/0001-61;2020-06-30;3;Citta America;DISPONÍVEL;0;0
01.235.622/0001-61;2020-06-30;3;Citta America;ENSINO;0;0
01.235.622/0001-61;2020-06-30;3;Citta Office;MIDIA;0.01;0.066
01.235.622/0001-61;2020-06-30;3;Conde de Bonfim,149;N/A;0;0
01.235.622/0001-61;2020-06-30;3;Dom Gerado 46;COMERCIO;0.086;0.003
01.235.622/0001-61;2020-06-30;3;Dom Gerado 46;DISPONÍVEL;0;0
01.235.622/0001-61;2020-06-30;3;Dom Gerado 46;ENGENHARIA;0.277;0.01
01.235.622/0001-61;2020-06-30;3;Dom Gerado 46;GOVERNO;0.637;0.023
01.235.622/0001-61;2020-06-30;3;Dom Gerado 46;LOGISTICA;0;0
01.235.622/0001-61;2020-06-30;3;Golden Corporate;AUDITORIA;0.287;0.017
01.235.622/0001-61;2020-06-30;3;Golden Corporate;DISPONÍVEL;0.123;0.007
01.235.622/0001-61;2020-06-30;3;Golden Corporate;ENGENHARIA;0.292;0.017
01.235.622/0001-61;2020-06-30;3;Golden Corporate;SEGUROS;0.298;0.018
01.235.622/0001-61;2020-06-30;3;Largo de Santa Rita;SELF STORE;0;0
01.235.622/0001-61;2020-06-30;3;Marechal Camara;TI;1;0.022
01.235.622/0001-61;2020-06-30;3;Presidente Antonio Carlos;FINANCEIRO;1;0.004
01.235.622/0001-61;2020-06-30;3;Primeiro de Março;N/A;0;0
01.235.622/0001-61;2020-06-30;3;Rio Branco 45;ADVOCACIA;0;0
01.235.622/0001-61;2020-06-30;3;Rio Branco 45;DISPONÍVEL;0;0
01.235.622/0001-61;2020-06-30;3;Senhor dos Passos 107;COMÉRCIO;1;0.005
01.235.622/0001-61;2020-06-30;3;Sete de Setembro;COMÉRCIO;0;0
01.235.622/0001-61;2020-06-30;3;Teofilo Otoni 24;N/A;0;0
01.235.622/0001-61;2020-06-30;3;Travessa do Ouvidor;COMÉRCIO;1;0.012
01.235.622/0001-61;2020-06-30;3;Uruguaiana, 76;COMÉRCIO;1;0.007
01.235.622/0001-61;2020-06-30;3;Uruguaiana, 78;COMÉRCIO;1;0.012
01.235.622/0001-61;2020-06-30;3;Visconde de Inhauma;HOTELARIA;1;0.16
01.235.622/0001-61;2020-06-30;3;Metropolitan;HOSPITALAR;1;0.213
01.235.622/0001-61;2020-06-30;3;Orbit;ESTACIONAMENTO;1;0.006
01.235.622/0001-61;2020-06-30;3;Dom Gerardo 40/42;N/A;0;0
01.235.622/0001-61;2020-06-30;3;São Pedro da Aldeia;ÁGUA E ESGOTO;1;0.017
01.235.622/0001-61;2020-06-30;3;Esquina 98;N/A;0;0
01.235.622/0001-61;2020-06-30;3;Rainha Guilhermina;FINANCEIRO;1;0.014
01.235.622/0001-61;2020-09-30;2;AV. Brasil, 20384;N/A;0;0
01.235.622/0001-61;2020-09-30;2;Av. Mem de Sá;N/A;0;0
01.235.622/0001-61;2020-09-30;2;Barão de Mesquita;ENSINO;1;0.002222
01.235.622/0001-61;2020-09-30;2;Cardeal Leme;ADVOCACIA;0.092;0.007
01.235.622/0001-61;2020-09-30;2;Cardeal Leme;COMERCIO;0.142;0.011
01.235.622/0001-61;2020-09-30;2;Cardeal Leme;CONSULTORIA;0.163;0.012
