CNPJ_Fundo;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
07.583.627/0001-61;2019-03-31;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2019-06-30;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2019-09-30;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2019-12-31;1;Não Aplicavel;1899-12-31;0;;0;0
13.873.457/0001-52;2019-06-30;1;Av. Fernando Corrêa da Costa, 7.140 - Cuiabá/MT;2019-06-28;25000;Terreno dado como dação em pagamento na aquisição do imóvel "São Luís";0.214514791263478;0
13.873.457/0001-52;2019-06-30;1;Av. John Boyd Dunlop, s/n - Campinas/SP;2019-06-28;96435.2;Terreno dado como permuta sem torna na aquisição do imóvel Cuiabá;0.785485208736522;0
26.502.761/0001-35;2019-12-31;1;RUA 3, S/N BRAGANÇA PAULISTA, SÃO PAULO - SP;2019-11-08;3370;LOTE N° 06 QUADRA Y;1;0.02861
28.516.650/0001-03;2019-03-31;1;N/A;1899-12-31;0;N/A;0;0
28.516.650/0001-03;2019-06-30;1;N/A;1899-12-31;0;N/A;0;0
28.516.650/0001-03;2019-09-30;1;N/A;1899-12-31;0;N/A;0;0
28.516.650/0001-03;2019-12-31;1;N/A;1899-12-31;0;N/A;0;0
28.693.595/0001-27;2019-03-31;1;N/A;1899-12-31;0;N/A;0;0
28.693.595/0001-27;2019-06-30;1;N/A;1899-12-31;0;N/A;0;0
28.693.595/0001-27;2019-09-30;1;N/A;1899-12-31;0;N/A;0;0
28.693.595/0001-27;2019-12-31;1;N/A;1899-12-31;0;N/A;0;0
30.791.386/0001-68;2019-06-30;1;N/A;1899-12-31;0;N/A;0;0
30.791.386/0001-68;2019-09-30;1;N/A;1899-12-31;0;N/A;0;0
30.791.386/0001-68;2019-12-31;2;N/A;1899-12-31;0;N/A;0;0
