CNPJ_Fundo;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2019-03-31;1;Outras Cotas de FI;Itaú CDB DI;6175696000173;;;;;;2;1236727.79
00.332.266/0001-31;2019-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;109036.87824;4980887.32
00.332.266/0001-31;2019-06-30;1;Outras Cotas de FI;Itaú CDB DI;6175696000173;;;;;;2;1970991.14
00.332.266/0001-31;2019-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;306698.71166;14220569.99
00.332.266/0001-31;2019-09-30;3;Outras Cotas de FI;Itaú CDB DI;6175696000173;;;;;;2;1471873.1
00.332.266/0001-31;2019-09-30;3;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;234467.45;11035151.89
00.332.266/0001-31;2019-12-31;1;Outras Cotas de FI;Itaú CDB DI;6175696000173;;;;;;2;716299.18
00.332.266/0001-31;2019-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;217391.64;10354711.62
00.762.723/0001-28;2019-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;24003.78666;1096511.19
00.762.723/0001-28;2019-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;21900.29587;1015441.79
00.762.723/0001-28;2019-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;21538.3689;1013697.96
00.762.723/0001-28;2019-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;21793.18605;1038044.29
00.868.235/0001-08;2019-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;3467.01496;158375.87
00.868.235/0001-08;2019-03-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;60746948000112;;;;;;0.5353;1024.88
00.868.235/0001-08;2019-06-30;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.46692;905.54
00.868.235/0001-08;2019-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;4967.75594;230337.82
00.868.235/0001-08;2019-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;6811.90285;320600.5
00.868.235/0001-08;2019-09-30;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.46692;916.8
00.868.235/0001-08;2019-12-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.46535;921.9
00.868.235/0001-08;2019-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;19659.87306;936431.17
01.201.140/0001-90;2019-03-31;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;77908.86;356887.32
01.201.140/0001-90;2019-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;220840.33;10088154.02
01.201.140/0001-90;2019-06-30;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;77566.43217;360641.48
01.201.140/0001-90;2019-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;228865.40685;10611705.9
01.201.140/0001-90;2019-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;256447.84692;12069654.02
01.201.140/0001-90;2019-09-30;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;77566.43217;366066.78
01.201.140/0001-90;2019-12-31;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;77250.91765;368759.18
01.201.140/0001-90;2019-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;250710.93284;11941762.56
01.235.622/0001-61;2019-03-29;3;Cotas de Sociedades;JFE 21 Empreed. Imobiliário Ltda;12052280000160;;;;;;524462999;862467.29
01.235.622/0001-61;2019-03-29;3;CRI;RB CAPITAL SECURITIZADORA RESIDENCIAL;2773542000122;10/12/2018;200;;;;497;50126068.39
01.235.622/0001-61;2019-03-29;3;Cotas de Sociedades;Taquari - Brasília;1235622000161;;;;;;74127;124979372.02
01.235.622/0001-61;2019-03-29;3;Ações de Sociedades;Charitas Empreend. Imob. Ltda;18983215000135;;;;;;22657738;22407990
01.235.622/0001-61;2019-03-29;3;FII;BB Progressivo II Fundo de Investimento Imobiliário;14410722000129;;;;;;80059;11193849.38
01.235.622/0001-61;2019-03-29;3;FII;Dovel FII;10522648000181;;;;;;48980;50758466.97
01.235.622/0001-61;2019-03-29;3;LCI;BTG PACTUAL;30306294000145;;;;;2019-05-02;10000;10239138.7
01.235.622/0001-61;2019-03-29;3;Cotas de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;87457980.6
01.235.622/0001-61;2019-03-29;3;Cotas de Sociedades;JFE 22 Empreed. Imobiliário Ltda;12052242000108;;;;;;4194231;2179647
01.235.622/0001-61;2019-03-29;3;Ações de Sociedades;JFE 16 Empreend. Imobiliários Ltda;11323252000156;;;;;;12815275;14831995.87
01.235.622/0001-61;2019-03-29;3;Cotas de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;59913174;38100939.73
01.235.622/0001-61;2019-03-29;3;Cotas de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;25776422;2745330.9
01.235.622/0001-61;2019-03-29;3;FII;GENERAL SEVERIANO FII;17007528000195;;;;;;5982;7101371
01.235.622/0001-61;2019-03-29;3;Cotas de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1204459.43
01.235.622/0001-61;2019-06-28;3;FII;GENERAL SEVERIANO FII;17007528000195;;;;;;5982;8106255.73
01.235.622/0001-61;2019-06-28;3;Cotas de Sociedades;JFE 21 Empreed. Imobiliário Ltda;12052280000160;;;;;;524462999;1430535.77
01.235.622/0001-61;2019-06-28;3;Cotas de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;25776422;2877913.41
01.235.622/0001-61;2019-06-28;3;Cotas de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1228739.53
01.235.622/0001-61;2019-06-28;3;FII;Dovel FII;10522648000181;;;;;;48980;50391045.44
01.235.622/0001-61;2019-06-28;3;Ações de Sociedades;JFE 16 Empreend. Imobiliários Ltda;11323252000156;;;;;;12815275;15259804.77
