CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
18.330.535/0001-96;2019-09-30;2;09/2019;0.005793;0.005793
18.330.535/0001-96;2019-12-31;1;10/2019;0.005492;0.005492
18.330.535/0001-96;2019-12-31;1;11/2019;0.000418;0.000418
18.330.535/0001-96;2019-12-31;1;12/2019;0.02391;0.02391
18.369.510/0001-04;2019-03-29;1;Março;0.001062;0.001062
18.369.510/0001-04;2019-06-28;1;Março;0.001836;0.001836
18.369.510/0001-04;2019-09-30;1;Março;0.001836;0.001836
18.369.510/0001-04;2019-12-31;1;Março;0.001836;0.001836
20.216.935/0001-17;2019-03-29;1;01/2019;0.016258;0.016258
20.216.935/0001-17;2019-03-29;1;02/2019;0.014032;0.014032
20.216.935/0001-17;2019-03-29;1;03/2019;0.015025;0.015025
20.216.935/0001-17;2019-06-28;1;04/2019;0.002183;0.002183
20.216.935/0001-17;2019-06-28;1;05/2019;0.011905;0.011905
20.216.935/0001-17;2019-06-28;1;06/2019;0.013665;0.013665
20.216.935/0001-17;2019-09-30;1;07/2019;0.008353;0.008353
20.216.935/0001-17;2019-09-30;1;08/2019;0.009226;0.009226
20.216.935/0001-17;2019-09-30;1;09/2019;0.003118;0.003118
20.216.935/0001-17;2019-12-31;1;10/2019;0.049094;0.049094
20.216.935/0001-17;2019-12-31;1;11/2019;0.017558;0.017558
20.216.935/0001-17;2019-12-31;1;12/2019;0.132607;0.132607
20.265.467/0001-70;2019-12-31;1;12/2019;-0.001876;
22.957.521/0001-74;2019-03-31;1;N/A;;
22.957.521/0001-74;2019-06-30;1;N/A;;
22.957.521/0001-74;2019-09-30;1;N/A;;
22.957.521/0001-74;2019-12-31;1;N/A;;
23.781.211/0001-04;2019-12-31;1;10/2019;0;0
23.781.211/0001-04;2019-12-31;1;11/2019;0;0
23.781.211/0001-04;2019-12-31;1;12/2019;0;0
24.853.060/0001-15;2019-12-31;1;12/2019;0.183043;
25.032.881/0001-53;2019-12-31;1;10/2019;0.015683;
25.032.881/0001-53;2019-12-31;1;11/2019;0.00226799026072078;
25.032.881/0001-53;2019-12-31;1;12/2019;0.02916;
26.195.121/0001-20;2019-03-31;1;01/2019;0.002619;0.002619
26.195.121/0001-20;2019-06-30;1;06/2019;0.00389;0.00389
26.195.121/0001-20;2019-09-30;1;09/2019;0.004616;0.004616
26.195.121/0001-20;2019-12-31;1;12/2019;0.001187;0.001187
26.395.660/0001-02;2019-03-29;1;03/2019;-0.3813;
26.395.660/0001-02;2019-03-29;1;02/2019;-0.137473;
26.395.660/0001-02;2019-03-29;1;01/2019;0.342533;
26.395.660/0001-02;2019-06-28;1;06/2019;0.064431;
26.395.660/0001-02;2019-06-28;1;05/2019;-0.021974;
26.395.660/0001-02;2019-06-28;1;04/2019;0.055936;
26.395.660/0001-02;2019-09-30;1;07/2019;0.015281;
26.395.660/0001-02;2019-09-30;1;08/2019;0.287845;
26.395.660/0001-02;2019-09-30;1;09/2019;0.06976;
26.395.660/0001-02;2019-12-31;1;10/2019;0;0
26.395.660/0001-02;2019-12-31;1;11/2019;0;0
26.395.660/0001-02;2019-12-31;1;12/2019;0;0
26.502.761/0001-35;2019-03-29;1;JAN/2019;-0.004429;
26.502.761/0001-35;2019-03-29;1;FEV/2019;-0.002269;
26.502.761/0001-35;2019-03-29;1;MAR/2019;-0.007558;
26.502.761/0001-35;2019-12-31;1;12/2019;0.011167;
26.502.794/0001-85;2019-12-31;2;12/2019;0.114185;
26.846.134/0001-11;2019-12-31;1;10/2019;;-0.035343
26.846.134/0001-11;2019-12-31;1;11/2019;;-0.046528
26.846.134/0001-11;2019-12-31;1;12/2019;;-0.042034
26.846.202/0001-42;2019-12-31;1;10/2019;0;0
26.846.202/0001-42;2019-12-31;1;11/2019;0;0
26.846.202/0001-42;2019-12-31;1;12/2019;0;0
26.990.011/0001-50;2019-03-31;1;03/2019;-0.00155;-0.00155
26.990.011/0001-50;2019-06-30;1;06/2019;-0.001523;-0.001523
26.990.011/0001-50;2019-09-30;1;09/2019;-0.001543;-0.001543
26.990.011/0001-50;2019-12-31;1;12/2019;0.026582;0.026582
27.368.617/0001-10;2019-12-31;1;11/2019;0.000885;
27.368.617/0001-10;2019-12-31;1;12/2019;-0.002424;
27.538.422/0001-71;2019-12-31;5;10/2019;0;0
27.538.422/0001-71;2019-12-31;5;11/2019;0;0
27.538.422/0001-71;2019-12-31;5;12/2019;0.001982;0
28.516.301/0001-91;2019-09-30;3;07/2019;0;
28.516.301/0001-91;2019-09-30;3;08/2019;0;
28.516.301/0001-91;2019-09-30;3;09/2019;-0.030877;
28.516.301/0001-91;2019-12-31;2;10/2019;0;0
28.516.301/0001-91;2019-12-31;2;11/2019;0;0
28.516.301/0001-91;2019-12-31;2;12/2019;0;0
28.516.325/0001-40;2019-12-31;1;12/2019;0.007093;
28.516.650/0001-03;2019-03-31;1;N/A;0;0
28.516.650/0001-03;2019-06-30;1;N/A;0;0
28.516.650/0001-03;2019-09-30;1;N/A;0;0
28.516.650/0001-03;2019-12-31;1;N/A;0;0
28.693.595/0001-27;2019-03-31;1;N/A;0;0
28.693.595/0001-27;2019-06-30;1;N/A;0;0
28.693.595/0001-27;2019-09-30;1;N/A;0;0
28.693.595/0001-27;2019-12-31;1;N/A;0;0
28.893.734/0001-66;2019-03-29;1;01/2019;-0.00482;-0.00482
28.893.734/0001-66;2019-03-29;1;02/2019;-0.062946;-0.062946
28.893.734/0001-66;2019-03-29;1;03/2019;0.006379;0.006379
28.893.734/0001-66;2019-06-28;1;04/2019;-0.024576;-0.024576
28.893.734/0001-66;2019-06-28;1;05/2019;-0.022355;-0.022355
28.893.734/0001-66;2019-06-28;1;06/2019;-0.068894;-0.068894
28.893.734/0001-66;2019-09-30;1;07/2019;-0.011777;-0.011777
28.893.734/0001-66;2019-09-30;1;08/2019;-0.007792;-0.007792
28.893.734/0001-66;2019-09-30;1;09/2019;-0.008449;-0.008449
28.893.734/0001-66;2019-12-31;1;10/2019;-0.087789;-0.087789
28.893.734/0001-66;2019-12-31;1;11/2019;-0.01212;-0.01212
28.893.734/0001-66;2019-12-31;1;12/2019;-0.007822;-0.007822
30.230.870/0001-18;2019-09-30;1;07/2019;0;
30.230.870/0001-18;2019-09-30;1;08/2019;0;
30.230.870/0001-18;2019-09-30;1;09/2019;-0.00609;
30.230.870/0001-18;2019-12-31;1;10/2019;0;0
30.230.870/0001-18;2019-12-31;1;11/2019;0;0
30.230.870/0001-18;2019-12-31;1;12/2019;0;0
30.248.129/0001-84;2019-06-28;1;06/2019;0.006645;
30.248.129/0001-84;2019-06-28;1;05/2019;-0.012149;
30.248.129/0001-84;2019-06-28;1;04/2019;-0.011916;
30.248.129/0001-84;2019-09-30;1;06/2019;;
30.248.129/0001-84;2019-09-30;1;05/2019;;
30.248.129/0001-84;2019-09-30;1;04/2019;;
30.248.129/0001-84;2019-12-31;1;10/2019;0.009994;
30.248.129/0001-84;2019-12-31;1;11/2019;0.030328;
30.248.129/0001-84;2019-12-31;1;12/2019;0.001905;
30.248.158/0001-46;2019-09-30;1;07/2019;0;
30.248.158/0001-46;2019-09-30;1;08/2019;-0.004256;
30.248.158/0001-46;2019-09-30;1;09/2019;0.001207;
30.248.158/0001-46;2019-12-31;1;10/2019;0;0
30.248.158/0001-46;2019-12-31;1;11/2019;0;0
30.248.158/0001-46;2019-12-31;1;12/2019;0;0
30.248.180/0001-96;2019-12-31;1;10/19;0;0
30.248.180/0001-96;2019-12-31;1;11/19;0;0
30.248.180/0001-96;2019-12-31;1;12/19;0;0
30.492.505/0001-81;2019-03-31;1;03/2019;0.000254;0.000254
30.492.505/0001-81;2019-06-30;1;06/2019;-0.000272;-0.000272
30.492.505/0001-81;2019-09-30;1;06/2019;0.000253;0.000253
30.492.505/0001-81;2019-12-31;1;12/2019;0.000259;0.000259
30.578.316/0001-26;2019-06-28;1;06/2019;0.081098;
30.578.316/0001-26;2019-06-28;1;05/2019;-0.014636;
30.578.316/0001-26;2019-06-28;1;04/2019;0.530596;
30.578.316/0001-26;2019-09-30;1;07/2019;-0.016762;
30.578.316/0001-26;2019-09-30;1;08/2019;0.121792;
30.578.316/0001-26;2019-09-30;1;09/2019;0.117478;
30.578.316/0001-26;2019-12-31;1;10/2019;0;
30.578.316/0001-26;2019-12-31;1;11/2019;0;
30.578.316/0001-26;2019-12-31;1;12/2019;0;
30.578.417/0001-05;2019-12-31;1;10/2019;0;0
30.578.417/0001-05;2019-12-31;1;11/2019;0;0
30.578.417/0001-05;2019-12-31;1;12/2019;0;0
30.654.849/0001-40;2019-12-31;1;10/2019;0;0
30.654.849/0001-40;2019-12-31;1;11/2019;0;0
30.654.849/0001-40;2019-12-31;1;12/2019;0;0
30.791.386/0001-68;2019-06-30;1;N/A;0;0
30.791.386/0001-68;2019-09-30;1;N/A;0;0
30.791.386/0001-68;2019-12-31;2;N/A;0;0
30.982.880/0001-00;2019-09-30;2;07/2019;0.00371;
30.982.880/0001-00;2019-09-30;2;08/2019;0.000764;
30.982.880/0001-00;2019-09-30;2;09/2019;0.008534;
30.982.880/0001-00;2019-12-31;1;10/2019;0;0
30.982.880/0001-00;2019-12-31;1;11/2019;0;0
30.982.880/0001-00;2019-12-31;1;12/2019;0;0
30.982.974/0001-89;2019-12-31;1;10/2019;;
30.982.974/0001-89;2019-12-31;1;11/2019;;
