CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
30.982.974/0001-89;2019-12-31;1;12/2019;-0.002397;
30.983.020/0001-90;2019-09-30;3;07/2019;0.006937;
30.983.020/0001-90;2019-09-30;3;08/2019;0.141239;
30.983.020/0001-90;2019-09-30;3;09/2019;0.021688;
30.983.020/0001-90;2019-12-31;1;10/2019;-0.024788;
30.983.020/0001-90;2019-12-31;1;11/2019;0.058593;
30.983.020/0001-90;2019-12-31;1;12/2019;0.149308;
31.887.401/0001-39;2019-06-28;1;jun/19;-0.005676;-0.005676
31.887.401/0001-39;2019-06-28;1;mai/19;0.009079;0.009079
31.887.401/0001-39;2019-06-28;1;abr/19;-0.003304;-0.003304
31.887.401/0001-39;2019-09-30;1;set/19;0.004153;0.004153
31.887.401/0001-39;2019-09-30;1;ago/19;0.000319;0.000319
31.887.401/0001-39;2019-09-30;1;jul/19;0.009117;0.009117
31.887.401/0001-39;2019-12-31;1;dez/19;0.122013;0.122013
31.887.401/0001-39;2019-12-31;1;nov/19;0.027326;0.027326
31.887.401/0001-39;2019-12-31;1;out/19;0.006802;0.006802
32.655.589/0001-52;2019-06-28;1;05/2019;-0.024427;-0.024427
32.655.589/0001-52;2019-06-28;1;06/2019;0.014695;0.014695
32.655.589/0001-52;2019-09-30;1;07/2019;-0.005965;-0.005965
32.655.589/0001-52;2019-09-30;1;08/2019;-0.006092;-0.006092
32.655.589/0001-52;2019-09-30;1;09/2019;0.00499;0.00499
32.655.589/0001-52;2019-12-31;1;10/2019;-0.006226;-0.006226
32.655.589/0001-52;2019-12-31;1;11/2019;-0.004535;-0.004535
32.655.589/0001-52;2019-12-31;1;12/2019;-0.011966;-0.011966
34.081.611/0001-23;2019-12-31;1;10/2019;0;0
34.081.611/0001-23;2019-12-31;1;11/2019;0;0
34.081.611/0001-23;2019-12-31;1;12/2019;0;0
34.508.872/0001-87;2019-12-31;1;10/2019;;
34.508.872/0001-87;2019-12-31;1;11/2019;;
34.508.872/0001-87;2019-12-31;1;12/2019;0.001574;
34.509.007/0001-55;2019-12-31;1;10/2019;;
34.509.007/0001-55;2019-12-31;1;11/2019;;
34.509.007/0001-55;2019-12-31;1;12/2019;-0.076262;
34.691.925/0001-48;2019-12-31;1;11/2019;-0.007833;-0.007833
34.691.925/0001-48;2019-12-31;1;12/2019;-0.002826;-0.002826
