CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2019-03-31;1;Via Parque Shopping;Comércio;0.759165;0.75368
00.332.266/0001-31;2019-03-31;1;Via Parque Shopping;Serviço;0.240835;0.239095
00.332.266/0001-31;2019-06-30;1;Via Parque Shopping;Comércio;0.556592;0.548127
00.332.266/0001-31;2019-06-30;1;Via Parque Shopping;Serviço;0.443408;0.436665
00.332.266/0001-31;2019-09-30;3;Via Parque Shopping;Comércio;0.661813;0.652891
00.332.266/0001-31;2019-09-30;3;Via Parque Shopping;Serviço;0.338187;0.333627
00.332.266/0001-31;2019-12-31;1;Via Parque Shopping;Comércio;0.616059;0.609591
00.332.266/0001-31;2019-12-31;1;Via Parque Shopping;Serviço;0.383941;0.37991
00.762.723/0001-28;2019-03-31;1;CTI;Serviço;0.9486;0.974
00.762.723/0001-28;2019-03-31;1;CTI;Comércio;0.0514;0.0211
00.762.723/0001-28;2019-06-30;1;CTI;Serviço;0.968429;0.960754
00.762.723/0001-28;2019-06-30;1;CTI;Comércio;0.031571;0.03132
00.762.723/0001-28;2019-09-30;1;CTI;Serviço;0.953635;0.950051
00.762.723/0001-28;2019-09-30;1;CTI;Comércio;0.046365;0.04619
00.762.723/0001-28;2019-12-31;1;CTI;Serviço;0.953635;0.949943
00.762.723/0001-28;2019-12-31;1;CTI;Comércio;0.046365;0.046185
00.868.235/0001-08;2019-03-31;1;Hotel;Serviço;1;0.220929
00.868.235/0001-08;2019-03-31;1;ABS;Serviço;0.717594;0.553309
00.868.235/0001-08;2019-03-31;1;ABS;Comércio;0.282406;0.217752
00.868.235/0001-08;2019-06-30;1;Hotel;Serviço;1;0.18909
00.868.235/0001-08;2019-06-30;1;ABS;Serviço;0.709178;0.570614
00.868.235/0001-08;2019-06-30;1;ABS;Comércio;0.290822;0.234
00.868.235/0001-08;2019-09-30;1;Hotel;Serviço;1;0.182286
00.868.235/0001-08;2019-09-30;1;ABS;Serviço;0.694833;0.557824
00.868.235/0001-08;2019-09-30;1;ABS;Comércio;0.305167;0.248987
00.868.235/0001-08;2019-12-31;1;Hotel;Serviço;1;0.234118
00.868.235/0001-08;2019-12-31;1;ABS;Serviço;0.668481;0.666413
00.868.235/0001-08;2019-12-31;1;ABS;Comércio;0.331519;0.333587
01.201.140/0001-90;2019-03-31;1;Grand Plaza Shopping;Comércio;0.796023;0.790831
01.201.140/0001-90;2019-03-31;1;Grand Plaza Shopping;Serviço;0.203977;0.202647
01.201.140/0001-90;2019-06-30;1;Grand Plaza Shopping;Comércio;0.796023;0.790831
01.201.140/0001-90;2019-06-30;1;Grand Plaza Shopping;Serviço;0.203977;0.202647
01.201.140/0001-90;2019-09-30;1;Grand Plaza Shopping;Comércio;0.7478;0.791105
01.201.140/0001-90;2019-09-30;1;Grand Plaza Shopping;Serviço;0.2522;0.202647
01.201.140/0001-90;2019-12-31;1;Grand Plaza Shopping;Comércio;0.830315;0.825779
01.201.140/0001-90;2019-12-31;1;Grand Plaza Shopping;Serviço;0.169685;0.168758
01.235.622/0001-61;2019-03-29;3;AV. Brasil, 20384;N/A;0;0
01.235.622/0001-61;2019-03-29;3;Av. Mem de Sá;N/A;0;0
01.235.622/0001-61;2019-03-29;3;Barão de Mesquita;Ensino;1;0.0168
01.235.622/0001-61;2019-03-29;3;Cardeal Leme;Advocacia;0.065;0.006
01.235.622/0001-61;2019-03-29;3;Cardeal Leme;Contabilidade;0.113;0.011
01.235.622/0001-61;2019-03-29;3;Cardeal Leme;Comércio;0.181;0.017
01.235.622/0001-61;2019-03-29;3;Cardeal Leme;Consultoria;0.132;0.013
01.235.622/0001-61;2019-03-29;3;Carioca;Comércio;1;0.0248
