CNPJ_Fundo;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
01.235.622/0001-61;2019-06-28;3;Rua das Laranjeiras, nº 139, Laranjeiras - RJ;2268.47;Laranjeiras;0.05093;0.006322
01.235.622/0001-61;2019-09-30;2;Baia Formosa - Búzios RJ;16868;Búzios;1;0.00158228525244173
01.235.622/0001-61;2019-12-31;2;Baia Formosa - Búzios RJ;16868;Búzios;1;0.00158228525244173
04.782.236/0001-88;2019-06-30;1;R. D. Francisca, 8300 - Dist. Indl. Joinville - SC;89756;;0.097503;0.017091
07.583.627/0001-61;2019-03-31;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2019-06-30;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2019-09-30;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2019-12-31;1;Não Aplicavel;0;;0;0
09.150.967/0001-24;2019-09-30;1;Via Principal 02 - Zona Industrial - Igarassu / PE;33582.3;terreno industrial;1;0.1685
09.150.967/0001-24;2019-12-31;1;Via Principal 02 - Zona Industrial - Igarassu / PE;33582.3;terreno industrial;1;0.1685
10.456.799/0001-89;2019-06-30;1;Avenida Severo Dullius, 1025;4400;Concreserv;1;0.00940378716335537
10.456.799/0001-89;2019-09-30;1;Avenida Severo Dullius, 1025;4400;Concreserv;1;0.00940378716335537
10.456.799/0001-89;2019-12-31;1;Avenida Nações Unidas - Novo Hamburgo /RS;31477.8;aquisição para renda;1;0.00042286
11.326.746/0001-06;2019-09-30;1;Aldeia Itajuba, s/n - Chacaras Joapiranga II - Valinhos - SP;17305;Terreno em Construção;1;0
11.326.746/0001-06;2019-09-30;1;Rodovia Som Pedro I, Altura do KM 131 - Fazenda São Quirino;31564.1;Matricula 95.722 - INCRA nº 624.047.022.900-7;1;0
11.326.746/0001-06;2019-09-30;1;Rodovia Santos Dumont (SP 075);50043.7;Km 59-900m;1;0
