CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
01.235.622/0001-61;2019-03-29;3;Allegro;Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES;2019-03-31;604.87;5;Construção própia;0.033587;0.001758
01.235.622/0001-61;2019-03-29;3;Highline;R. José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES;2019-03-31;647.58;8;Construção própia;0.050941;0.002471
01.235.622/0001-61;2019-03-29;3;Estoque Diversos;Av. Carlos Moreira Lima, nº 460, Vitória-ES /  Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES / Rua Dona Tereza Cristina, no. 179, Colinas de Laranjeiras, Município da Serra/ES;2019-03-31;65.69;1;Aquisição de unidades prontas;0.003648;7.9E-05
01.235.622/0001-61;2019-03-29;3;Tijuca All Ways;Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ;2019-03-31;3861;42;Construção própia;0.357315;0.015185
01.235.622/0001-61;2019-03-29;3;Fusion;Bloco "D", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;2019-03-31;53.58;1;Construção própia;0.003967;9.1E-05
01.235.622/0001-61;2019-03-29;3;Gift;Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ;2019-03-31;80.3;1;Construção própia;0.004459;0.000212
01.235.622/0001-61;2019-03-29;3;Innovitá;Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ;2019-03-31;67.3;1;Aquisição de unidades prontas;0.004671;0.000216
01.235.622/0001-61;2019-03-29;3;Park Square;Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói;2019-03-31;306.31;3;Aquisição de unidades prontas;0.019843;0.001119
01.235.622/0001-61;2019-03-29;3;Aretê;Praia Rasa, Buzios - RJ;2019-03-31;2173.76;4;Construção própia;0.140819;0.002906
01.235.622/0001-61;2019-03-29;3;Icono Parque;Rua Machado de Assis, 40;2019-03-31;3447.78;44;Construção própia;0.398842;0.021884
01.235.622/0001-61;2019-03-29;3;Due Capri;Projeção "C" da  SQNW 307, do SHCNW, Brasília - DF;2019-03-31;453.67;13;Construção própia;0.041985;0.002213
01.235.622/0001-61;2019-03-29;3;Seasons;Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ;2019-03-31;58.67;1;Aquisição de unidades prontas;0.002715;0.00014
01.235.622/0001-61;2019-03-29;3;Torre Presidente JDK;Rua Presidente Vargas, 1121, Centro, Rio de Janeiro - RJ;2019-03-31;18867;1;Construção própia;0.22725;0.0646
01.235.622/0001-61;2019-06-28;3;Aretê;Praia Rasa, Buzios - RJ;2019-06-30;935.58;4;Construção própia;0.04523;0.003186
