CNPJ_Fundo;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2019-03-31;1;0;0;0;0;0;0;0;0;0;0;12792366.19;14181678.83;-226074.2;-226074.2;0;0;0;0;0;0;-2710521.78;-2526264.14;9855770.21;11429340.49;0;0;0;0;0;0;0;0;0;0;9855770.21;11429340.49;117442.02;117442.02;0;0;0;0;0;0;117442.02;117442.02;0;0;-223337.56;-242336.88;0;0;-36000;-36000;0;0;0;0;0;0;-15766.67;-15766.67;0;0;-27583.14;-27583.14;0;0;-61639.82;-61639.82;0;0;0;0;0;0;0;0;-24025.44;-24025.44;-388352.63;-407351.95;9584859.6;11139430.56;11139430.56;10582459.032;;;10582459.032;-8186055.71;2396403.322;0.95
00.332.266/0001-31;2019-06-30;1;0;0;0;0;0;0;0;0;0;0;12371704.09;12416032.61;-279575.04;-279575.04;0;0;0;0;0;0;-2661311.11;-2353095.49;9430817.94;9783362.08;0;0;0;0;0;0;0;0;0;0;9430817.94;9783362.08;137541.47;137541.47;0;0;0;0;0;0;137541.47;137541.47;0;0;-218178.72;-192692.29;0;0;-36000;-36000;0;0;0;0;0;0;0;0;0;0;-25302.71;-25302.71;0;0;-22661.98;-22661.98;0;0;0;0;0;0;0;0;-25911.87;-25911.87;-328055.28;-302568.85;9240304.13;9618334.7;20757765.26;19719876.997;;0;19719876.997;-13569550.74;6150326.257;0.95
00.332.266/0001-31;2019-09-30;3;0;0;0;0;0;0;0;0;0;0;12526428.72;12387030.99;-480856.14;-480856.14;0;0;0;0;0;0;-3253862.15;-2681119.81;8791710.43;9225055.04;0;0;0;0;0;0;0;0;0;0;8791710.43;9225055.04;172703.16;172703.16;0;0;0;0;0;0;172703.16;172703.16;0;0;-187661.26;-190130.93;0;0;-36000;-36000;0;0;0;0;0;0;0;0;0;0;-18381.86;-18381.86;0;0;-24951.63;-24951.63;0;0;0;0;0;0;0;0;-26022.2;-26022.2;-293016.95;-295486.62;8671396.64;9102271.58;9102271.58;8647158.001;;0;8647158.001;-3844193.06;4802964.941;0.95
00.332.266/0001-31;2019-12-31;1;0;0;0;0;0;0;0;0;0;0;16613375.7;14080479.38;-337683.69;-337683.69;0;0;0;0;74527843.92;0;-2743912.62;-2931054.36;88059623.31;10811741.33;0;0;0;0;0;0;0;0;0;0;88059623.31;10811741.33;127206.23;127206.23;0;0;0;0;0;0;127206.23;127206.23;0;0;-190526.7;-188525.97;0;0;-36000;-36000;0;0;0;0;0;0;0;0;0;0;-129734.95;-34041.34;0;0;-10212.92;-10212.92;0;0;0;0;0;0;0;0;-16250.15;-16250.15;-382724.72;-285030.38;87804104.82;10653917.18;19856188.76;18863379.322;;50574.85;18913954.172;-13838868.02;5075086.152;0.952547
00.613.094/0001-74;2019-03-31;1;;;;;;;-124183.58;-124183.58;-124183.58;-124183.58;0;;-143229.69;-143229.69;0;0;-431247.08;-231636.28;1007.91;;3317663.39;;2744194.53;-374865.97;;;;;;;;;0;0;2620010.95;-499049.55;;;;;;;;;0;0;0;0;0;;0;;0;;0;;0;;-11109.82;-11109.82;-12233.16;-12233.16;0;;-34701.54;-34701.54;0;;-29620.15;-29506.73;0;;0;;0;;0;;-60385.9;-29966.24;-148050.57;-117517.49;2471960.38;-616567.04;-616567.04;0;;;0;0;0;0
00.613.094/0001-74;2019-06-30;1;;;;;;;-186275.37;-186275.37;-186275.37;-186275.37;0;;-143229.69;-143229.69;0;0;-801565.62;-347454.42;0;;3408175.34;;2463380.03;-490684.11;;;;;;;;;0;0;2277104.66;-676959.48;;;;;;;;;0;0;0;0;0;;0;;0;;0;;0;;-22219.64;-22219.64;0;0;0;;-26536.33;-26536.33;0;;-23186.96;-23186.96;0;;0;;0;;0;;-30376.25;-7841.11;-102319.18;-79784.04;2174785.48;-756743.52;-1373310.56;0;;;0;0;0;0
00.613.094/0001-74;2019-09-30;1;;;;;;;-186275.37;-186275.37;-186275.37;-186275.37;0;;-143229.69;-143229.69;0;0;-531052.48;-347454.42;0;;650666.27;;-23615.9;-490684.11;;;;;;;;;0;0;-209891.27;-676959.48;;;;;;;;;0;0;0;0;0;;0;;0;;0;;0;;-16664.32;-16664.32;-14679.81;-14679.81;0;;-32070.43;-32070.43;0;;-17469.46;-17582.88;0;;0;;0;;0;;-79702.93;-55001.26;-160586.95;-135998.7;-370478.22;-812958.18;-812958.18;0;;;0;0;0;0
00.613.094/0001-74;2019-12-31;1;;;;;-10517987.64;;-124183.58;-124183.58;-10642171.22;-124183.58;0;;-95486.46;-95486.46;0;0;-402396.99;-231636.28;-185385257.8;;26189.23;;-185856952.02;-327122.74;;;;;;;;;0;0;-196499123.24;-451306.32;;;;;;;;;0;0;0;0;0;;0;;0;;0;;0;;-17498.8;-17498.8;-14679.81;-14679.81;0;;-29856.79;-29856.79;0;;-3467.68;-3467.68;0;;0;;0;;0;;-75605.13;-85055.99;-141108.21;-150559.07;-196640231.45;-601865.39;-1414823.57;0;;;0;0;0;0
00.762.723/0001-28;2019-03-31;1;0;0;0;0;0;0;0;0;0;0;3567811.57;4045470.18;-219907.19;-219907.19;0;0;0;0;0;0;-445015.63;-445015.63;2902888.75;3380547.36;0;0;0;0;0;0;0;0;0;0;2902888.75;3380547.36;35785.49;35785.49;0;0;0;0;0;0;35785.49;35785.49;0;0;-86119.13;-75323.49;0;0;0;0;0;0;0;0;0;0;-36000;-36000;0;0;-7306.47;-7306.47;0;0;-4535.04;-4535.04;0;0;0;0;0;0;0;0;-51067.26;-54927.65;-185027.9;-178092.65;2753646.34;3238240.2;3238240.2;3076328.19;;159562.82;3235891.01;-3235891.01;0;0.999275
00.762.723/0001-28;2019-06-30;1;0;0;0;0;0;0;0;0;0;0;3556034.57;3523290.39;-199938.63;-199938.63;;;;;;;-357329.17;-357329.17;2998766.77;2966022.59;0;0;0;0;0;0;0;0;0;0;2998766.77;2966022.59;31794.34;31794.34;0;0;0;0;0;0;31794.34;31794.34;0;0;-88545.87;-96575.9;;;;;;;;;;;;;;;-8047.86;-8047.86;;;-50671.29;-50671.29;;;;;;;;;-17615.3;-27639.41;-164880.32;-182934.46;2865680.79;2814882.47;6053122.67;5750466.5365;;271842.75;6022309.2865;-5057960.52;964348.7665;0.99491
