CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2018-03-31;1;Via Parque Shopping;Comércio;0.762996;0.751416
00.332.266/0001-31;2018-03-31;1;Via Parque Shopping;Serviço;0.237004;0.233407
00.332.266/0001-31;2018-06-30;2;Via Parque Shopping;Comércio;0.766172;0.760556
00.332.266/0001-31;2018-06-30;2;Via Parque Shopping;Serviço;0.233828;0.232114
00.332.266/0001-31;2018-09-30;1;Via Parque Shopping;Comércio;0.68076;0.673666
00.332.266/0001-31;2018-09-30;1;Via Parque Shopping;Serviço;0.31924;0.315913
00.332.266/0001-31;2018-12-31;1;Via Parque Shopping;Comércio;0.802611;0.797223
00.332.266/0001-31;2018-12-31;1;Via Parque Shopping;Serviço;0.197389;0.196064
00.762.723/0001-28;2018-03-31;1;CTI;Serviço;0.95585;0.952696
00.762.723/0001-28;2018-06-30;1;CTI;Comercio;0.021731;0.02166
00.762.723/0001-28;2018-06-30;1;CTI;Serviços;0.978269;0.9751
00.762.723/0001-28;2018-09-30;1;CTI;Serviço;0.9773;0.97601
00.762.723/0001-28;2018-09-30;1;CTI;Comércio;0.0227;0.0226
00.762.723/0001-28;2018-12-31;1;CTI;Serviço;0.9486;0.974
00.762.723/0001-28;2018-12-31;1;CTI;Comércio;0.0514;0.0211
00.868.235/0001-08;2018-03-31;1;Hotel;Serviço;1;0.190733
00.868.235/0001-08;2018-03-31;1;ABS;Serviço;0.897608;0.893813
00.868.235/0001-08;2018-03-31;1;ABS;Comércio;0.102392;0.101959
00.868.235/0001-08;2018-06-30;1;Hotel;Serviço;1;0.190699
00.868.235/0001-08;2018-06-30;1;ABS;Serviço;0.659224;0.446242
00.868.235/0001-08;2018-06-30;1;ABS;Comércio;0.340776;0.230678
00.868.235/0001-08;2018-09-30;1;Hotel;Serviço;1;0.205667
00.868.235/0001-08;2018-09-30;1;ABS;Serviço;0.703423;0.557824
00.868.235/0001-08;2018-09-30;1;ABS;Comércio;0.296577;0.23519
00.868.235/0001-08;2018-12-31;1;Hotel;Serviço;1;0.182286
00.868.235/0001-08;2018-12-31;1;ABS;Serviço;0.694833;0.557824
00.868.235/0001-08;2018-12-31;1;ABS;Comércio;0.305167;0.248987
01.201.140/0001-90;2018-03-31;1;Grand Plaza Shopping;Comércio;0.812805;0.860735
01.201.140/0001-90;2018-03-31;1;Grand Plaza Shopping;Serviço;0.187195;0.135642
01.201.140/0001-90;2018-06-30;1;Grand Plaza Shopping;Comércio;0.775391;0.770925
01.201.140/0001-90;2018-06-30;1;Grand Plaza Shopping;Serviço;0.224609;0.223315
01.201.140/0001-90;2018-09-30;1;Grand Plaza Shopping;Comércio;0.786105;0.782167
01.201.140/0001-90;2018-09-30;1;Grand Plaza Shopping;Serviço;0.213895;0.212824
01.201.140/0001-90;2018-12-31;1;Grand Plaza Shopping;Comércio;0.796023;0.790831
01.201.140/0001-90;2018-12-31;1;Grand Plaza Shopping;Serviço;0.203977;0.202647
01.235.622/0001-61;2018-03-29;3;AV. Brasil, 20384;Comércio;0;0
01.235.622/0001-61;2018-03-29;3;AV. Mem de Sá;Comércio;0;0
01.235.622/0001-61;2018-03-29;3;Barão de Mesquita;Ensino;1;0
01.235.622/0001-61;2018-03-29;3;Cardeal Leme;Serviços;0.195463;0.007743
01.235.622/0001-61;2018-03-29;3;Cardeal Leme;Contabilidade;0.096495;0.003822
01.235.622/0001-61;2018-03-29;3;Cardeal Leme;Comércio;0.132373;0.005244
01.235.622/0001-61;2018-03-29;3;Cardeal Leme;Engenharia;0.098899;0.003918
01.235.622/0001-61;2018-03-29;3;Cesbom;Ensino;1;0.044621
01.235.622/0001-61;2018-03-29;3;Citta America;Mineração;0.67;0.002734
01.235.622/0001-61;2018-03-29;3;Citta America;Academia;0.212338;0.0865
01.235.622/0001-61;2018-03-29;3;Citta America;Telecomunicação;0.08;0.000345
01.235.622/0001-61;2018-03-29;3;Citta America;Comércio;0.028764;0.01172
01.235.622/0001-61;2018-03-29;3;Citta Office;Mídia;1;0.041908
01.235.622/0001-61;2018-03-29;3;Conde de Bonfim, 149;Comércio;1;0.008007
01.235.622/0001-61;2018-03-29;3;Dom Gerardo, 46;Logistica;0.12493;0.009232
01.235.622/0001-61;2018-03-29;3;Dom Gerardo, 46;Serviços;0.090783;0.006709
01.235.622/0001-61;2018-03-29;3;Dom Gerardo, 46;Governo;0.784285;0.057959
01.235.622/0001-61;2018-03-29;3;Goldan Corporate;Auditoria;0.247858;0.008601
01.235.622/0001-61;2018-03-29;3;Goldan Corporate;Consultoria;0.050445;0.001795
01.235.622/0001-61;2018-03-29;3;Goldan Corporate;Engenharia;0.335807;0.00882
01.235.622/0001-61;2018-03-29;3;Goldan Corporate;Oleo & gás;0.23606;0.0084
01.235.622/0001-61;2018-03-29;3;Presidente Antonio Carlos;Serviços;0;0
01.235.622/0001-61;2018-03-29;3;Marechal Camara;Engenharia;1;0.011381
01.235.622/0001-61;2018-03-29;3;Primeiro de Março;Comércio;0;0
01.235.622/0001-61;2018-03-29;3;Rio de Branco, 45;Advocacia;1;0.003533
01.235.622/0001-61;2018-03-29;3;Senhor dos Passos, 107;Comércio;1;0.003533
01.235.622/0001-61;2018-03-29;3;Sete de Setembro;Comércio;1;0.004437
01.235.622/0001-61;2018-03-29;3;Travessa do Ouvidor;Comércio;1;0.006687
01.235.622/0001-61;2018-03-29;3;Uruguaiana, 76;Comércio;1;0.004543
01.235.622/0001-61;2018-03-29;3;Uruguaiana, 78;Comércio;1;0.005955
01.235.622/0001-61;2018-03-29;3;Metropolitan;Hospitalar;1;0.013812
01.235.622/0001-61;2018-03-29;3;Largo de Santa Rita;Comércio;0;0
01.235.622/0001-61;2018-03-29;3;Visconde de Inhauma;Hotelaria;0;0
01.235.622/0001-61;2018-03-29;3;São Pedro da Aldeia;Água e Esgoto;1;0.010558
01.235.622/0001-61;2018-03-29;3;Carioca;Comércio;1;0.025561
01.235.622/0001-61;2018-06-29;2;AV. Brasil, 20384;Comércio;0;0
01.235.622/0001-61;2018-06-29;2;Av. Mem de Sá;Comércio;0;0
01.235.622/0001-61;2018-06-29;2;Barão de Mesquita;Ensino;1;0.001594
01.235.622/0001-61;2018-06-29;2;Cardeal Leme;Advocacia;0.081892;0.004615
01.235.622/0001-61;2018-06-29;2;Cardeal Leme;Contabilidade;0.139357;0.107853
01.235.622/0001-61;2018-06-29;2;Cardeal Leme;Comércio;0.185742;0.010467
01.235.622/0001-61;2018-06-29;2;Cardeal Leme;Consultoria;0.089989;0.005071
01.235.622/0001-61;2018-06-29;2;Carioca;Comercio;1;0.018933
01.235.622/0001-61;2018-06-29;2;CESBOM;Ensino;1;0.051764
01.235.622/0001-61;2018-06-29;2;Citta America;Academia;0.181251;0.093912
01.235.622/0001-61;2018-06-29;2;Citta America;Comercio;0.019921;0.010322
01.235.622/0001-61;2018-06-29;2;Citta America;Mineração;0.79267;0.41071
01.235.622/0001-61;2018-06-29;2;Citta America;Serviços;0.006158;0.003191
01.235.622/0001-61;2018-06-29;2;Citta Office;Midia;1;0.045777
01.235.622/0001-61;2018-06-29;2;Conde de Bonfim,149;Comercio;1;0.008816
01.235.622/0001-61;2018-06-29;2;Dom Gerado 46;Comercio;0.024452;0.001755
01.235.622/0001-61;2018-06-29;2;Dom Gerado 46;Engenharia;0.068404;0.004908
01.235.622/0001-61;2018-06-29;2;Dom Gerado 46;Governo;0.700392;0.050257
01.235.622/0001-61;2018-06-29;2;Dom Gerado 46;Logistica;0.10355;0.00743
01.235.622/0001-61;2018-06-29;2;Golden Corporate;Auditoria;0.282014;0.009618
01.235.622/0001-61;2018-06-29;2;Golden Corporate;Consultoria;0.135642;0.004626
01.235.622/0001-61;2018-06-29;2;Golden Corporate;Engenharia;0.282253;0.009627
01.235.622/0001-61;2018-06-29;2;Golden Corporate;Seguros;0.300091;0.010235
01.235.622/0001-61;2018-06-29;2;Marechal Camara;Engenharia;0;0
01.235.622/0001-61;2018-06-29;2;Presidente Antonio Carlos;Comércio;0;0
01.235.622/0001-61;2018-06-29;2;Primeiro de Março;Advocacia;1;0
01.235.622/0001-61;2018-06-29;2;Rio Branco 45;Advocacia;1;0.005602
01.235.622/0001-61;2018-06-29;2;Senhor dos Passos 107;Comércio;1;0.002924
01.235.622/0001-61;2018-06-29;2;Sete de Setembro;Comércio;1;0.005662
01.235.622/0001-61;2018-06-29;2;Travessa do Ouvidor;Comércio;1;0.007305
01.235.622/0001-61;2018-06-29;2;Uruguaiana, 76;Comércio;1;0.002924
01.235.622/0001-61;2018-06-29;2;Uruguaiana, 78;Comercio;1;0.006857
01.235.622/0001-61;2018-06-29;2;Metrpolitan;Hospitalar;1;0.152063
01.235.622/0001-61;2018-06-29;2;Largo de Santa Rita;Hotelaria;0;0
01.235.622/0001-61;2018-06-29;2;Visconde de Inhauma;Hotelaria;1;0
01.235.622/0001-61;2018-06-29;2;São Pedro da Aldeia;Agua e Esgoto;1;0.009428
01.235.622/0001-61;2018-06-29;2;Dom Gerardo 40/42;Comercio;0;0
01.235.622/0001-61;2018-06-29;2;Torre Presidente;Estacionamento;0;0
01.235.622/0001-61;2018-09-28;3;AV. Brasil, 20384;Comércio;0;0
01.235.622/0001-61;2018-09-28;3;Av. Mem de Sá;Comércio;0;0
01.235.622/0001-61;2018-09-28;3;Barão de Mesquita;Ensino;1;0.002553
01.235.622/0001-61;2018-09-28;3;Cardeal Leme;Advocacia;0.074071;0.007392
01.235.622/0001-61;2018-09-28;3;Cardeal Leme;Contabilidade;0.126048;0.012579
01.235.622/0001-61;2018-09-28;3;Cardeal Leme;Comércio;0.168004;0.016766
01.235.622/0001-61;2018-09-28;3;Cardeal Leme;Consultoria;0.181098;0.004684
01.235.622/0001-61;2018-09-28;3;Carioca;Comercio;1;0.030325
01.235.622/0001-61;2018-09-28;3;CESBOM;Ensino;1;0.082565
01.235.622/0001-61;2018-09-28;3;Citta America;Academia;0.874217;0.1504
01.235.622/0001-61;2018-09-28;3;Citta Office;Midia;1;0.078398
01.235.622/0001-61;2018-09-28;3;Conde de Bonfim,149;Comercio;1;0.014121
01.235.622/0001-61;2018-09-28;3;Dom Gerado 46;Serviços;0.103201;0.011861
01.235.622/0001-61;2018-09-28;3;Dom Gerado 46;Governo;0.700392;0.0805
01.235.622/0001-61;2018-09-28;3;Dom Gerado 46;Logistica;0.10355;0.011902
01.235.622/0001-61;2018-09-28;3;Golden Corporate;Auditoria;0.282014;0.015406
01.235.622/0001-61;2018-09-28;3;Golden Corporate;Consultoria;0.135642;0.00741
01.235.622/0001-61;2018-09-28;3;Golden Corporate;Engenharia;0.282253;0.015419
01.235.622/0001-61;2018-09-28;3;Golden Corporate;Seguros;0.300091;0.016934
01.235.622/0001-61;2018-09-28;3;Marechal Camara;TI;1;0.018736
01.235.622/0001-61;2018-09-28;3;Presidente Antonio Carlos;Comércio;0;0
01.235.622/0001-61;2018-09-28;3;Primeiro de Março;Advocacia;1;0
01.235.622/0001-61;2018-09-28;3;Rio Branco 45;Advocacia;1;0.008974
01.235.622/0001-61;2018-09-28;3;Senhor dos Passos 107;Comércio;1;0.004684
01.235.622/0001-61;2018-09-28;3;Sete de Setembro;Comércio;1;0.009069
01.235.622/0001-61;2018-09-28;3;Travessa do Ouvidor;Comércio;1;0.0117
01.235.622/0001-61;2018-09-28;3;Uruguaiana, 76;Comércio;1;0.004684
01.235.622/0001-61;2018-09-28;3;Uruguaiana, 78;Comercio;1;0.010984
01.235.622/0001-61;2018-09-28;3;Metrpolitan;Hospitalar;1;0.261993
01.235.622/0001-61;2018-09-28;3;Largo de Santa Rita;Hotelaria;0;0
01.235.622/0001-61;2018-09-28;3;Visconde de Inhauma;Hotelaria;1;0
01.235.622/0001-61;2018-09-28;3;São Pedro da Aldeia;Agua e Esgoto;1;0.015101
01.235.622/0001-61;2018-09-28;3;Dom Gerardo 40/42;Comercio;0;0
01.235.622/0001-61;2018-09-28;3;Torre Presidente;Estacionamento;0;0
01.235.622/0001-61;2018-09-28;3;Esquina 98;Sala Comercial;0;0
01.235.622/0001-61;2018-12-31;3;AV. Brasil, 20384;Comércio;0;0
01.235.622/0001-61;2018-12-31;3;Av. Mem de Sá;Comércio;0;0
01.235.622/0001-61;2018-12-31;3;Barão de Mesquita;Ensino;1;3.6E-05
01.235.622/0001-61;2018-12-31;3;Cardeal Leme;Advocacia;0.077;0.01
01.235.622/0001-61;2018-12-31;3;Cardeal Leme;Contabilidade;0.084;0.011
01.235.622/0001-61;2018-12-31;3;Cardeal Leme;Comércio;0.13;0.018
01.235.622/0001-61;2018-12-31;3;Cardeal Leme;Consultoria;0.174;0.023
01.235.622/0001-61;2018-12-31;3;Carioca;Comercio;1;0.000424
01.235.622/0001-61;2018-12-31;3;CESBOM;Ensino;1;0.001155
01.235.622/0001-61;2018-12-31;3;Citta America;Academia;0.874;0.21
01.235.622/0001-61;2018-12-31;3;Citta America;Comércio;0.096;0.023
01.235.622/0001-61;2018-12-31;3;Citta America;Serviços;0.03;0.007
01.235.622/0001-61;2018-12-31;3;Citta Office;Midia;1;0.001096
01.235.622/0001-61;2018-12-31;3;Conde de Bonfim,149;Comercio;1;0.000197
01.235.622/0001-61;2018-12-31;3;Dom Gerado 46;Comércio;0.024;0.004
01.235.622/0001-61;2018-12-31;3;Dom Gerado 46;Engenharia;0.068;0.011
