CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2018-03-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57239;238;Shopping Center;0.045205;0.069;0.984823;;;;;;;
00.332.266/0001-31;2018-06-30;2;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57239;238;Shopping Center;0.048057;0.085117;0.99267;;;;;;;
00.332.266/0001-31;2018-09-30;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57239;238;Shopping Center;0.052677;0.043699;0.989579;;;;;;;
00.332.266/0001-31;2018-12-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57239;238;Shopping Center;0.0352;0.047;0.993287;;;;;;;
00.762.723/0001-28;2018-03-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.055349;0;0.9967;;;;;;;
00.762.723/0001-28;2018-06-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.055349;0;0.99676;;;;;;;
00.762.723/0001-28;2018-09-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.089;0;0.99801;;;;;;;
00.762.723/0001-28;2018-12-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.086;0;0.9951;;;;;;;
00.868.235/0001-08;2018-03-31;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.069485;0.805845;;;;;;;
00.868.235/0001-08;2018-03-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.190733;;;;;;;
00.868.235/0001-08;2018-06-30;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.2021;0;0.8064;;;;;;;
00.868.235/0001-08;2018-06-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.190699;;;;;;;
00.868.235/0001-08;2018-09-30;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.069485;0.793014;;;;;;;
00.868.235/0001-08;2018-09-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.205338;;;;;;;
00.868.235/0001-08;2018-12-31;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.069485;0.815904;;;;;;;
00.868.235/0001-08;2018-12-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.182286;;;;;;;
01.201.140/0001-90;2018-03-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;300;Shopping Center;0.021;0.088;0.993575;;;;;;;
01.201.140/0001-90;2018-06-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.017;0.079;0.99424;;;;;;;
01.201.140/0001-90;2018-09-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.012;0.09638;0.994991;;;;;;;
01.201.140/0001-90;2018-12-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.012;0.09638;0.993478;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Senhor dos Passos, 107;Rua Senhor dos Passos, 107, Centro, Rio de Janeiro;382;1;Salas;0;0;0.0035;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Visconde de Inhauma;Rua Visconde de Inhauma, 95, Centro, Rio de Janeiro;7688.02;1;Prédio;1;0;0;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Rio de Branco, 45;Av Rio Branco, 45, Centro, Rio de Janeiro;520;1;Salas;0.6007;0;0.005;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Marechal Camara;Rua Marechal Camara, 160, Centro, Rio de Janeiro;840;1;Salas;0;0;0.0113;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;São Pedro da Aldeia;Rodovia Amaral Peixoto, Km107, Quadra 20, Lote 9, S/N, Balneario, São Pedro da Aldeia;3581.88;1;Prédio;1;0;0.0106;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para venda acabados;Due Murano;Projeção "D" da  SQNW 307, do SHCNW, Brasília - DF;65;2;Construção própia;;;;;;;;;;0.009057
01.235.622/0001-61;2018-03-29;3;Imóveis para venda acabados;Vision;Bloco "F", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;170;2;Construção própia;;;;;;;;;;0.017668
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Primeiro de Março;Rua Primeiro de Março, 19, Centro, Rio de Janeiro;798;1;Salas;0;1;0;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Dom Gerardo, 46;Rua Dom Gerardo, 46, Centro, Rio de Janeiro;4750;5;Andares;0.2266;0;0.0738;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;AV. Brasil, 20384;Av Brasil, 20384, Rio de Janeiro;6500;1;Galpão;1;0;0;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para venda acabados;Park Square;Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói;1700;17;Aquisição de unidades prontas;;;;;;;;;;0.188248
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Uruguaiana, 76;Rua Uruguaiana, 76, Centro, Rio de Janeiro;282;1;Salas;0;0;0.0045;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para venda acabados;Gift;Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ;2761;36;Construção própia;;;;;;;;;;0.229355
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Metropolitan;Av Professor Magalhães Neto, na Pituba, Subdistrito de Amalina, Salvador;5662;101;Salas;0;0;0.1379;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para venda acabados;Allegro;Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES;1771;16;Construção própia;;;;;;;;;;0.147138
01.235.622/0001-61;2018-03-29;3;Imóveis para venda acabados;Fusion;Bloco "D", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;116;2;Construção própia;;;;;;;;;;0.012046
01.235.622/0001-61;2018-03-29;3;Imóveis para renda acabados;Cesbom;Fazenda Cachoeirinha, Bom Despacho, Minas Gerais;17539;1;Centro de Ensino;0;0;0.0445;;;;;;;
01.235.622/0001-61;2018-03-29;3;Imóveis para venda acabados;Seasons;Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ;240;4;Aquisição de unidades prontas;;;;;;;;;;0.016613
