CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
01.235.622/0001-61;2018-12-31;3;Itabira;Confluências das Ruas Guarda Mor Custódio, Dr. Sinzenandro de Barros e Av. Daniel Jardim de Grisolia, Itabira - MG;1528;1;N/A;0.009408;Renda
01.235.622/0001-61;2018-12-31;3;Itumbiara;Av. Santos Dumont, Quadra 64 - Lote 1B, Bairro Santos Dumont, Itumbiara - GO;4900.01;1;N/A;0.004458;Renda
03.683.056/0001-86;2018-09-30;2;PARQUE SANTOS;Alameda Santos, 1163, Cerqueira César, São Paulo/SP;5135;1;Laje Corporativa;0.178325;Renda
03.683.056/0001-86;2018-09-30;2;CETENCO;Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP;1067.68;11;Laje Corporativa;0.044951;Renda
03.683.056/0001-86;2018-12-31;1;PARQUE SANTOS;Alameda Santos, 1163, Cerqueira César, São Paulo/SP;5135;1;Laje Corporativa;0.178325;Renda
03.683.056/0001-86;2018-12-31;1;CETENCO;Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP;1067.68;11;Laje Corporativa;0.044951;Renda
07.224.019/0001-60;2018-12-31;2;Loja Shopping Parque Dom Pedro;Av. Guilherme de Campos, 500 - Campinas.;3322.42;1;Não possui caracteristicas que destoem dos demais;0.0535;Renda
07.583.627/0001-61;2018-03-31;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
07.583.627/0001-61;2018-06-30;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
07.583.627/0001-61;2018-09-30;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
07.583.627/0001-61;2018-12-31;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
08.706.065/0001-69;2018-03-31;1;Estanplaza Berrini;Av. Eng. Luís Carlos Berrini, 853 - Apto 905;30.38;1;Estanplaza Berrini;0.001548;Renda
08.706.065/0001-69;2018-03-31;1;Estanplaza International;Rua Fernandes Moreira, 1293 - Apto 908;26.29;1;Estanplaza International;0.001517;Renda
08.706.065/0001-69;2018-06-29;1;Estanplaza International;Rua Fernandes Moreira, 1293 - Apto 905;26.29;1;Estanplaza International;0.0015;Renda
09.072.017/0001-29;2018-06-30;1;Mario Garnero cj. 161;Avenida Brigadeiro Faria Lima 1.485;730.84;1;-;0.007424;Renda
09.072.017/0001-29;2018-09-30;1;Berrini One;Avenida Eng. Carlos Berrini 105;8657.22;13;-;0.119232;Renda
10.869.155/0001-12;2018-12-31;2;Loja Shopping Parque Dom Pedro;Av. Guilherme de Campos, 500 - Campinas.;3322.42;1;Não possui caracteristicas que destoem dos demais;0.0535;Renda
11.728.688/0001-47;2018-06-30;1;Gerdau RJ;Estrada do Pedregoso, 900, Campo Grande, RJ;16532;1;Imóvel detido pela  SPE CAMPO GRANDE, adquirida integralmente pelo Fundo no trimestre;0.104772;Renda
11.728.688/0001-47;2018-06-30;1;Tetra Pak;Rua Tobias Bueno de Oliveira, 701, Monte Mor, SP;24696;1;Imóvel detido pela  REAL ESTATE XIII INV IMOB E PARTICIP SA, adquirida integralmente pelo Fundo no trimestre;0.148823;Renda
11.728.688/0001-47;2018-09-30;2;Lojas Americanas Uberlândia;BR-497, Km 1480, Uberlândia, MG;89187;1;-;0.264055;Renda
11.728.688/0001-47;2018-12-31;1;Lojas Americanas Uberlândia;BR-497, Km 1480, Uberlândia, MG;89187;1;-;0.257978;Renda
12.005.956/0001-65;2018-12-31;1;Boulevard Corporate Tower;Avenida dos Andradas, 3000, Santa Efigênia, Belo Horizonte - MG;10813.86;36;NA;1;Renda
13.726.079/0001-84;2018-03-31;1;AV GOIAS;Rua Tapajós e Rua Capiberibe, Vila Barcelona, São Caetano do Sul, SP;18424;2;Imóveis compostos por terreno e áreas construídas.;0.3548;Renda
13.726.079/0001-84;2018-06-30;1;AV GOIAS;Rua Tapajós e Rua Capiberibe, Vila Barcelona, São Caetano do Sul, SP;18424;2;Imóveis compostos por terreno e áreas construídas.;0.3548;Renda
13.726.079/0001-84;2018-09-30;2;AV GOIAS;Rua Tapajós e Rua Capiberibe, Vila Barcelona, São Caetano do Sul, SP;18424;2;Imóveis compostos por terreno e áreas construídas.;0.3548;Renda
13.726.079/0001-84;2018-12-31;1;AV GOIAS;Rua Tapajós e Rua Capiberibe, Vila Barcelona, São Caetano do Sul, SP;18424;2;Imóveis compostos por terreno e áreas construídas.;0.3808;Venda
15.576.907/0001-70;2018-06-30;2;Bonsucesso;Av. Carmela Thomeu, 557 - Guarulhos - SP;938.02;1;Agência bancária;0;Renda
15.576.907/0001-70;2018-06-30;2;Ferraz de Vasconcelos;R. Santos Dumont, 599 - Ferraz de Vasconcelos - SP;954;1;Agência bancária;0;Renda
15.576.907/0001-70;2018-06-30;2;Itaquera;Av. Maria Luiza Americano, 1688 - São Paulo - SP;912;1;Agência bancária;0;Renda
15.576.907/0001-70;2018-06-30;2;Jaraguá;Estrada de Taipas, 355 - São Paulo - SP;1335.14;1;Agência bancária;0;Renda
15.576.907/0001-70;2018-06-30;2;São Mateus;Av. Mateo Bei, 413 - São Paulo - SP;938.02;1;Agência bancária;0;Renda
15.576.907/0001-70;2018-06-30;2;São Miguel Paulista;Av. do Imperador, 3892 - São Paulo - SP;1024.8;1;Agência bancária;0;Renda
16.671.412/0001-93;2018-12-28;1;One Park;Rodovia Índio Tibiriçá, nº 6.000;86313.48;7;N/A;0.625;Renda
16.924.913/0001-34;2018-12-31;1;Edifício V House;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP;;14;Unidades do imóvel adquiridas pelo Fundo como dação em pagamento de parte de redução de capital da Companhia Investida VRE D2 S.A;0.102;Renda
17.161.979/0001-82;2018-09-30;1;Imovel Rua Amazonas;Av. Amazonas, 4338, 4350, 43360 e 4368 e Rua Junquilhas, 113, 119, 151, 155-F, 159 e 183;9551.57;1;3,01529m² que corresponde à 31,5677% da area total do imovel de 9.551,57m²;1;Renda
17.554.274/0001-25;2018-12-31;2;Shopping Center Tacaruna;Av. Governador Agamenon Magalhães, nº 153, Santo Amaro, Recife, PE;50110;259;NA;0.16670737;Renda
17.554.274/0001-25;2018-12-31;2;Shopping Iguatemi Fortaleza;Av. Washington Soares, nº 95, CEP 60810-060, Fortaleza, Ceará;90000;432;NA;0.15;Renda
17.655.115/0001-17;2018-03-31;1;WT Morumbi;Av. das Nações Unidas, 14261 - ALA A, São Paulo - SP;19320.31;12;401 a 1501 ala "A".;0.201;Renda
18.950.957/0001-64;2018-06-30;1;Gaspar - SC;Rua Anfiloquio Nunes Pires, 49, Bela Vista;14468.92;1;Contrato de locação Built to Suit longo prazo;0.0567;Renda
18.950.957/0001-64;2018-06-30;1;Indaial - SC;Rodovia BR 470 s/n, Encano do Norte;39674;1;Contrato de locação Built to Suit longo prazo;0.1195;Renda
18.950.957/0001-64;2018-09-30;1;Campo Mourão - PR;Av. Perimetral Presidente Tancredo de Almeida Neves, 1.757;26895.2;1;Contrato de locação longo prazo;0.0099;Renda
