CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
00.762.723/0001-28;2018-06-30;1;06/2018;0.007941;
00.762.723/0001-28;2018-09-30;1;09/2018;0.007461;
00.762.723/0001-28;2018-12-31;1;12/2018;0.008112;
01.235.622/0001-61;2018-12-31;3;Outubro 2018;0.0061;0.0061
01.235.622/0001-61;2018-12-31;3;Novembro 2018;0.0052;0.0052
01.235.622/0001-61;2018-12-31;3;Dezembro 2018;-0.009;-0.009
01.497.954/0001-14;2018-03-31;1;03/2018;0.002218;0.002218
01.497.954/0001-14;2018-06-30;1;06/2018;0.002289;
01.497.954/0001-14;2018-09-30;1;09/2018;0.001965;
01.497.954/0001-14;2018-12-31;1;12/2018;0.088591;
01.601.918/0001-59;2018-03-31;1;03/2018;0.006658;
01.636.325/0001-28;2018-03-31;1;03/2018;0.00561;0.00561
01.636.325/0001-28;2018-06-30;1;06/2018;0.006857;0.006857
01.636.325/0001-28;2018-09-30;1;09/2018;0.006074;0.006074
01.636.325/0001-28;2018-12-31;1;12/2018;0.159222;0.159222
01.657.856/0001-05;2018-03-31;1;03/2018;0.00214;0.00214
01.657.856/0001-05;2018-06-30;1;06/2018;0.005784;0.005784
01.657.856/0001-05;2018-09-30;1;09/2018;0.006245;0.006245
01.657.856/0001-05;2018-12-31;1;12/2018;0.021037;0.021037
02.027.437/0001-44;2018-03-31;1;03/2018;-0.000186;
02.027.437/0001-44;2018-06-30;1;06/2018;-0.00513;
02.027.437/0001-44;2018-09-30;1;09/2018;0.000269;
02.027.437/0001-44;2018-12-31;1;12/2018;0.001255;
02.508.235/0001-14;2018-03-31;1;03/2018;0.012479;
02.508.235/0001-14;2018-09-30;1;09/2018;0.012534;
02.508.235/0001-14;2018-12-31;1;12/2018;0.011128;
03.855.441/0001-63;2018-03-31;1;03/2018;0.036953;
03.855.441/0001-63;2018-06-30;1;06/2018;-0.017557;
03.855.441/0001-63;2018-09-30;1;09/2018;0.008099;
03.855.441/0001-63;2018-12-31;1;12/2018;-0.022746;
04.141.645/0001-03;2018-03-31;1;03/2018;0.004955;0.004955
04.141.645/0001-03;2018-06-30;2;06/2018;0.004938;0.004938
04.141.645/0001-03;2018-09-30;1;09/2018;0.005754;0.005754
04.141.645/0001-03;2018-12-31;1;12/2018;0.052776;0.052776
07.583.627/0001-61;2018-03-31;1;Não Aplicavel;0;0
07.583.627/0001-61;2018-06-30;1;Não Aplicavel;0;0
07.583.627/0001-61;2018-09-30;1;Não Aplicavel;0;0
07.583.627/0001-61;2018-12-31;1;Não Aplicavel;0;0
08.417.532/0001-30;2018-03-31;1;03/2018;0.003704;
08.417.532/0001-30;2018-06-30;1;06/2018;0.009394;
08.417.532/0001-30;2018-09-30;1;09/2018;0.018429;
08.417.532/0001-30;2018-12-31;1;12/2018;0.001282;
09.350.920/0001-04;2018-03-31;1;03/2018;0.00784;
10.456.799/0001-89;2018-03-31;1;03/2018;0.003992;
10.456.799/0001-89;2018-06-30;1;06/2018;0.003117;
10.456.799/0001-89;2018-09-30;1;09/2018;0.005441;
10.456.799/0001-89;2018-12-31;1;12/2018;0.224279;
10.456.810/0001-00;2018-03-31;1;03/2018;-9.7E-05;
10.456.810/0001-00;2018-06-30;1;06/2018;0.0014;
10.456.810/0001-00;2018-09-30;1;09/2018;0.003977;
10.456.810/0001-00;2018-12-31;1;12/2018;0.007134;
11.268.335/0001-01;2018-03-29;1;01/2018;0.01246;0.01246
11.268.335/0001-01;2018-03-29;1;02/2018;0.001335;0.001335
11.268.335/0001-01;2018-03-29;1;03/2018;-0.001017;-0.001017
11.268.335/0001-01;2018-06-29;1;04/2018;0.000136;0.000136
11.268.335/0001-01;2018-06-29;1;05/2018;0.007689;0.007689
11.268.335/0001-01;2018-06-29;1;06/2018;-0.063538;-0.063538
11.268.335/0001-01;2018-09-28;1;07/2018;-0.00821;-0.00821
11.268.335/0001-01;2018-09-28;1;08/2018;0.006622;0.006622
11.268.335/0001-01;2018-09-28;1;09/2018;-0.003413;-0.003413
11.268.335/0001-01;2018-12-31;1;10/2018;0.001285;0.001285
11.268.335/0001-01;2018-12-31;1;11/2018;0.001464;0.001464
11.268.335/0001-01;2018-12-31;1;12/2018;0.007329;0.007329
11.281.322/0001-72;2018-03-29;1;01/2018;0.00192;0.00192
11.281.322/0001-72;2018-03-29;1;02/2018;0.001606;0.001606
11.281.322/0001-72;2018-03-29;1;03/2018;0.001757;0.001757
11.281.322/0001-72;2018-06-29;1;04/2018;0.001755;0.001755
11.281.322/0001-72;2018-06-29;1;05/2018;0.001588;0.001588
11.281.322/0001-72;2018-06-29;1;06/2018;0.001822;0.001822
11.281.322/0001-72;2018-09-28;2;07/2018;0.000229;0.000229
11.281.322/0001-72;2018-09-28;2;08/2018;0.002446;0.002446
11.281.322/0001-72;2018-09-28;2;09/2018;-6.3E-05;-6.3E-05
11.281.322/0001-72;2018-12-31;1;10/2018;-0.000122;-0.000122
11.281.322/0001-72;2018-12-31;1;11/2018;0.004466;0.004466
11.281.322/0001-72;2018-12-31;1;12/2018;0.005387;0.005387
12.804.013/0001-00;2018-03-31;1;03/2018;0.002087;0.002087
12.804.013/0001-00;2018-06-30;1;06/2018;0.223465;
12.804.013/0001-00;2018-09-30;1;09/2018;0.001153;
12.804.013/0001-00;2018-12-31;1;12/2018;0.205397;
12.948.291/0001-23;2018-03-31;1;03/2018;0.006245;
13.022.994/0001-99;2018-09-30;1;09/2018;0.005879;
13.022.994/0001-99;2018-12-31;1;12/2018;0.009998;
13.500.306/0001-59;2018-03-31;1;03/2018;0.007145;
13.500.306/0001-59;2018-06-30;1;06/2018;0.007089;
13.652.006/0001-95;2018-03-31;1;out/16;0.0189;0.0042
13.652.006/0001-95;2018-06-30;1;out/16;0.0189;0.0042
13.873.457/0001-52;2018-03-31;1;03/2018;0.008711;0.005335
13.873.457/0001-52;2018-06-30;1;06/2018;-0.004392;
13.873.457/0001-52;2018-09-30;1;09/2018;0.008846;
13.873.457/0001-52;2018-12-31;1;12/2018;0.007701;
14.733.211/0001-48;2018-03-31;1;03/2018;0.005968;0.005968
14.733.211/0001-48;2018-06-30;1;06/2018;0.006702;0.006702
15.576.907/0001-70;2018-03-31;1;03/2018;0.007066;
16.802.320/0001-03;2018-09-28;1;09/2018;0.00518;
16.802.320/0001-03;2018-12-31;1;12/2018;0.010056;
17.098.794/0001-70;2018-03-29;1;12/2017;0.00900900540540541;0.00460962050117706
17.098.794/0001-70;2018-03-29;1;11/2017;0.0091786870800749;0.00411511229539399
17.098.794/0001-70;2018-03-29;1;10/2017;0.0099300881792183;0.00325926790450883
17.098.794/0001-70;2018-06-29;1;06/2018;-0.0423;
17.098.794/0001-70;2018-06-29;1;05/2018;-0.061;
17.098.794/0001-70;2018-06-29;1;04/2018;-0.0001;
17.098.794/0001-70;2018-09-28;1;09/2018;0.008977;
17.098.794/0001-70;2018-09-28;1;08/2018;0.009345;
17.098.794/0001-70;2018-09-28;1;07/2018;0.008437;
17.098.794/0001-70;2018-12-31;1;12/2018;0.017525;
17.098.794/0001-70;2018-12-31;1;11/2018;0.0152814;
17.098.794/0001-70;2018-12-31;1;10/2018;0.0351;
17.161.979/0001-82;2018-03-31;1;03/2018;0.004572;0.004572
17.161.979/0001-82;2018-06-30;1;06/2018;0.004554;0.004554
17.161.979/0001-82;2018-09-30;1;09/2018;0.005487;0.005487
17.161.979/0001-82;2018-12-31;1;12/2018;0.086852;0.086852
17.311.079/0001-74;2018-03-31;1;out/2017;0.011908;0.000443
17.311.079/0001-74;2018-03-31;1;nov/2017;0.009792;0.000245
17.311.079/0001-74;2018-03-31;1;dez/2017;0.011064;0.000219
17.311.079/0001-74;2018-09-30;1;Julho/2018;0.011283;0.000443
17.311.079/0001-74;2018-09-30;1;Agosto/2018;0.005503;-0.005835
17.311.079/0001-74;2018-09-30;1;Setembro/2018;0.00986;8E-05
17.311.079/0001-74;2018-12-31;1;Outubro/2018;0.011929;0.000592
