CNPJ_Fundo;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
01.235.622/0001-61;2018-06-29;2;Rua das Marrecas, 11, Centro;185.15;N/A;0.00653;0.001021
01.235.622/0001-61;2018-09-28;3;Rua Caetano Tunholi, 60, Enseada do Sua, Vitoria - ES;11449.5;Leilão Banco do Brasil - 85% do Opportunity Fundo de Investimento Imobiliário e 15% da Policlinica de Referência UVV LTDA.;0.120859;0.013476
01.235.622/0001-61;2018-12-31;3;Rua Ministro Raul Fernandes, Lote nº 4 do PAL 27.387;1635;Raul Fernandes - Botafogo;0.008146;0.01354
01.235.622/0001-61;2018-12-31;3;Gleba G-03, situada no perímetro do Distrito Federal - DF;655126;Taquari;0.260898;0.433649
01.235.622/0001-61;2018-12-31;3;Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ;2183.22;All Ways;0.054495;0.090578
04.782.236/0001-88;2018-09-30;1;Rua Dona Francisca, 8300 - Joinville - SC;21658;;0.008663;
07.583.627/0001-61;2018-03-31;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2018-06-30;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2018-09-30;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2018-12-31;1;Não Aplicavel;0;;0;0
12.804.013/0001-00;2018-03-31;1;Rodovia SC 401;1578.48;Aquisição de 50% da fração ideal de 1578,48 m2 de um Terreno, conforme Istrumento Particulat de Promessa de Compra e Venda da GCR Participações, datado de Dezembro de 2017.;0.5;0.5131
12.804.013/0001-00;2018-06-30;1;Rodovia SC 401;1578.48;Aquisição de 50% da fração ideal de 1578,48 m2 de um Terreno, conforme Istrumento Particulat de Promessa de Compra e Venda da GCR Participações, datado de Dezembro de 2017.;0.5;0.5131
