CNPJ_Fundo;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
07.583.627/0001-61;2018-03-31;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2018-06-30;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2018-09-30;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2018-12-31;1;Não Aplicavel;1899-12-31;0;;0;0
28.152.272/0001-26;2018-03-31;2;Não aplicável;1899-12-31;0;Não aplicável;0;0
28.152.272/0001-26;2018-06-30;1;N/A;1899-12-31;0;N/A;0;0
28.516.650/0001-03;2018-03-31;1;Não aplicável;1899-12-31;0;Não aplicável;0;0
28.516.650/0001-03;2018-06-30;1;N/A;1899-12-31;0;N/A;0;0
28.516.650/0001-03;2018-09-30;1;N/A;1899-12-31;0;N/A;0;0
28.516.650/0001-03;2018-12-31;1;N/A;1899-12-31;0;N/A;0;0
28.693.595/0001-27;2018-03-31;1;Não Aplicavel;1899-12-31;0;Não Aplicavel;0;0
28.693.595/0001-27;2018-06-30;1;N/A;1899-12-31;0;N/A;0;0
28.693.595/0001-27;2018-09-30;1;N/A;1899-12-31;0;N/A;0;0
28.693.595/0001-27;2018-12-31;1;N/A;1899-12-31;0;N/A;0;0
