CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
01.235.622/0001-61;2018-03-29;3;Allegro;Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES;2018-03-29;341.62;3;Construção própria;0.029722;0.0005
01.235.622/0001-61;2018-03-29;3;Due Capri;Projeção "C" da  SQNW 307, do SHCNW, Brasília - DF;2018-03-29;61.54;3;Construção própria;0.013008;0.0003
01.235.622/0001-61;2018-03-29;3;Due Murano;Projeção "D" da  SQNW 307, do SHCNW, Brasília - DF;2018-03-29;151.35;5;Construção própria;0.021927;0.0023
01.235.622/0001-61;2018-03-29;3;Fusion;Bloco "D", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;2018-03-29;202.36;4;Construção própria;0.0184;0.0024
01.235.622/0001-61;2018-03-29;3;Gift;Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ;2018-03-29;326.36;4;Aquisição de unidades prontas;0.02775;0.0006
01.235.622/0001-61;2018-03-29;3;Riserva;Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES;2018-03-29;672.52;4;Construção própria;0.097153;0.001
01.235.622/0001-61;2018-03-29;3;Vision;Bloco "F", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;2018-03-29;213.88;8;Construção própria;0.018242;0.0015
01.235.622/0001-61;2018-03-29;3;Highline Square;Rua José Alexandre Buaiz, 230, Enseada do Suá, Vitória - ES;2018-03-29;3220;89;Construção própria;0.33784;0.002
01.235.622/0001-61;2018-03-29;3;Park Square;Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói;2018-03-29;203.32;2;Aquisição de unidades prontas;0.022431;0.0099
01.235.622/0001-61;2018-06-29;2;Arete;Praia Rasa, Buzios - RJ;2018-06-29;2056;9;Construção própria;0.178497;0.006426
01.235.622/0001-61;2018-06-29;2;Due Capri;Projeção "C" da  SQNW 307, do SHCNW, Brasília - DF;2018-06-29;34.12;1;Construção própria;0.004639;0.000167
01.235.622/0001-61;2018-06-29;2;Due Murano;Projeção "D" da  SQNW 307, do SHCNW, Brasília - DF;2018-06-29;34.15;1;Construção própria;0.004693;0.000169
01.235.622/0001-61;2018-06-29;2;Fusion;Bloco "D", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;2018-06-29;76.06;2;Construção própria;0.006404;0.000231
01.235.622/0001-61;2018-06-29;2;Gift;Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ;2018-06-29;232.59;3;Aquisição de unidades prontas;0.019649;0.000707
