CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2018-03-29;3;Imóveis para renda em construção;Miguel Couto;Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.;Não se aplica
01.235.622/0001-61;2018-03-29;3;Imóveis para venda em construção;Rua José Alexandre Buaiz, 230, Enseada do Suá, Vitória - ES;Não há atrasos relacionados a está obra;Os custos estão dentro do orçado
01.235.622/0001-61;2018-06-29;2;Imóveis para venda em construção;N/A;N/A;N/A
01.235.622/0001-61;2018-06-29;2;Imóveis para renda em construção;Miguel Couto;Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.;Não se aplica
01.235.622/0001-61;2018-09-28;3;Imóveis para venda em construção;Highline Square;Alteração no projeto;N/A
01.235.622/0001-61;2018-09-28;3;Imóveis para renda em construção;Miguel Couto;Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.;Não se aplica
01.235.622/0001-61;2018-12-31;3;Imóveis para venda em construção;Ícono Parque;Contratações de mão de obra;N/A
01.235.622/0001-61;2018-12-31;3;Imóveis para venda em construção;Highline Square;Alteração no projeto;N/A
01.235.622/0001-61;2018-12-31;3;Imóveis para venda em construção;Costa Mare;Alteração no projeto;N/A
03.855.441/0001-63;2018-03-31;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2018-03-31;1;Imóveis para venda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2018-06-30;1;Imóveis para venda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2018-06-30;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2018-09-30;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2018-09-30;1;Imóveis para venda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2018-12-31;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2018-12-31;1;Imóveis para venda em construção;Laboratório de Fluidos;NA;NA
07.583.627/0001-61;2018-03-31;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
07.583.627/0001-61;2018-03-31;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2018-06-30;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
07.583.627/0001-61;2018-06-30;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2018-09-30;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
07.583.627/0001-61;2018-09-30;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2018-12-31;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2018-12-31;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
08.417.532/0001-30;2018-09-30;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2018-12-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
11.044.355/0001-07;2018-03-31;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
11.044.355/0001-07;2018-06-30;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
11.044.355/0001-07;2018-09-30;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
11.044.355/0001-07;2018-12-31;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
12.005.956/0001-65;2018-12-31;1;Imóveis para renda em construção;CD Santa Cruz;Obra concluída, aguardando assinatura do Termo de Entrega;NA
12.681.340/0001-04;2018-03-31;1;Imóveis para renda em construção;Ag. Raposo;obra em ritmo desacelerado devido à renegociação.;não há
12.681.340/0001-04;2018-06-30;2;Imóveis para renda em construção;Ag. Raposo;Agência em obras. Devido à greve dos caminhoneiros, em maio/18, houve atraso na entrega dos materiais que prejudicou o cronograma inicialmente previsto. Previsão de entrega em setembro/2018.;não há
12.681.340/0001-04;2018-09-30;1;Imóveis para renda em construção;Ag. Raposo;Obras em finalização.;não há
12.681.340/0001-04;2018-12-31;1;Imóveis para renda em construção;Ag. Raposo;Obras em finalização.;não há
12.811.222/0001-73;2018-03-31;2;Imóveis para renda em construção;Imóvel 1;Não se aplica;Não se aplica
12.811.222/0001-73;2018-03-31;2;Imóveis para renda em construção;Imóvel 2;Não se aplica;Não se aplica
12.811.222/0001-73;2018-03-31;2;Imóveis para renda em construção;Imóvel 4;Não se aplica;Não se aplica
12.811.222/0001-73;2018-03-31;2;Imóveis para renda em construção;Imóvel 5;Não se aplica;Não se aplica
12.811.222/0001-73;2018-03-31;2;Imóveis para renda em construção;Imóvel 3;Não se aplica;Não se aplica
12.811.222/0001-73;2018-12-31;1;Imóveis para renda em construção;Imóvel 5;Não se aplica;Não se aplica
12.811.222/0001-73;2018-12-31;1;Imóveis para renda em construção;Imóvel 1;Não se aplica;Não se aplica
