CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
07.583.627/0001-61;2016-12-31;1;não aplicavel;não aplicavel;0;1;;0;Renda
08.706.065/0001-69;2016-12-31;3;Gran Estamplaza SP;Rua Arizona 1517, apt 413, Cidade Monções, São Paulo;30450;1;Gran Estamplaza SP;0.002;Renda
08.706.065/0001-69;2016-12-31;3;Estanplaza Ibirapuera;Avenida Jandira, 501, apt 1304, Ibirapuera, São Paulo;31060;1;Estanplaza Ibirapuera;0.0017;Renda
08.706.065/0001-69;2016-12-31;3;Gran Estamplaza SP;Rua Arizona 1517, apt 1016, Cidade Monções, São Paulo;30450;1;Gran Estamplaza SP;0.0023;Renda
08.706.065/0001-69;2016-12-31;3;Gran Estamplaza SP;Rua Arizona 1517, apt 1012, Cidade Monções, São Paulo;30450;1;Gran Estamplaza SP;0.002;Renda
08.706.065/0001-69;2016-12-31;3;Gran Estamplaza SP;Rua Arizona 1517, apt 1008, Cidade Monções, São Paulo;30450;1;Gran Estamplaza SP;0.002;Renda
08.706.065/0001-69;2016-12-31;3;Gran Estamplaza SP;Rua Arizona 1517, apt 809, Cidade Monções, São Paulo;30450;1;Gran Estamplaza SP;0.002;Renda
08.706.065/0001-69;2016-12-31;3;Gran Estamplaza SP;Rua Arizona 1517, apt 808, Cidade Monções, São Paulo;30450;1;Gran Estamplaza SP;0.002;Renda
08.706.065/0001-69;2016-12-31;3;Gran Estamplaza SP;Rua Arizona 1517, apt 805, Cidade Monções, São Paulo;30450;1;Gran Estamplaza SP;0.002;Renda
14.413.342/0001-48;2016-12-31;1;Atento Campo Grande;Rua Campo Grande, 120 , Lote 08 do PAL 47.371 - Campo Grande - Rio de Janeiro - RJ;450;1;imóvel encontra-se cadastrado na PMRJ ob o contriuinte FRE3.155.831-5;0.432;Renda
14.665.312/0001-29;2016-12-31;1;HAPPY PRAIA APTO 102;Espírito Santo,Serra, Loteamento Portal de Manguinhos, Empreendimento Condomínio Happy Days Manguinhos;93.3;1;;0.0144377829438395;Venda
