CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2016-12-31;2;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57222;238;Shopping Center;0.0295;0.1469;0.995544;;;;;;;
00.762.723/0001-28;2016-12-31;2;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;25677.405;1;Imóvel Comercial;0.0277;0;0.994813;;;;;;;
00.868.235/0001-08;2016-12-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.247518;;;;;;;
00.868.235/0001-08;2016-12-31;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.1888;0.062335;0.752482;;;;;;;
01.201.140/0001-90;2016-12-31;2;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;300;Shopping Center;0.013;0.051;0.989364;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Marechal Camara;Avenida Marechal Camara nº160, centro, Rio de Janeiro;840;1;Salas;0;0;0.01249;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para venda acabados;Fusion;Bloco "D", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;1059;33;Construção própia;;;;;;;;;;0.0436
01.235.622/0001-61;2016-12-31;1;Imóveis para venda acabados;Riserva;Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES;3404;21;Construção própia;;;;;;;;;;0.2075
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Barão de Mesquita;Barão de Mesquita nº164, Rio de Janeiro;2420;1;Salas;0;0;0.0159;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Senhor dos Passos;Rua Senhor do Passos nº107, centro, Rio de Janeiro;382;1;Salas;0;0;0.00404;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para venda acabados;Visison;Bloco "F", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;1722;55;Construção própia;;;;;;;;;;0.06058
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Golden Corporate;Rua Buenos Aires nº48, centro, Rio de Janeiro;1550;4;Empresarial;0;0.2602;0.03341;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Visconde de Pirajá;Rua Visconde de Pirajá nº547, centro, Rio de Janeiro;5000;1;Salas;0;0;0.00152;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Largo de Santa Rita;Rua Largo de Santa Rita nº10, centro, Rio de Janeiro;292;1;Salas;0;0;0.00367;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para venda acabados;Due Murano;Projeção "D" da  SQNW 307, do SHCNW, Brasília - DF;37;1282;Construção própia;;;;;;;;;;0.0899
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Rio Branco 255/257;Avenida Rio Branco nº255/257, centro, Rio de Janeiro;594;1;Salas;0;0;0.01154;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Uruguaiana, 78;Rua Uruguaiana nº 78, centro, Rio de Janeiro;646;1;Salas;0;0;0.00598;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Primeiro de Março;Rua Primeiro de Março nº19, centro, Rio de Janeiro;799;1;Salas;0;1;0.00729;;;;;;;
01.235.622/0001-61;2016-12-31;1;Imóveis para renda em construção;Miguel Couto;Rua Miguel Couto, Centro - Rio de Janeiro;3583;1;Retrofit;;;;0;;0.13;0.16;2415104;3159875;
01.235.622/0001-61;2016-12-31;1;Imóveis para venda acabados;Due Capri;Projeção "C" da  SQNW 307, do SHCNW, Brasília - DF;973;29;Construção própia;;;;;;;;;;0.0735
01.235.622/0001-61;2016-12-31;1;Imóveis para venda acabados;Innovitá;Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ;1491;17;Aquisição de unidades prontas;;;;;;;;;;0.0856
01.235.622/0001-61;2016-12-31;1;Imóveis para renda acabados;Panorama;Av. Mexico nº74, centro, Rio de Janeiro;5210;4;Andares;0;0.9415;0.1717;;;;;;;
