CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2016-12-31;2;Via Parque Shopping;Comércio;0.888204;0.884246
00.332.266/0001-31;2016-12-31;2;Via Parque Shopping;Serviço;0.111796;0.111298
00.762.723/0001-28;2016-12-31;2;CTI;Serviço;0.95289;0.947947
00.868.235/0001-08;2016-12-31;1;Hotel;Hotelaria;1;0.247518
00.868.235/0001-08;2016-12-31;1;ABS;Saude;1;0.752482
01.201.140/0001-90;2016-12-31;2;Grand Plaza Shopping;Comércio;0.917278;0.907521
01.235.622/0001-61;2016-12-31;1;Av. Mem de sá;comércio;1;0.00135
01.235.622/0001-61;2016-12-31;1;Barão de Mesquita;Ensino;1;0.01592
01.235.622/0001-61;2016-12-31;1;Cardeal Leme;Advocacia;0.0959;0.00358
01.235.622/0001-61;2016-12-31;1;Cardeal Leme;Serviços;0.1872;0.00698
01.235.622/0001-61;2016-12-31;1;Cardeal Leme;Contabilidade;0.1188;0.00443
01.235.622/0001-61;2016-12-31;1;Cardeal Leme;Engenharia;0.1027;0.00383
01.235.622/0001-61;2016-12-31;1;Carioca;Comércio;1;0.04234
01.235.622/0001-61;2016-12-31;1;CESBOM;Ensino;1;0.05103
01.235.622/0001-61;2016-12-31;1;Citta America;Academia;0.2734;0.08941
01.235.622/0001-61;2016-12-31;1;Citta America;Comércio;0.0392;0.01282
01.235.622/0001-61;2016-12-31;1;Citta America;Mineração;0.5666;0.18531
01.235.622/0001-61;2016-12-31;1;Citta America;Telecomunicação;0.1208;0.03949
01.235.622/0001-61;2016-12-31;1;Citta Office;Mídia;1;0.04793
01.235.622/0001-61;2016-12-31;1;Conde de Bonfim,149;Comércio;1;0.00916
01.235.622/0001-61;2016-12-31;1;Dom Gerado 46;Logistica;0.1202;0.00989
01.235.622/0001-61;2016-12-31;1;Dom Gerado 46;Serviços;0.0665;0.00547
01.235.622/0001-61;2016-12-31;1;Dom Gerado 46;Governo;0.8133;0.06691
01.235.622/0001-61;2016-12-31;1;Golden Corporate;Auditoria;0.265;0.00886
01.235.622/0001-61;2016-12-31;1;Golden Corporate;Engenharia;0.302;0.01009
01.235.622/0001-61;2016-12-31;1;Golden Corporate;Oleo & Gás;0.2602;0.00869
01.235.622/0001-61;2016-12-31;1;Golden Corporate;Consultoria;0.1728;0.00577
01.235.622/0001-61;2016-12-31;1;Largo de Santa Rita;Comércio;1;0.00367
01.235.622/0001-61;2016-12-31;1;Marechal Camara;Engenharia;1;0.01249
01.235.622/0001-61;2016-12-31;1;Panorama;Comércio;0.1115;0.01915
01.235.622/0001-61;2016-12-31;1;Panorama;Governo;0.8885;0.15255
01.235.622/0001-61;2016-12-31;1;Primeiro de Março;Comércio;1;0.00729
01.235.622/0001-61;2016-12-31;1;Rio Branco 255/257;Comercio;1;0.01154
01.235.622/0001-61;2016-12-31;1;Rio Branco 45;Advocacia;0.6006;0.0057
01.235.622/0001-61;2016-12-31;1;Rio Branco 45;Mineração;0.3994;0.00379
01.235.622/0001-61;2016-12-31;1;Senhor dos Passos;Comércio;1;0.00404
01.235.622/0001-61;2016-12-31;1;Sete de Setembro;Comércio;1;0.00561
01.235.622/0001-61;2016-12-31;1;Travessa do Ouvidor;Comércio;1;0.00765
01.235.622/0001-61;2016-12-31;1;Uruguaiana, 76;Comércio;1;0.00496
01.235.622/0001-61;2016-12-31;1;Uruguaiana, 78;Comércio;1;0.00598
01.235.622/0001-61;2016-12-31;1;Visconde de Inhaúma;Hotelaria;1;0.10632
01.235.622/0001-61;2016-12-31;1;Visconde de Pirajá;Serviço;1;0.00152
01.497.954/0001-14;2016-12-31;1;Praça Montivideo;Sala Comercial;0.01;0.02
01.497.954/0001-14;2016-12-31;1;Praça Montivideo;Sala Comercial;0.01;0.02
01.497.954/0001-14;2016-12-31;1;Praça Montivideo;Sala Comercial;0.01;0.02
01.497.954/0001-14;2016-12-31;1;Edifício Rio Guaiba;Clínica Médica;0.01;0.02
01.497.954/0001-14;2016-12-31;1;Edifício Mostardeiro;Sala Comercial;0.01;0.02
01.497.954/0001-14;2016-12-31;1;Prédio Carlos Gomes;Sala Comercial;0.01;0.02
01.497.954/0001-14;2016-12-31;1;Prédio Dom Pedro;Sala Comercial;0.01;0.02
01.497.954/0001-14;2016-12-31;1;Conjunto Voluntários;Sala Comercial;0.01;0.02
01.497.954/0001-14;2016-12-31;1;Prédio Carlos Gomes;Sala Comercial;0.01;0.02
01.601.918/0001-59;2016-12-31;1;Eusébio Matoso;Banco;1;0
01.601.918/0001-59;2016-12-31;1;Eusébio Matoso;Setor2;0;0
01.601.918/0001-59;2016-12-31;1;Eusébio Matoso;Setor3;0;0
01.601.918/0001-59;2016-12-31;1;Eusébio Matoso;SetorN;0;0
01.601.918/0001-59;2016-12-31;1;Dantas Barreto;Banco;1;0
01.601.918/0001-59;2016-12-31;1;Dantas Barreto;Setor2;0;0
01.601.918/0001-59;2016-12-31;1;Dantas Barreto;Setor3;0;0
