CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
01.201.140/0001-90;2016-12-31;2;12/2016;0.007786;0
01.235.622/0001-61;2016-12-31;1;Setembro;0.0109;0.0109
01.235.622/0001-61;2016-12-31;1;Outubro;0.0002;0.0002
01.235.622/0001-61;2016-12-31;1;Novembro;-0.1577;-0.1577
01.497.954/0001-14;2016-12-31;1;12/2016;0.003261;0
01.636.325/0001-28;2016-12-31;1;12/2016;0.063714;0
01.657.856/0001-05;2016-12-31;1;DEZEMBRO/2016;-0.035118;0
04.141.645/0001-03;2016-12-31;1;12/2016;-0.133534;0
07.583.627/0001-61;2016-12-31;1;não aplicavel;0;0
07.789.135/0001-27;2016-12-31;3;N/A;;
10.456.799/0001-89;2016-12-31;1;12/2016;0.00949;0
10.456.810/0001-00;2016-12-31;4;12/2016;0.0052;
11.268.335/0001-01;2016-12-31;2;10/2016;0.000245;0.000245
11.268.335/0001-01;2016-12-31;2;11/2016;0.000155;0.000155
11.268.335/0001-01;2016-12-31;2;12/2016;-0.006171;-0.006171
11.281.322/0001-72;2016-12-31;2;10/2016;0.002164;0.002164
11.281.322/0001-72;2016-12-31;2;11/2016;0.002313;0.002313
11.281.322/0001-72;2016-12-31;2;12/2016;-0.179552;-0.179552
12.804.013/0001-00;2016-12-31;1;12/2016;-0.004695;0
13.652.006/0001-95;2016-12-31;1;out/16;0.0189;0.0042
13.873.457/0001-52;2016-12-31;1;Out/2016;0.0076262361604688;0.00630541937977551
13.873.457/0001-52;2016-12-31;1;Nov/2016;-0.108564258739891;-0.108785688194433
13.873.457/0001-52;2016-12-31;1;Dez/2016;0.00983827359405792;0.00839894429427387
14.733.211/0001-48;2016-12-31;1;12/2016;-0.017066;0
17.161.979/0001-82;2016-12-31;1;12/2016;0.319865;0
17.311.079/0001-74;2016-12-31;1;out/2016;-0.000432850834246235;0.000349269943070941
17.311.079/0001-74;2016-12-31;1;nov/2016;9.22965258854399E-06;0.000332971317869638
17.311.079/0001-74;2016-12-31;1;dez/2016;-0.137587678320331;-0.138717295007196
17.374.696/0001-19;2016-12-31;1;dez/2016;-0.0596;-0.0596
17.590.518/0001-25;2016-12-31;2;out/16;0.012723;0.003735
17.590.518/0001-25;2016-12-31;2;nov/16;0.01282;0.003683
17.590.518/0001-25;2016-12-31;2;dez/16;0.01282;0.004478
18.330.535/0001-96;2016-12-31;2;10/2016;0.007588;0.007588
18.330.535/0001-96;2016-12-31;2;11/2016;0.006921;0.006921
18.330.535/0001-96;2016-12-31;2;12/2016;-0.131585;-0.131585
20.216.935/0001-17;2016-12-31;2;10/2016;0.033729;0.033729
20.216.935/0001-17;2016-12-31;2;11/2016;-0.0223785;-0.0223785
20.216.935/0001-17;2016-12-31;2;12/2016;0.022333;0.022333
26.195.121/0001-20;2016-12-31;1;12/2016;-18.19513;0
