CNPJ_Fundo;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
01.235.622/0001-61;2016-12-31;1;Rua 2 de Dezembro, Freguesia da Glória, Rio de Janeiro;8319.78;Lote 1 do PAL 47855 situado na Rua Dois de Dezembro, entre os números 63 e 71 e Lote 3 do PAL 47855 situado na Rua Irineu Bornhausen, na Freguesia da Gloria;0.03;0.0019
04.782.236/0001-88;2016-12-31;2;Rua Dona Francisca, 8300  Joinville - SC;37500;Contrato de compra e venda;1;0.007163
07.583.627/0001-61;2016-12-31;1;não aplicavel;0;;0;0
12.989.974/0001-29;2016-12-31;2;Avenida Venezuela, nº 154 e 156, Bairro Saúde, Município do Rio de Janeiro, Estado do Rio de Janeiro;2558.41;O Caixa Fundo de Investimento Imobiliário Porto Maravilha - FII PM deterá uma fração ideal do empreendimento corporativo em construção no imóvel, em permuta pela vinculação de 39.582 Certificados de Potencial Adicional de Construção - CEPAC. A Barão de Tefé SPE Empreendimentos Imobiliários S.A., detentora da fração remanescente do imóvel, que encontra-se alienada fiduciariamente ao FII PM é responsável por promover a implantação, desenvolvimento e construção do empreendimento imobiliário de destinação não residencial, incluindo a concepção, elaboração de projetos, desenvolvimento, custeio, financiamento e execução.  Prazo estimado para conclusão do empreendimento pelo desenvolvedor e início do recebimento do aluguel: segundo semestre de 2017. Empreendimento corporativo, com área locável total de 16.500m² e com lojas, com área de 1.500m².Edifício composto por 3 pavimentos de lojas e 17 pavimentos de salas de escritório.;0;0.020786
14.217.108/0001-45;2016-12-31;2;R. Alemanha, nº 0 - Bairro Gloria Joinville - SC;10635.1;Matricula;0.07224;0.0024
14.217.108/0001-45;2016-12-31;2;R. Silva Jardim, nº 0 - Bairro Gloria-Joinville-SC;33650;Matricula;0.22858;0.0077
14.217.108/0001-45;2016-12-31;2;R. Otto Berner, nº 0 - Baiiro Gloria-Joinville-SC.;36575;Matricula;0.24845;0.0083
14.217.108/0001-45;2016-12-31;2;R. Silva Jardim, nº 0 - Bairro Atiradores-Joinville-SC;2100;Matricula;0.01426;0.0005
14.217.108/0001-45;2016-12-31;2;R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC;2516.3;Matricula;0.01709;0.0006
14.217.108/0001-45;2016-12-31;2;R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC;30367.1;Matricula;0.20628;0.0069
14.217.108/0001-45;2016-12-31;2;R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC;14587.1;Matricula;0.09909;0.0033
14.217.108/0001-45;2016-12-31;2;R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC;16784.5;Matricula;0.11401;0.0038
23.964.908/0001-10;2016-12-31;1;1. Terreno 1: Candeias - BA,  matrículas: 6052, 6053, 6054, 6055, 6056, 6057, 6058, 6059, 6060, 6061, 6062 e 6063 Endereço: 50km de Salvador.;0;1. Terreno 1: Candeias - BA,  matrículas: 6052, 6053, 6054, 6055, 6056, 6057, 6058, 6059, 6060, 6061, 6062 e 6063 Endereço: 50km de Salvador.;0.024;0.024
23.964.908/0001-10;2016-12-31;1;2. Terreno 2: Candeias - BA, matrícula 6044.  Endereço: 50km de Salvador.;0;2. Terreno 2: Candeias - BA, matrícula 6044.  Endereço: 50km de Salvador.;0.024;0.024
23.964.908/0001-10;2016-12-31;1;3. Terreno 3: Campo Grande - MS , matrícula 137.658, Endereço: Rodoanel Rodoviário BR 262.;0;3. Terreno 3: Campo Grande - MS , matrícula 137.658, Endereço: Rodoanel Rodoviário BR 262.;0.023;0.023
23.964.908/0001-10;2016-12-31;1;4. Terreno 4: Guarujá - SP, matrículas: 97.185, 97.186, 97.187, 97.188, 97.189, 97.190, 97.191.  Endereço: Guarujá Central Park, Jardim Belmar.;0;4. Terreno 4: Guarujá - SP, matrículas: 97.185, 97.186, 97.187, 97.188, 97.189, 97.190, 97.191.  Endereço: Guarujá Central Park, Jardim Belmar.;0.036;0.036
23.964.908/0001-10;2016-12-31;1;5. Terreno 5: Porangantu - GO, matrícula: 3.296. Endereço: Rua São Miguel do Araguaia, nº 242.;0;5. Terreno 5: Porangantu - GO, matrícula: 3.296. Endereço: Rua São Miguel do Araguaia, nº 242.;0.004;0.004
23.964.908/0001-10;2016-12-31;1;6.Terreno Comercial: Pilar do Sul - SP, matrícula: 603. Endereço: Rua Tenente Almeida, 368.;667;6.Terreno Comercial: Pilar do Sul - SP, matrícula: 603. Endereço: Rua Tenente Almeida, 368.;0.003;0.003
