CNPJ_Fundo;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2016-12-31;2;0;0;0;0;0;0;0;0;0;0;14343086.49;12913583.45;-294897.01;-294897.01;0;0;0;0;-9969810.49;0;-3193479.69;-2196489.03;884899.3;10422197.41;0;0;0;0;0;0;0;0;0;0;884899.3;10422197.41;99599.74;99599.74;0;0;0;0;130.58;-292.12;99730.32;99307.62;;;-170200.09;-168125.19;0;0;-36000;-36000;0;0;0;0;0;0;0;0;0;0;-14359.68;-14359.68;0;0;-61987.24;-61987.24;0;;0;;0;;0;;-58239.01;-61192.02;-340786.02;-341664.13;643843.6;10179840.9;18376103.02;17457297.87;;;17457297.87;-17285158.05;172139.82;0.95
00.613.094/0001-74;2016-12-31;1;;;-148508.92;-148508.92;;;74254.46;;-74254.46;-148508.92;;;-125385.24;-125385.24;26294.71;26294.71;-165968.2;-165968.2;-11922.22;;1358526.12;;1081545.17;-265058.73;;;;;;;;;0;0;1007290.71;-413567.65;;;;;;;;;0;0;0;0;;;;;;;;;;;-15304.16;-15304.16;-20000;-15000;;;-29221.31;-29221.31;;;-86989.52;-86989.52;;;;;;;;;38025.31;-36486.82;-113489.68;-183001.81;893801.03;-596569.46;-1291234.98;0;;;0;0;0;0
00.762.723/0001-28;2016-12-31;2;0;0;0;0;0;0;0;0;0;0;4321957.64;4259577.37;-60926.38;-60926.38;0;0;0;0;750000;0;-541660.4;-541660.8;4469370.86;3656990.19;0;0;0;0;0;0;0;0;0;0;4469370.86;3656990.19;46433.22;46433.22;0;0;0;0;313.39;0;46746.61;46433.22;;;-71586.38;-68753.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4636.07;-4636.07;0;0;-3977.91;-3977.91;0;0;0;0;0;0;0;0;-29202.61;-29202.21;-109402.97;-106570.16;4406714.5;3596853.25;7136190.12;6779380.614;;;6779380.614;-7139141.53;-359760.916;0.95
00.868.235/0001-08;2016-12-31;1;0;0;0;0;0;0;0;0;0;0;2341541.76;2439244.48;-498217.06;-509996.29;0;0;0;0;9628042.03;0.03;-306743.86;-306743.86;11164622.87;1622504.36;0;0;0;0;0;0;0;0;0;0;11164622.87;1622504.36;39545.31;39545.31;0;0;0;0;0;0;39545.31;39545.31;;;-64307.79;-71307.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2957.93;-2957.93;0;0;-8172.09;-8172.09;0;0;0;0;0;0;0;0;-58476.47;-87441.94;-133914.28;-169879.75;11070253.9;1492169.92;3138422.91;2981501.7645;;;2981501.7645;-3072295.51;-90793.7455;0.95
01.201.140/0001-90;2016-12-31;2;0;0;0;0;0;0;0;0;0;0;20582833.33;16747336.5;-1683707.86;-1657335.64;;0;;0;41692612;0;-1103289.98;-1103869.5;59488447.49;13986131.36;0;0;0;0;0;0;0;0;0;0;59488447.49;13986131.36;165268.81;165268.81;0;0;0;0;7191.1;0;172459.91;165268.81;;;-174132.38;-166139.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-13971.42;-13971.42;0;0;-30356.29;-30356.29;0;0;0;0;0;0;0;0;-57371.11;-19953.08;-275831.2;-230420.77;59385076.2;13920979.4;27516383.1;26140563.945;;;26140563.945;-27150725.43;-1010161.485;0.95
01.235.622/0001-61;2016-12-31;1;108565075.1;409513481.5;-257930024;-246122996;;;27741895.01;7649689.86;-121623053.89;171040175.36;42203143.03;20388901.17;-10574595.73;-7587776.11;;;;;24727567.47;;-1005689.66;-376286;55350425.11;12424839.06;;;287879.15;;;;2164806.27;1133090.07;2452685.42;1133090.07;-63819943.36;184598104.49;5126775.71;1179803.35;;;;;449999.1;;5576774.81;1179803.35;0;0;-11718788.46;-5965611.09;;;-2370435.3;-1157624.61;;;;;-84869.8;-45796.55;-297952;-217424.4;;;-9541324.19;-1245796.56;-958022.3;-367645.91;-1169286.52;-673083.56;;;;;;;-445959.42;-445959.42;-28439795.41;-7328594.76;-55026433.4;-17447536.86;-113269601.95;168330370.98;168330370.98;159913852.431;;0;159913852.431;0;159913852.431;0.95
01.497.954/0001-14;2016-12-31;1;0;0;0;0;0;0;0;0;0;0;1620593.22;1827515.59;;-16773.61;0;0;0;0;-6372110;0;-217873.59;-217873.59;-4969390.37;1592868.39;0;0;0;0;0;0;0;0;0;0;-4969390.37;1592868.39;7565.65;7565.65;0;0;0;0;404.36;404.36;7970.01;7970.01;;;-42832.2;-42832.2;0;0;0;0;0;0;0;0;0;0;-4282.66;-4282.66;0;0;-12932.01;-12932.01;0;0;-26903.2;-26903.2;0;0;0;0;0;0;0;0;-332031.07;-327031.07;-418981.14;-413981.14;-5380401.5;1186857.26;2241448.24;2129375.828;;;2129375.828;0;2129375.828;0.95
01.601.918/0001-59;2016-12-31;1;0;0;0;0;0;0;0;0;0;0;1321200;1321200;0;0;0;0;0;0;1270000;0;-1149.45;-1149.45;2590050.55;1320050.55;0;0;0;0;0;0;0;0;0;0;2590050.55;1320050.55;242770.18;242770.18;0;0;0;0;0;0;242770.18;242770.18;;;-84983.75;-83014.41;0;0;0;0;0;0;0;0;-2170.68;-2170.68;-21200;0;0;0;-110627.22;-110627.22;0;0;-7433.34;-7433.34;0;0;0;0;0;0;0;0;-34693.32;-34693.32;-261108.31;-237938.97;2571712.42;1324881.76;2827770.85;2686382.3075;;;2686382.3075;-2750000;-63617.6925;0.95
01.633.741/0001-72;2016-12-31;1;;;;;;;;;0;0;2147924.07;2073911.81;;;;;;;-25008000;;;;-22860075.93;2073911.81;;;;;;;;;0;0;-22860075.93;2073911.81;64163.8;64163.8;;;;;;;64163.8;64163.8;0;0;-107392.14;-126133.04;;;;;;;;;-11211.98;-11220.08;-8816.92;-1343.33;;;-260663.55;-258866.55;;;-27758.01;-34358.01;;;-8360;-8360;;;;;-1074074.82;-1130653.33;-1498277.42;-1570934.34;-24294189.55;567141.27;567141.27;538784.2065;;;538784.2065;-543618.72;-4834.5135;0.95
01.636.325/0001-28;2016-12-31;1;0;0;0;0;0;0;0;0;0;0;21425952.21;21047176.41;-499822.39;-540181.53;0;0;0;0;10926305;0;-4323698.85;-3980075.65;27528735.97;16526919.23;0;0;0;0;0;0;0;0;0;0;27528735.97;16526919.23;580856.74;580856.74;0;0;0;0;32004.82;32004.82;612861.56;612861.56;;;-680428.29;-685487.7;0;0;0;0;0;0;0;0;0;0;-23160;-23160;0;0;-44047.24;-43899.19;0;0;-204523.84;-205056.54;0;0;0;0;0;0;0;0;24005.76;-261908.78;-928153.61;-1219512.21;27213443.92;15920268.58;15920268.58;15124255.151;;0;15124255.151;-15896507.04;-772251.889;0.95
