CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
01.235.622/0001-61;2023-03-31;2;Rua Prudente de Morais, 281 e 291;800;Rua Prudente de Morais n°s 281/291;0.626007;0.540673
01.235.622/0001-61;2023-12-29;1;Rua Tonelero, 61 - Copacabana - Rio de Janeiro - RJ.;441.78;Rua Tonelero, 61;0;0
01.235.622/0001-61;2023-12-29;1;Rua Barão Da Torre, 662 - Ipanema - Rio de Janeiro - RJ;287.5;Barão Da Torre, 662;0;0
12.358.507/0001-09;2023-12-31;1;RIO GRANDE DO NORTE;1.20386e+007;Terreno rural;0.0257;0.019
12.358.507/0001-09;2023-12-31;1;PARAÍBA;1.71109e+006;Terreno rural;0.0033;0.0024
12.358.507/0001-09;2023-12-31;1;PERNAMBUCO;2.38328e+006;Terreno rural;0.005;0.0037
12.358.507/0001-09;2023-12-31;1;MATO GROSSO DO SUL;2.71697e+007;Terreno rural;0.1358;0.1
12.927.767/0001-40;2023-09-29;1;Não possui informação apresentada;;;;
13.320.290/0001-00;2023-12-29;1;Av. Francisco Roveri, Gleba "A-1F" - Bairro do Varjão - Jundiai - São Paulo;108557;Matirculas: 169.491, 169.492 e 169.493;1;0.109631
16.915.968/0001-88;2023-03-31;2;Rua Joaquim Galvão, 346 - Vila Sônia, São Paulo - SP;1226.8;O imóvel foi adquirido por escritura de compra e venda, não há onus reais sobre o imóvel;0.220692110418358;0.0154436868378302
17.098.794/0001-70;2023-09-29;1;Não possui informação apresentada.;;;;
24.514.406/0001-50;2023-03-31;2;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;
24.514.406/0001-50;2023-06-30;1;Projeto fazendaa mata de São João no municipio Mata de São João,Bahia;1.99555e+006;ÁREA A SER DESMEMBRADA DA FAZENDA CAMURUJIPE de 1.995.553,50 metros quadrados na Bahia;;
24.514.406/0001-50;2023-09-30;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;
24.514.406/0001-50;2023-12-29;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;
30.492.505/0001-81;2023-09-30;1;Av. Ayrton Senna com Av. Embaixador Abelardo Bueno,  Quadra 4.6, do Pal 40.481, Freguesia de Jacarepaguá - Rio de Janeiro - RJ;33901.3;Imovel melhor descrito e caracterizado na matricula 159.410 do Registro de Imóveis do 9º Oficio do Rio de Janeiro. FRE n. 245.800. CL 1450.Aquisição por meio da incorporação do  Caixa Fundo de Investimento Imobiliário VLT - Veículo Leve Sobre Trilhos, inscrito no CNPJ sob o nº 15.254.249/0001-09 ("FII VLT").;1;0.23317
30.846.692/0001-54;2023-03-31;1;Av. Brigadeiro Lima e Silva, n 1.963;727.92;LOJA + ESTACIONAMENTO + JIRAU;;
31.962.875/0001-06;2023-09-29;1;Av. Ayrton Senna, s/n Engenho D'água - Jacarepaguá - RJ;195094;N/A;0;0
35.360.651/0001-77;2023-12-29;1;Rua Leopoldo Miguez, 10 - Copacabana - RJ;1953.27;Leopoldo Miguez, 10;0;0
35.360.651/0001-77;2023-12-29;1;R. Gomes Carneiro, 30/32 - Ipanema - RJ;3017.64;Gomes  Carneiro, 30/32;0;0
35.360.651/0001-77;2023-12-29;1;R. Barão de Jaguaripe, 404 - Ipanema - RJ;1579.33;Barão de Jaguaripe, 404;0;0
36.312.025/0001-78;2023-12-29;1;Rua Batista de Oliveira esquina com a Rua Sampaio;1082.75;Matrícula nº 42.746 - Cartório Do 2º Ofício De Registro De Imóveis da  Comarca de Juiz de Fora/ MG;0;0
36.312.025/0001-78;2023-12-29;1;Rua Barão de São João Nepomuceno, nº 232 -  Centro - Juiz de Fora MG;319.3;Matrícula nº 6.811, Livro 2 - Cartório do 2º Ofício de Registro de Imóveis  da Comarca de Juiz de Fora - MG.;0;0
