CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Maison Laranjeiras;N.A.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Lineu 708;N.A.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;The Gallery;N.A.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;S Design;Replanejamento de cronograma.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;The Gallery;N.A.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Lineu 708;N.A.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Maison Laranjeiras;N.A.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Nurban;N.A.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;N.A.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Glória Residencial;N.A.;N.A.
01.235.622/0001-61;2023-06-30;1;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;N.A.
