CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2023-03-31;1;Via Parque Shopping;Serviço;0.516874;0.49713
00.332.266/0001-31;2023-03-31;1;Via Parque Shopping;Comércio;0.483126;0.464671
00.332.266/0001-31;2023-06-30;1;Via Parque Shopping;Serviço;0.187443;0.181568
00.332.266/0001-31;2023-06-30;1;Via Parque Shopping;Comércio;0.812557;0.78709
00.332.266/0001-31;2023-09-30;1;Via Parque Shopping;Serviço;0.187443;0.181568
00.332.266/0001-31;2023-09-30;1;Via Parque Shopping;Comércio;0.812557;0.78709
00.332.266/0001-31;2023-12-31;1;Via Parque Shopping;Comércio;0.814474;0.796593
00.332.266/0001-31;2023-12-31;1;Via Parque Shopping;Serviço;0.185526;0.181453
00.762.723/0001-28;2023-03-31;2;CTI;Comércio;0;0
00.762.723/0001-28;2023-03-31;2;CTI;Serviço;1;0.573528
00.762.723/0001-28;2023-06-30;1;CTI;Comércio;0;0
00.762.723/0001-28;2023-06-30;1;CTI;Serviço;1;0.628366
00.762.723/0001-28;2023-09-30;1;CTI;Comércio;0;0
00.762.723/0001-28;2023-09-30;1;CTI;Serviço;1;0.423437
00.762.723/0001-28;2023-12-31;1;CTI;Comércio;0;0
00.762.723/0001-28;2023-12-31;1;CTI;Serviço;1;0.698047
00.868.235/0001-08;2023-03-31;1;Medcenter;Comércio;0.084785;0.080627
00.868.235/0001-08;2023-03-31;1;Medcenter;Serviço;0.915215;0.870342
00.868.235/0001-08;2023-03-31;1;Hotel;Serviço;1;0.002464
00.868.235/0001-08;2023-06-30;1;Medcenter;Comércio;0.084627;0.069019
00.868.235/0001-08;2023-06-30;1;Medcenter;Serviço;0.915373;0.746555
00.868.235/0001-08;2023-06-30;1;Hotel;Serviço;1;0.171722
00.868.235/0001-08;2023-09-30;1;Hotel;Serviço;1;0.202492
00.868.235/0001-08;2023-09-30;1;Medcenter;Comércio;0.084627;0.006281
00.868.235/0001-08;2023-09-30;1;Medcenter;Serviço;0.915029;0.713223
00.868.235/0001-08;2023-12-31;1;Hotel;Serviço;1;0.221433
00.868.235/0001-08;2023-12-31;1;Medcenter;Serviço;0.928902;0.70992
00.868.235/0001-08;2023-12-31;1;Medcenter;Comércio;0.071098;0.054337
01.201.140/0001-90;2023-03-31;2;Grand Plaza Shopping;Serviço;0.202409;0.198405
01.201.140/0001-90;2023-03-31;2;Grand Plaza Shopping;Comércio;0.797591;0.781814
01.201.140/0001-90;2023-06-30;1;Grand Plaza Shopping;Comércio;0.795738;0.777915
01.201.140/0001-90;2023-06-30;1;Grand Plaza Shopping;Serviço;0.204262;0.199687
01.201.140/0001-90;2023-09-30;1;Grand Plaza Shopping;Comércio;0.80412;0.786317
01.201.140/0001-90;2023-09-30;1;Grand Plaza Shopping;Serviço;0.19588;0.191543
01.201.140/0001-90;2023-12-31;1;Grand Plaza Shopping;Serviço;0.200048;0.196811
01.201.140/0001-90;2023-12-31;1;Grand Plaza Shopping;Comércio;0.799952;0.787009
01.235.622/0001-61;2023-12-29;1;Rainha Guilhermina;FINANCEIRO;0.840168;0.023752
01.235.622/0001-61;2023-12-29;1;Rainha Guilhermina;ADVOCACIA;0.159832;0.004519
01.235.622/0001-61;2023-12-29;1;Touch;MÍDIA;0;0
01.235.622/0001-61;2023-12-29;1;Touch;HOSPITALAR;0.393182;0.001968
01.235.622/0001-61;2023-12-29;1;Esquina 98;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;São Pedro da Aldeia;ÁGUA E ESGOTO;1;0.01153
01.235.622/0001-61;2023-12-29;1;Uruguaiana, 78;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Uruguaiana, 76;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Travessa do Ouvidor;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Teofilo Otoni 24;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Sete de Setembro;COMERCIO;0;0
01.235.622/0001-61;2023-12-29;1;Senhor dos Passos 107;COMERCIO;0;0
01.235.622/0001-61;2023-12-29;1;Touch;IMOBILIÁRIO;0.318653;0.001595
01.235.622/0001-61;2023-12-29;1;Touch;ADVOCACIA;0;0
01.235.622/0001-61;2023-12-29;1;Touch;FISIOTERAPIA;0.117497;0.000588
01.235.622/0001-61;2023-12-29;1;Rio Branco 45;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Touch;ARQUITETURA;0.170667;0.000854
01.235.622/0001-61;2023-12-29;1;Itumbiara;ENSINO;1;0.030566
01.235.622/0001-61;2023-12-29;1;Edificio Center Shopping;ENSINO;1;0.060446
01.235.622/0001-61;2023-12-29;1;Hotel Aretê;ENSINO;1;0
01.235.622/0001-61;2023-12-29;1;Primeiro de Março;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Presidente Antonio Carlos;FINANCEIRO;1;0.005423
01.235.622/0001-61;2023-12-29;1;Marechal Camara;TI;1;0.007324
01.235.622/0001-61;2023-12-29;1;Ícono Parque;IMOBILIÁRIO;0.054273;0.000739
01.235.622/0001-61;2023-12-29;1;Ícono Parque;ESTÉTICA;0.131027;0.001784
01.235.622/0001-61;2023-12-29;1;Largo de Santa Rita;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Instituto Dominus;ENSINO;1;0.006229
01.235.622/0001-61;2023-12-29;1;Colégio Eleva;ENSINO;1;0.19992
01.235.622/0001-61;2023-12-29;1;Innovitá;DISPONIVEL;0;0
01.235.622/0001-61;2023-12-29;1;Ícono Parque;HOSPITALAR;0;0
01.235.622/0001-61;2023-12-29;1;Ícono Parque;COMÉRCIO;0.814701;0.011091
01.235.622/0001-61;2023-12-29;1;Golden Corporate;SEGUROS;0.441955;0.008955
01.235.622/0001-61;2023-12-29;1;Golden Corporate;MÍDIA;0;0
01.235.622/0001-61;2023-12-29;1;Golden Corporate;ENGENHARIA;0.558045;0.011308
01.235.622/0001-61;2023-12-29;1;Dom Gerado 42;MIDIA;1;0.012118
01.235.622/0001-61;2023-12-29;1;Dom Gerado 46;LOGÍSTICA;1;0.005477
01.235.622/0001-61;2023-12-29;1;Conde de Bonfim,149;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Citta Office;MIDIA;1;0.036146
01.235.622/0001-61;2023-12-29;1;Citta America;ACADEMIA;0.233022;0.101796
01.235.622/0001-61;2023-12-29;1;Citta America;ENSINO;0.764812;0.334109
01.235.622/0001-61;2023-12-29;1;Citta America;COMERCIO;0.002166;0.000946
01.235.622/0001-61;2023-12-29;1;CESBOM;ENSINO;1;0.055478
01.235.622/0001-61;2023-12-29;1;Av Mem de Sá;DISPONÍVEL;0;0
01.235.622/0001-61;2023-12-29;1;Barão de Mesquita;ENSINO;1;0.015942
01.235.622/0001-61;2023-12-29;1;Carioca;FINANCEIRO;0.724182;0.018308
01.235.622/0001-61;2023-12-29;1;Carioca;COMERCIO;0.275818;0.006973
01.235.622/0001-61;2023-12-29;1;Cardeal Leme;TI;0.425985;0.010273
01.235.622/0001-61;2023-12-29;1;Cardeal Leme;TELECOMUNICAÇÃO;0.113511;0.002737
01.235.622/0001-61;2023-12-29;1;Cardeal Leme;COMÉRCIO;0.152994;0.00369
01.235.622/0001-61;2023-12-29;1;Cardeal Leme;CONSULTORIA;0;0
01.235.622/0001-61;2023-12-29;1;Cardeal Leme;CONTABILIDADE;0.162905;0.003929
01.235.622/0001-61;2023-12-29;1;Cardeal Leme;LOGISTICA;0;0
01.235.622/0001-61;2023-12-29;1;Cardeal Leme;FINANCEIRO;0.144606;0.003487
01.235.622/0001-61;2023-12-29;1;Cardeal Leme;ENGENHARIA;0;0
01.497.954/0001-14;2023-03-31;2;Centro Comercial e Empresarial Mostardeiro;Serviços;0;0
