CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
08.417.532/0001-30;2023-12-31;1;Posto de Combustível;Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE;2023-11-01;2192.4;1;n/a;0.0635231798207829;0.0206582500705047
08.417.532/0001-30;2023-12-31;1;Posto de Combustível;Rod do BR-285, km 670, s/n° - São Borja/RS;2023-12-20;20000;1;n/a;0.0251445047441951;0.00794548079634797
08.417.532/0001-30;2023-12-31;1;Posto de Combustível;Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão;2023-12-18;39436;1;n/a;0.289386755084635;0.0833060057327584
08.417.532/0001-30;2023-12-31;1;Posto de Combustível;Rodovia BR-101, s/nº. Paulo Lopes/ SC;2023-10-01;31077.32;1;n/a;0.0143385093396296;0.0111236731148872
08.706.065/0001-69;2023-06-30;1;Staybridge Suites Sao Paulo;Rua Bandeira Paulista, 555, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 04532-011 - Unidade 305;2023-06-15;37.08;1;Direito de propriedade;0.0028052;0.002711608
08.706.065/0001-69;2023-06-30;1;Staybridge Suites Sao Paulo;Rua Bandeira Paulista, 555, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 04532-011 - Unidade 401;2023-05-25;37.08;1;Direito de propriedade;0.0027875;0.002711608
08.706.065/0001-69;2023-06-30;1;Staybridge Suites Sao Paulo;Rua Bandeira Paulista, 555, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 04532-011  - Unidade 402;2023-05-30;37.08;1;Direito de propriedade;0.0027875;0.002711608
08.706.065/0001-69;2023-06-30;1;Staybridge Suites Sao Paulo;Rua Bandeira Paulista, 555, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 04532-011 - Unidade 403;2023-06-06;37.08;1;Direito de propriedade;0.0028052;0.002711608
08.706.065/0001-69;2023-06-30;1;Staybridge Suites Sao Paulo;Rua Bandeira Paulista, 555, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 04532-011 - Unidade 412;2023-05-23;37.08;1;Direito de propriedade;0.0027875;0.002711608
08.706.065/0001-69;2023-06-30;1;Staybridge Suites Sao Paulo;Rua Bandeira Paulista, 555, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 04532-011 - Unidade 412;2023-04-06;37.08;1;Direito de propriedade;0.0027683;0.002711608
