CNPJ_Fundo_Classe;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;153683.58822;9077664.76
00.332.266/0001-31;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;12836.20693;758199.25
00.332.266/0001-31;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;182791.46;11136194.85
00.332.266/0001-31;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;55484.7;3380291.48
00.332.266/0001-31;2023-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;156129.12;9817052.16
00.332.266/0001-31;2023-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;19440.65;1222384.45
00.332.266/0001-31;2023-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;19440.65;505013.76
00.332.266/0001-31;2023-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;103985.85;6721008.3
00.762.723/0001-28;2023-03-31;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;37900.58;2238682.64
00.762.723/0001-28;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;58496.34;3563769.77
00.762.723/0001-28;2023-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;28511.36;1792731.06
00.762.723/0001-28;2023-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;3570.78;230793.59
00.868.235/0001-08;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;5592.49;330332.74
00.868.235/0001-08;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;25242.71;1537860.4
00.868.235/0001-08;2023-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;30874.35;1941310.72
00.868.235/0001-08;2023-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;31694.59;2048545.06
00.868.235/0001-08;2023-12-31;1;Outras Cotas de FI;Itaú Soberano RF DI LP FI;6175696000173;;;;;;44860.49;292575.22
01.201.140/0001-90;2023-03-31;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;73558.12;7111317.65
01.201.140/0001-90;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;104744.30804;6381332.22
01.201.140/0001-90;2023-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;111320.06;6999557.64
01.201.140/0001-90;2023-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;120215.83;7770016.69
01.235.622/0001-61;2023-03-31;2;FII;BRIX FII- SÊNIOR;35360651000177;;;;;;12309.01;17320264.38
01.235.622/0001-61;2023-03-31;2;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;46996.21;116010.86
01.235.622/0001-61;2023-03-31;2;Outras Cotas de FI;CAIXA FACIL RENDA FIXA SIMPLES FIC FI;5114716000133;;;;;;0;0.02
