CNPJ_Fundo_Classe;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2023-03-31;1;0;0;0;0;0;0;0;0;0;0;10641842.81;12616449.87;-192043.93;-192043.93;0;0;0;0;0;0;-3511718.86;-3511718.86;6938080.02;8912687.08;0;0;0;0;0;0;0;0;0;0;6938080.02;8912687.08;293754.17;293754.17;0;0;0;0;0;0;293754.17;293754.17;;;-315338.9;-314963.08;0;0;-36000;0;0;0;0;0;0;0;0;0;0;0;-22717.91;-22717.91;0;0;-27326.68;-27326.68;0;0;-7200;-7200;0;0;0;0;-16088.57;-40177.58;-424672.06;-412385.25;6807162.13;8794056;8794056;8354353.2;;0;7504399.32;-5208277.14;2296122.18;0.853349
00.332.266/0001-31;2023-06-30;1;0;0;0;0;0;0;0;0;0;0;14135674.21;11785768.31;-39800;-39800;0;0;0;0;0;0;-2505305.17;-2505305.17;11590569.04;9240663.14;0;0;0;0;0;0;0;0;0;0;11590569.04;9240663.14;257686.16;257686.16;0;0;0;0;0;0;257686.16;257686.16;;;-315338.9;-318670.64;0;0;-36000;0;0;0;0;0;0;0;0;-48178.02;0;0;-83936.28;-83936.28;0;0;-39408;-39408;0;0;0;0;0;0;-1908.94;-1908.94;-21112.32;-21112.32;-497704.44;-513214.2;11350550.76;8985135.1;17779191.14;16890231.583;;0;17248917.843;-12209328.09;5039589.753;0.970174
00.332.266/0001-31;2023-09-30;1;0;0;0;0;0;0;0;0;0;0;12630171.79;14915961.12;-54974.4;-54974.4;0;0;0;0;0;0;-4662408.91;-4579797.46;7912788.48;10281189.26;0;0;0;0;0;0;0;0;0;0;7912788.48;10281189.26;302001.01;302001.01;0;0;0;0;0;0;302001.01;302001.01;;;-315338.9;-315338.9;0;0;504000;0;0;0;0;0;0;0;0;0;0;0;-73089.78;-73089.78;0;0;-39196.35;-39196.35;0;0;0;0;0;0;-7743.99;-7743.99;7168.75;7168.75;75799.73;-428200.27;8290589.22;10154990;10154990;9647240.5;;0;9912527.46;-6551959.38;3360568.08;0.976124
00.332.266/0001-31;2023-12-31;1;0;0;0;0;0;0;0;0;0;0;14365817.95;13185019;-2187550;-2181690.48;0;0;0;0;0;0;-5046701.41;-5216242.97;7131566.54;5787085.55;0;0;0;0;0;0;0;0;0;0;7131566.54;5787085.55;226795.11;226795.11;0;0;0;0;0;0;226795.11;226795.11;;;-315338.9;-315338.9;0;0;0;0;0;0;0;0;0;0;-77326;0;0;0;-68565.04;-68565.04;0;0;-43376.89;-43376.89;0;0;-11000;-5500;0;0;-780.1;-780.1;-9124.64;-8207.64;-525511.57;-441768.57;6832850.08;5572112.09;15727102.09;14940746.9855;;0;16156859.7255;-14898288.05;1258571.6755;1.027326
00.613.094/0001-74;2023-03-31;1;;;;;;;;;0;0;;;-87323.91;;;;-591058.04;;;;;;-678381.95;0;;;;;;;;;0;0;-678381.95;0;;;;;;;;;0;0;0;0;;;;;;;;;;;;;-23750;;;;;;;;-52844.89;;;;;;;;;;-76008.92;-388.4;-152603.81;-388.4;-830985.76;-388.4;-388.4;0;;0;0;0;0;0
00.613.094/0001-74;2023-06-30;1;;;;;;;;;0;0;;;-210311.04;;0;;-1490571.53;;;;;;-1700882.57;0;;;;;;;;;0;0;-1700882.57;0;;;;;;;;;0;0;0;0;;;;;;;;;;;;;-47500;;0;;-23869.57;;0;;-231693.69;;0;;0;;0;;0;;-4500.3;-388.4;-307563.56;-388.4;-2008446.13;-388.4;-388.4;0;;0;0;0;0;0
00.613.094/0001-74;2023-09-30;1;;;;;;;;;0;0;;;-327957.64;;0;;-2375715.23;;;;;;-2703672.87;0;;;;;;;;;0;0;-2703672.87;0;;;;;;;;;0;0;0;0;;;;;;;;;;;-41869.57;;-47500;;0;;-9000;;0;;-355381.5;;0;;0;;0;;0;;-15900.9;0;-469651.97;0;-3173324.84;0;0;0;;0;0;0;0;0
00.613.094/0001-74;2023-12-31;1;;;;;;;;;0;0;0;;-241176.96;;0;;-1475239.5;;0;;0;;-1716416.46;0;0;;0;;0;;0;;0;0;-1716416.46;0;;;;;;;;;0;0;0;0;0;;0;;-1200;;0;;0;;-68869.57;;0;;0;;23869.57;;0;;-180561.42;;0;;0;;0;;0;;-48710.7;0;-275472.12;0;-1991888.58;0;0;0;;0;0;0;0;0
00.762.723/0001-28;2023-03-31;2;0;0;0;0;0;0;0;0;0;0;60202.47;60202.47;-18074.41;-18074.41;0;0;0;0;0;0;-1693072.68;-1730389.82;-1650944.62;-1688261.76;0;0;0;0;0;0;0;0;0;0;-1650944.62;-1688261.76;82532.91;82532.91;0;0;0;0;0;0;82532.91;82532.91;;;-143772.57;-143824.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18030.08;-18030.08;0;0;0;0;0;0;-6300;-6300;-6688.27;-21038.26;-174790.92;-189192.61;-1743202.63;-1794921.46;-1734921.46;0;;0;0;0;0;0
00.762.723/0001-28;2023-06-30;1;0;0;0;0;0;0;0;0;0;0;60202.47;63969.1;-22566;-22566;0;0;0;0;0;0;-1693251.93;-1733626.82;-1655615.46;-1692223.72;0;0;0;0;0;0;0;0;0;0;-1655615.46;-1692223.72;37519.22;37519.22;0;0;0;0;0;0;37519.22;37519.22;;;-143772.57;-143772.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10119.66;-10119.66;0;0;-98793.68;-98793.68;0;0;0;0;0;0;-223.6;-223.6;-9751.64;-9751.64;-262661.15;-262661.15;-1880757.39;-1917365.65;-3712287.11;0;;0;0;0;0;0
