CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Outras_Caracteristicas_Relevantes;Area;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
00.868.235/0001-08;2023-03-31;1;Avenida Soledade, 569 - Porto Alegre/RS;Terreno;3950;1;0
00.868.235/0001-08;2023-06-30;1;Avenida Soledade, 569 - Porto Alegre/RS;Terreno;3950;1;0
00.868.235/0001-08;2023-09-30;1;Avenida Soledade, 569 - Porto Alegre/RS;Terreno;3950;1;0
00.868.235/0001-08;2023-12-31;1;Avenida Soledade, 569 - Porto Alegre/RS;Terreno;3950;1;0
01.235.622/0001-61;2023-03-31;2;Av. Vereador Hermínio Moreira - Itaboraí, RJ;Itaboraí;20000;0.003458;0
01.235.622/0001-61;2023-03-31;2;Rodovia Darly Santos - Vila Velha - ES;Green Village;477000;0.180169;0.001547
01.235.622/0001-61;2023-03-31;2;Visconde de Inhaúma, 95;Hotel São Francisco;7688.02;0.148112;0.000456
01.235.622/0001-61;2023-03-31;2;Praia Rasa, Búzios - RJ;Aretê - Toriba Oeste;15039;0.038594;0
01.235.622/0001-61;2023-03-31;2;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase I;20471;0.158121;3E-05
01.235.622/0001-61;2023-03-31;2;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase II;5274;0.028304;0.010586
01.235.622/0001-61;2023-03-31;2;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase III;4229;0.023184;2.7E-05
01.235.622/0001-61;2023-03-31;2;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase IV;4349;0.044924;4.1E-05
01.235.622/0001-61;2023-03-31;2;Praia Rasa, Búzios - RJ;Aretê - Toriba Sul;6287.47;0.027605;0.000119
01.235.622/0001-61;2023-03-31;2;Praia Rasa, Búzios - RJ;Aretê - Vista Ybirá;3870.28;0.086906;0
01.235.622/0001-61;2023-03-31;2;Rua Visconde de Pirajá, 484 e 486;Visconde de Pirajá;360;0.054705;0.007678
01.235.622/0001-61;2023-03-31;2;Avenida Epitácio pessoa, 3744 e 3800;Epitácio Pessoa, 3744 e 3800;952.33;0.097345;7.1E-05
01.235.622/0001-61;2023-03-31;2;Rua Barão da Torre, nº 662;Barão da Torre;287.5;0.046573;0.000198
01.235.622/0001-61;2023-03-31;2;Alberto de Campos, 100;Alberto de Campos;160;0.011092;0
01.235.622/0001-61;2023-03-31;2;Sorocaba, 420, 422 e 436;Sorocaba;949.8;0.050908;0
01.235.622/0001-61;2023-03-31;2;Gleba III da Rua de Acesso 2º Seguimento (Rua Projetada) - Niterói, RJ;Parque Gragoatá;9466;0;0
01.235.622/0001-61;2023-06-30;1;Av. Vereador Hermínio Moreira - Itaboraí, RJ;Itaboraí;20000;0.003736;0.001137
01.235.622/0001-61;2023-06-30;1;Rodovia Darly Santos - Vila Velha - ES;Green Village;477000;0.197114;0.043862
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Toriba I;11537;0;0.012649
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Toriba Oeste;15039;0.041759;0.050454
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase IV;4349;0.048805;0.009268
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase I;20471;0.16917;0.008033
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase II;5274;0.030647;0.014645
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Toriba Sul;6287.47;0.029599;0.009075
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase III;4229;0.031976;0.026843
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Vista Ybirá;3870.28;0;0
01.235.622/0001-61;2023-06-30;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase IV;4349;0;0.031819
01.235.622/0001-61;2023-06-30;1;Rua José Higino n° 416 - Tijuca, RJ;Homem de Melo - Tijuca;9430;0;0.01531
01.235.622/0001-61;2023-06-30;1;Avenida Lineu de Paula Machado, 696/708 - Lagoa, RJ;Lineu de Paula Machado;249.84;0;0.003646
01.235.622/0001-61;2023-06-30;1;Rua Fernandes Guimarães, nºs 39 e 43 e Rua Arnaldo Quintela nºs, 24, 26, 30 e 32;Arnaldo Quintela;1635.64;0;0.016661
01.235.622/0001-61;2023-06-30;1;Avenida Epitácio pessoa, 3744 e 3800;Epitácio Pessoa, 3744 e 3800;952.33;0.106457;0
01.235.622/0001-61;2023-06-30;1;Rua Visconde de Pirajá, 484 e 486;Visconde de Pirajá;360;0;0
01.235.622/0001-61;2023-06-30;1;Rua Barão da Torre, nº 662;Barão da Torre;287.5;0;0
01.235.622/0001-61;2023-06-30;1;Fernandes Guimarães, 75, 79 e 81;Fernandes Guimarães;656.24;0;0
01.235.622/0001-61;2023-06-30;1;Alberto de Campos, 100;Alberto de Campos;160;0;0
01.235.622/0001-61;2023-06-30;1;Sorocaba, 420, 422 e 436;Sorocaba;949.8;0.059666;0
01.235.622/0001-61;2023-06-30;1;Rua do Russel, no 632, Glória, Rio de Janeiro - RJ;Hotel Gloria;9066;0.176309;0
01.235.622/0001-61;2023-09-30;1;Av. Vereador Hermínio Moreira - Itaboraí, RJ;Itaboraí;20000;0.003736;0
01.235.622/0001-61;2023-09-30;1;Rodovia Darly Santos - Vila Velha - ES;Green Village;477000;0.198149;0.000417
