CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
10.456.810/0001-00;2023-06-30;1;Rua Ramos Batista, 198 - Vila Olimpia, São Paulo - SP (Minneapolis);2023-06-15;391;Imóvel para renda acabado;0.075419;0.076612
10.456.810/0001-00;2023-06-30;1;Rua do Rócio - Vila Olimpia, São Paulo - SP (Atrium IX);2023-06-01;457.52;Imóvel para renda acabado;0.098961;0.100539
12.927.767/0001-40;2023-09-29;1;Não possui informação apresentada;;;;;
14.631.148/0001-39;2023-09-29;1;Alameda do Ipê, 64 -Bairro Nova Cavalheiros Macaé -Rio de Janeiro;2023-09-29;7031.08;Galpão In dustrial/Comercial e seu respectivo terreno;0.1014;0.072
14.631.148/0001-39;2023-12-29;1;Alameda do Ipê, 64 -Bairro Nova Cavalheiros Macaé -Rio de Janeiro;2023-10-01;7031.08;Galpão In dustrial/Comercial e seu respectivo terreno;0.1014;0.072
15.576.907/0001-70;2023-03-31;1;Est. do Campo Limpo, 5520 - São Paulo - SP;2023-01-27;604;n/a;0.000678;0.000638
16.915.968/0001-88;2023-12-31;2;Rua Cidade de Bagdá, 940, Jabaquara, São Paulo-SP;2024-11-17;1800;Não possui;0.158166;0.00952
17.098.794/0001-70;2023-09-29;1;Não possui informação apresentada.;;;;;
27.538.477/0001-81;2023-06-30;1;Residencial Fazenda Santa Maria - Rod. Anhanguera, 299, Cravinhos - SP;2023-06-14;1500;N/A;0;0
30.492.505/0001-81;2023-12-31;1;Rua Benedito Hipólito, s/n - Lote 1, do Pal 48.853, Freguesia do Espírito Santo,  Cidade Nova  -  Rio de Janeiro - RJ;2023-12-13;2860.72;Imovel melhor descrito e caracterizado na matricula 50.054 do Registro de Imóveis do 7º Oficio. Imovel é foreiro à União e está registrado na Secretaria de Patrimônio da União sob o Registro Imobiliário Patrimonial RIP nº 6001.0127137-76;0.337834;0.127991
34.691.925/0001-48;2023-06-30;1;Rua Marco Antonio Ricardo de Oliveira;2023-04-28;108653;Nenhuma caracteristica relevante;0.057958;0.002308
34.691.925/0001-48;2023-06-30;1;Rua Vlademir Fernandes Souza;2023-04-28;1050;Nenhuma caracteristica relevante;0.056009;0.00223
34.691.925/0001-48;2023-06-30;1;Rua Hackel Maluf/ Rua José Jorge Tannus;2023-04-28;126568;Nenhuma caracteristica relevante;0.067514;0.002688
34.691.925/0001-48;2023-06-30;1;Rua José Jorge Tannus;2023-04-28;128745;Nenhuma caracteristica relevante;0.068675;0.002734
34.691.925/0001-48;2023-06-30;1;Rua José Jorge Tannus;2023-04-28;123716;Nenhuma caracteristica relevante;0.065992;0.002628
34.691.925/0001-48;2023-06-30;1;Avenisa Virgina Faria Monteiro de Castro;2023-04-28;130197;Nenhuma caracteristica relevante;0.069449;0.002765
34.691.925/0001-48;2023-06-30;1;Rua Sebastião Fernandes Pereira;2023-04-28;1300;Nenhuma caracteristica relevante;0.069344;0.002761
34.691.925/0001-48;2023-06-30;1;Rua Sebastião Fernandes Pereira;2023-04-28;1300;Nenhuma caracteristica relevante;0.069344;0.002761
34.691.925/0001-48;2023-06-30;1;Rua Sebastião Fernandes Pereira;2023-04-28;126013;Nenhuma caracteristica relevante;0.067218;0.002676
34.691.925/0001-48;2023-06-30;1;Rua Sebastião Fernandes Pereira;2023-04-28;105985;Nenhuma caracteristica relevante;0.056534;0.002251
34.691.925/0001-48;2023-06-30;1;Rua Sebastião Fernandes Pereira;2023-04-28;104932;Nenhuma caracteristica relevante;0.055973;0.002229
34.691.925/0001-48;2023-06-30;1;Rua Encarnação Soler Fabretti;2023-04-28;102915;Nenhuma caracteristica relevante;0.054897;0.002186
34.691.925/0001-48;2023-06-30;1;Rua Saulo Duchovni;2023-04-28;118528;Nenhuma caracteristica relevante;0.063225;0.002517
34.691.925/0001-48;2023-06-30;1;Rua Saulo Duchovni;2023-04-28;110728;Nenhuma caracteristica relevante;0.059064;0.002352
34.691.925/0001-48;2023-06-30;1;Rua Saulo Duchovni;2023-04-28;104226;Nenhuma caracteristica relevante;0.055596;0.002214
34.691.925/0001-48;2023-06-30;1;Rua Saulo Duchovni;2023-04-28;118498;Nenhuma caracteristica relevante;0.063209;0.002517
34.693.040/0001-88;2023-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2023-03-16;3350.28;Nenhuma característica relevante;0.146135;0.141707
34.693.040/0001-88;2023-06-30;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2023-05-18;3464.71;Nenhuma característica relevante;0.107344;0.117704
34.693.040/0001-88;2023-09-29;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2023-08-15;3357.32;Nenhuma característica relevante;0.049266;0.052119
34.693.040/0001-88;2023-12-29;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2023-11-14;3124.08;Nenhuma característica relevante;0;0
34.693.040/0001-88;2023-12-29;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2023-11-27;3040.54;Nenhuma característica relevante;0;0
34.693.040/0001-88;2023-12-29;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2023-11-22;3556.52;Nenhuma característica relevante;0;0
34.693.040/0001-88;2023-12-29;1;Itatiba-SP;2023-10-24;285138;Nenhuma característica relevante;0;0
34.693.040/0001-88;2023-12-29;1;Itatiba-SP;2023-10-24;49916.9;Nenhuma característica relevante;0;0
37.532.662/0001-12;2023-09-30;1;Imovel Urbano, Lote 5 Qd G - Rua Dois, lado par. Loteamento Jardim Montecarlo, Município de Sertãozinho - SP;2023-08-03;504;Objeto da matrícula 70.968 do Oficial de Registro de Imóveis de Sertãozinho - SP;0.069221;0.010993
37.532.662/0001-12;2023-09-30;1;Lote de Terreno Urbano, Lote 4 Qd 24 - Loteamento Pq. Das Oliveiras I - Ribeirão Preto - SP;2023-09-06;1430.15;Objeto da matrícula 101.772 do 1º Oficial de Registro de Imóveis, Tíulos e Documentos e Civil de Pessoa Jurídica de Ribeirão Preto - SP;0.129297;0.019127
37.532.662/0001-12;2023-09-30;1;Lote de Terreno Urbano, Lote 5 Qd 24 -  Loteamento Pq. Das Oliveiras I - Ribeirão Preto - SP;2023-09-06;1482.48;Objeto da matrícula 101.773 do 1º Oficial de Registro de Imóveis, Tíulos e Documentos e Civil de Pessoa Jurídica de Ribeirão Preto - SP;0.129297;0.019127
