CNPJ_Fundo_Classe;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
01.235.622/0001-61;2023-03-31;2;Jan/23;0;0
01.235.622/0001-61;2023-03-31;2;Fev/23;0;0
01.235.622/0001-61;2023-03-31;2;Mar/23;0;0
01.235.622/0001-61;2023-06-30;1;Abril/23;0;0
01.235.622/0001-61;2023-06-30;1;Maio/23;0;0
01.235.622/0001-61;2023-06-30;1;Junho/2023;0;0
01.235.622/0001-61;2023-09-30;1;Agosto/23;0.005934;0
01.235.622/0001-61;2023-09-30;1;Setembro/23;0.003005;0
01.235.622/0001-61;2023-09-30;1;Julho/23;0.043303;0
01.235.622/0001-61;2023-12-29;1;Outubro /23;0.003781;0
01.235.622/0001-61;2023-12-29;1;Novembro/23;0.004008;0
01.235.622/0001-61;2023-12-29;1;Dezembro/23;-0.01885;0
03.683.056/0001-86;2023-03-31;1;Março;0.0046;0.004468
03.683.056/0001-86;2023-03-31;1;Fevereiro;0.002662;0.002662
03.683.056/0001-86;2023-03-31;1;Janeiro;0.008997;0.008584
03.683.056/0001-86;2023-06-30;1;Janeiro;-0.000796;-0.000796
03.683.056/0001-86;2023-06-30;1;Fevereiro;0.008426;0.008426
03.683.056/0001-86;2023-06-30;1;Março;0.000804;0.000467
03.683.056/0001-86;2023-09-30;1;Julho;-0.000796;-0.000796
03.683.056/0001-86;2023-09-30;1;Agosto;0.008426;0.008426
03.683.056/0001-86;2023-09-30;1;Setembro;0.000804;0.000467
03.683.056/0001-86;2023-12-31;1;Janeiro;-0.000796;-0.000796
03.683.056/0001-86;2023-12-31;1;Março;0.000804;0.000467
03.683.056/0001-86;2023-12-31;1;Fevereiro;0.008426;0.008426
10.522.648/0001-81;2023-03-31;2;Jan/23;0.002642;0.002642
10.522.648/0001-81;2023-03-31;2;Fev/23;0.000437;0.000437
10.522.648/0001-81;2023-03-31;2;Mar/23;-0.001343;-0.001343
10.522.648/0001-81;2023-06-30;1;Abril/23;0;0
10.522.648/0001-81;2023-06-30;1;Maio/23;0;0
10.522.648/0001-81;2023-06-30;1;Junho/23;0;0
10.522.648/0001-81;2023-09-30;1;Setembro/23;0.003956;0
10.522.648/0001-81;2023-09-30;1;Agosto/23;0.00024;0
10.522.648/0001-81;2023-09-30;1;Julho/23;-0.015601;0
10.522.648/0001-81;2023-12-29;1;Dezembro/23;-0.314895;0
10.522.648/0001-81;2023-12-29;1;Novembro/23;0.001461;0
10.522.648/0001-81;2023-12-29;1;Outubro/23;0.000725;0
11.268.335/0001-01;2023-03-31;1;03/2023;0.002998;0.002998
11.268.335/0001-01;2023-03-31;1;02/2023;0.003386;0.003386
11.268.335/0001-01;2023-03-31;1;01/2023;0.002056;0.002056
11.268.335/0001-01;2023-06-30;1;04/2023;0.013826;0.013826
11.268.335/0001-01;2023-06-30;1;05/2023;0.001521;0.001521
11.268.335/0001-01;2023-06-30;1;06/2023;0.003871;0.003871
11.268.335/0001-01;2023-09-29;1;09/2023;0.003415;0.003415
11.268.335/0001-01;2023-09-29;1;08/2023;0.003635;0.003635
11.268.335/0001-01;2023-12-29;1;11/2023;0.007173;0.007173
11.268.335/0001-01;2023-12-29;1;12/2023;0.003397;0.003397
11.268.335/0001-01;2023-12-29;1;10/2023;-0.000526;-0.000526
11.839.593/0001-09;2023-06-30;1;04/2023;0.005288;0.00474975843055
11.839.593/0001-09;2023-06-30;1;05/2023;0.011859;0.01131985877501
11.839.593/0001-09;2023-06-30;1;06/2023;0.005471;0.00547070495228
12.005.956/0001-65;2023-03-31;1;01/2023;0.00642285248378751;0.0061678274611382
12.005.956/0001-65;2023-03-31;1;02/2023;0.0112808284222369;0.0110357589501741
12.927.767/0001-40;2023-09-29;1;Não possui informação apresentada;0;0
14.410.722/0001-29;2023-12-29;1;11/2023;0.009112;0.009112
14.410.722/0001-29;2023-12-29;1;12/2023;0.001319;0.001319
14.410.722/0001-29;2023-12-29;1;10/2023;0.009595;0.009595
17.098.794/0001-70;2023-03-31;2;Janeiro/2023;0.0247;0.0247
17.098.794/0001-70;2023-03-31;2;Fevereiro/2023;-0.01;-0.01
17.098.794/0001-70;2023-03-31;2;Março/2023;0.0327;0.0327
17.098.794/0001-70;2023-09-29;1;Setembro/2023;0.00588068278476928;0.00588068278476928
17.098.794/0001-70;2023-09-29;1;Agosto/2023;0.0111241362865728;0.0111241362865728
17.098.794/0001-70;2023-09-29;1;Julho/2023;0.00923426631338553;0.00923426631338553
17.311.079/0001-74;2023-03-31;1;Março/2023;-0.0006;-0.0006
17.311.079/0001-74;2023-03-31;1;Fevereiro/2023;-0.0007;-0.0007
17.311.079/0001-74;2023-03-31;1;Janeiro/2023;-0.0006;-0.0006
17.311.079/0001-74;2023-06-30;1;Abril/2023;-0.000623;-0.000623
