CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
03.855.441/0001-63;2023-03-31;1;Vitória;Arrend Mercantil Financeiro;148880674.05
03.855.441/0001-63;2023-03-31;1;Santos;Arrend Mercantil Financeiro;438313431.62
03.855.441/0001-63;2023-03-31;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;91885898.94
03.855.441/0001-63;2023-06-30;1;Vitória;Arrend Mercantil Financeiro;155360589.3
03.855.441/0001-63;2023-06-30;1;Santos;Arrend Mercantil Financeiro;453610839.77
03.855.441/0001-63;2023-06-30;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;100491601.74
03.855.441/0001-63;2023-09-30;1;Vitória;Arrend Mercantil Financeiro;159923323.14
03.855.441/0001-63;2023-09-30;1;Santos;Arrend Mercantil Financeiro;463491704.19
03.855.441/0001-63;2023-09-30;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;107292834.17
03.855.441/0001-63;2023-12-31;1;Vitória;Arrend Mercantil Financeiro;104315065.68
03.855.441/0001-63;2023-12-31;1;Santos;Arrend Mercantil Financeiro;348073398.57
03.855.441/0001-63;2023-12-31;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;69607625.72
08.417.532/0001-30;2023-03-31;1;Bapon;Arrendamento Mercantil Financeiro;133031516.01
08.417.532/0001-30;2023-03-31;1;Basul;Arrendamento Mercantil Financeiro;195220109.74
08.417.532/0001-30;2023-06-30;1;Bapon;Arrendamento Mercantil Financeiro;135994841.86
08.417.532/0001-30;2023-06-30;1;Basul;Arrendamento Mercantil Financeiro;203073158.48
08.417.532/0001-30;2023-09-30;1;Bapon;Arrendamento Mercantil Financeiro;138641190.8
08.417.532/0001-30;2023-09-30;1;Basul;Arrendamento Mercantil Financeiro;212627186.44
08.417.532/0001-30;2023-12-31;1;Bapon;Arrendamento Mercantil Financeiro;142616442.83
08.417.532/0001-30;2023-12-31;1;Basul;Arrendamento Mercantil Financeiro;224510276.71
12.927.767/0001-40;2023-09-29;1;Não possui informação apresentada.;;
12.989.974/0001-29;2023-09-29;1;Não possui informação apresentada.;;
13.568.181/0001-07;2023-03-31;1;Terreno - Estrada da Lama Preta, 2705 - Rio de Janeiro;Direito Real de Uso de Superfície - DUS a ser amortizado até 2027 - Valor da Cessão R$ 10 MM - valor já amortizado de R$ 6.525.925,93;3307407.42
13.568.181/0001-07;2023-03-31;1;Terreno - Rod Anhaguera,Km 106, Jd São Judas Tadeu-Sumaré-SP;Direito Real de Uso de Superfície - DUS - a ser amortizado ate 2023 - Valor da Cessão R$ 50 mil - valor já amortizado R$ 42.433,08;6412493.51
13.568.181/0001-07;2023-06-30;1;Terreno - Estrada da Lama Preta, 2705 - Rio de Janeiro;Direito Real de Uso de Superfície - DUS a ser amortizado até 2027 - Valor da Cessão R$ 10 MM - valor já amortizado de R$ 6.525.925,93;3307407.42
13.568.181/0001-07;2023-06-30;1;Terreno - Rod Anhaguera,Km 106, Jd São Judas Tadeu-Sumaré-SP;Direito Real de Uso de Superfície - DUS - a ser amortizado ate 2023 - Valor da Cessão R$ 50 mil - valor já amortizado R$ 42.433,08;6412493.51
13.584.584/0001-31;2023-03-31;1;Cemitério Morumby;130 Jazigos;1690000
13.584.584/0001-31;2023-03-31;1;Cemitério Morumby;943 Jazigos;14616500
13.584.584/0001-31;2023-03-31;1;Cemitério Morumby;1799 Jazigos;28604095.9
13.584.584/0001-31;2023-06-30;2;Cemitério Morumby;130 Jazigos;1690000
13.584.584/0001-31;2023-06-30;2;Cemitério Morumby;943 Jazigos;14616500
13.584.584/0001-31;2023-06-30;2;Cemitério Morumby;1799 Jazigos;28604100
13.584.584/0001-31;2023-09-29;1;Cemitério Morumby;130 Jazigos;1690000
13.584.584/0001-31;2023-09-29;1;Cemitério Morumby;943 Jazigos;14616500
13.584.584/0001-31;2023-09-29;1;Cemitério Morumby;1799 Jazigos;28604100
13.584.584/0001-31;2023-12-29;1;Cemitério Morumby;131 Jazigos;1690000
13.584.584/0001-31;2023-12-29;1;Cemitério Morumby;943 Jazigos;14616500
13.584.584/0001-31;2023-12-29;1;Cemitério Morumby;1799 Jazigos;28413300
15.576.907/0001-70;2023-03-31;1;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;9800657.23
15.576.907/0001-70;2023-03-31;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;16261071.5483671
15.576.907/0001-70;2023-03-31;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;42366621.4515863
15.576.907/0001-70;2023-03-31;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;46135823.2452094
15.576.907/0001-70;2023-06-30;1;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;9408620.94
15.576.907/0001-70;2023-06-30;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;15942844.13
15.576.907/0001-70;2023-06-30;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;41537511.23
15.576.907/0001-70;2023-06-30;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;45232950.15
15.576.907/0001-70;2023-09-30;1;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;9408620.94
15.576.907/0001-70;2023-09-30;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;15942844.13
15.576.907/0001-70;2023-09-30;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;41537511.23
15.576.907/0001-70;2023-09-30;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;45232950.15
15.576.907/0001-70;2023-12-31;1;Centauro;DIREITOS DE USO / RES-SPERATA A RECEBER;7056788.5
15.576.907/0001-70;2023-12-31;1;GPA - Tatuapé;Direitos de superficie GPA - Imóvel Tatuapé;19160088.39
15.576.907/0001-70;2023-12-31;1;GPA - Guarulhos;Direitos de superficie GPA - Imóvel Guarulhos;49897875.39
15.576.907/0001-70;2023-12-31;1;GPA - São José dos Campos;Direitos de superfície GPA - Imóvel SJC;54360897.97
16.543.270/0001-89;2023-03-31;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI;3000000
16.543.270/0001-89;2023-03-31;1;Season Empreendimentos;Subdistrito de Amaralina, Salvador, Bahia.;1868358.01
16.543.270/0001-89;2023-03-31;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2023-03-31;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2023-03-31;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2023-03-31;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
16.543.270/0001-89;2023-06-30;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI;3000000
16.543.270/0001-89;2023-06-30;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2023-06-30;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2023-06-30;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2023-06-30;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
16.543.270/0001-89;2023-09-29;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI;3000000
16.543.270/0001-89;2023-09-29;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2023-09-29;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2023-09-29;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2023-09-29;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
16.543.270/0001-89;2023-12-29;1;3 Apartamentos MG;Edificio Bossa Nova -BURITI;3000000
16.543.270/0001-89;2023-12-29;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2023-12-29;1;120 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;12000000
16.543.270/0001-89;2023-12-29;1;80 LOTES -JARDINS MONET;JARDINS MONET-MG - ABAETÉ;8000000
16.543.270/0001-89;2023-12-29;1;BELA VISTA III 70 UNIDADES;BELA VISTA III -MG-FUNILÃNDIA;7000000
16.671.412/0001-93;2023-03-31;1;Galpão Contagem;Direitos de usufruto imóvel de Contagem - MG;112287879.04
16.671.412/0001-93;2023-06-30;1;Galpão Contagem;Direitos de usufruto imóvel de Contagem - MG;110144351.26
16.671.412/0001-93;2023-09-30;1;Galpão Contagem;Direitos de usufruto imóvel de Contagem - MG;107977268.23
16.671.412/0001-93;2023-12-31;1;Galpão Contagem;Direitos de usufruto imóvel de Contagem - MG;105810185.2
16.685.929/0001-31;2023-03-31;1;LA SHOPPING CENTERS S.A.;Gestão e administração da propriedade imobiliária/Holdings de instituições não-financeiras;626253.395352416
16.685.929/0001-31;2023-06-30;1;LA SHOPPING CENTERS S.A.;Gestão e administração da propriedade imobiliária/Holdings de instituições não-financeiras;626253.395352416
16.685.929/0001-31;2023-09-30;1;LA SHOPPING CENTERS S.A.;Gestão e administração da propriedade imobiliária/Holdings de instituições não-financeiras;626253.395352416
