CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
08.098.114/0001-28;2023-09-29;1;UNITOLEDO;Rua Antonio Afonso de Toledo, 512/ 465/ 595 - Jardim Sumare, Araçatuba- SP;17546.25;1;Direito de propriedade;0.0497;Renda
08.098.114/0001-28;2023-12-29;1;UNITOLEDO;Rua Antonio Afonso de Toledo, 512/ 465/ 595 - Jardim Sumare, Araçatuba- SP;17546.25;1;Direito de propriedade;0.0497;Renda
08.431.747/0001-06;2023-09-30;1;Shopping Jardim Sul - 40%;Av. Giovanni Gronchi, 5819, Morumbi, São Paulo/SP;28739.03;172;-;0.1017;Renda
08.431.747/0001-06;2023-12-31;1;SHOPPING CAPIM DOURADO - 60,00%;Q. 107 Norte Avenida NS 5, S/N - Plano Diretor Norte, Palmas - TO;38824.25;153;-;0.0589;Renda
11.728.688/0001-47;2023-06-30;1;Fração Itupeva G200;Estrada Joaquim Bueno Neto, 9835, Itupeva, SP;89976.04;1;-;0.004707;Renda
11.728.688/0001-47;2023-06-30;1;Cone G03 MM2;Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE;137171.7;1;-;0.008656;Renda
11.728.688/0001-47;2023-09-30;1;Aquisição DC Barueri;Avenida Piracema, nº 155, quadra 5, lotes 9 a 16 e 17 (parte), Barueri, Sào Paulo;90484.02;1;-;0.087515;Renda
11.728.688/0001-47;2023-09-30;1;Aquisição DC Cajamar;Rodovia Anhanguera, km 31.775, Cajamar, São Paulo;102708.28;1;-;0.064709;Renda
11.728.688/0001-47;2023-09-30;1;Aquisição DC Embu das Artes;Rua José Semião Rodrigues Agostinho, nº 1.370, Embu das Artes, São Paulo;66521.25;1;-;0.044252;Renda
11.728.688/0001-47;2023-09-30;1;Aquisição DC Rodoanel;Av. Hélio Ossamu Daikuara, nº 1.445, Embu das Artes, São Paulo;77587.2;1;-;0.055869;Renda
11.728.688/0001-47;2023-09-30;1;Aquisição Itapevi SP;Rod. Pres. Castello Branco, altura do Km 34,5, Itapevi, São Paulo;34286;1;-;0.014861;Renda
11.839.593/0001-09;2023-12-31;1;BTLG Cajamar I;Avenida Doutor Antonio Joao Abdalla, 3945, Sem Complemento, Empresarial Colina, Cajamar/SP, Brasil, 07750-020;78639.38;1;Direito de propriedade;0.09082694992899;Renda
11.839.593/0001-09;2023-12-31;1;BTLG Cajamar III;Avenida Doutor Antonio Joao Abdalla, 2010, Sem Complemento, Empresarial Colina, Cajamar/SP, Brasil, 07750-020;57071.72;1;Direito de propriedade;0.07883712440645;Renda
11.839.593/0001-09;2023-12-31;1;BTLG Campinas - Dom Pedro;Estrada Municipal Jose Sedano, 854, Sem Complemento, Residencial Quilombo Ii, Campinas/SP, Brasil, 13069-387;102722.77;5;Direito de propriedade;0.07759325355513;Renda
12.005.956/0001-65;2023-09-29;1;5º Andar Edifício Athenas;Rua Dr. Fernandes Coelho, 64, Pinheiros, São Paulo - SP;479.2;2;-;0.00151893438537681;Renda
12.927.767/0001-40;2023-09-29;1;Não possui informação apresentada;;;;;;
13.320.290/0001-00;2023-12-29;1;HANGAR;Av Luis Viana Filho, nº 13.223, São Cristovão- Salvador BA - Torre 4 - Sala 711 a 715;207.54;5;2º Registro de Imóveis de Salvador - BA Matricula 182.520 / 182.521 / 182.522 / 182.523 / 182.524;0.005281;Renda
13.598.226/0001-88;2023-03-31;1;ID 181;Avenida Manoel Bento da Cruz, 568;493.8;1;MATRICULA 4349 - PENAPOLIS;1;Venda
13.598.226/0001-88;2023-03-31;1;ID 155;Rua Alfredo Maia,647;4210;1;MATRICULA 46005 - ITAPETININGA;1;Venda
15.006.267/0001-63;2023-09-30;1;Edificio Iguatemi Alphaville - Itower;Alameda Xingu, 350, Sem Complemento, Alphaville Centro Industrial E Empresarialalphaville, Barueri/SP, Brasil, 06455-030;5986.56;6;Direito de Propriedade;0.14884623775499;Renda
15.006.267/0001-63;2023-09-30;1;Edificio Box 298;Rua Wisard, 298,  Vila Madalena, Sao Paulo/SP, Brasil, 05434-000;2233480;4;Direito de Propriedade;0.08404644094598;Renda
15.006.267/0001-63;2023-09-30;1;Edificio Modulo Reboucas;Rua Capote Valente, 39, Pinheiros, Sao Paulo/SP, Brasil, 05409-000;2802478;4;Direito de Propriedade;0.21872951381108;Renda
15.489.509/0001-17;2023-09-30;1;MAT10124;V. RIO BRANCO MG;400;1;Não se aplica;0.00051;Renda
15.576.907/0001-70;2023-06-30;1;CEF - Rio Claro;Av. 1, 500 - Rio Claro - SP;542.7;1;N/A;0.003734;Renda
15.576.907/0001-70;2023-06-30;1;CEF - Jundiapeba;Alameda Santo Ângelo, 118 - Mogi das Cruzes - SP;905.75;1;N/A;0.003523;Renda
17.098.794/0001-70;2023-09-29;1;Não possui informação apresentada.;;;;;;
