CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
07.789.135/0001-27;2022-12-31;1;SNI - SHOPPING NOVA IGUACU;Av. Abílio Augusto Távora, 1111 - Luz, Nova Iguaçu - RJ;45760.87;223;Nova Iguaçu Shopping, 44% adquirido em dezembro de 2022, localizado no Rio de Janeiro, compreendido nas matrículas 50.232 e 50.605 do Registro de Imóveis da1ª Circunscrição de Nova Iguaçu;0.1014;Renda
07.789.135/0001-27;2022-12-31;1;MNS - MINAS SHOPPING;Av. Cristiano Machado, nº 4000, Belo Horizonte/MG;50508.89;234;Minas Shopping, 9,1393% adquirido em dezembro de 2022, localizado em Belo Horizonte, compreendido nas matrículas 84.380 a 84.528 do 4º Ofício de Registro de Imóveis de Belo Horizonte/MG;0.0437;Renda
08.706.065/0001-69;2022-12-31;2;Ibis Congonhas;Rua Baronesa De Bela Vista, 801, Sem Complemento, Vila Congonhas, Sao Paulo/SP, Brasil, 04612-002;20000;50;Não possui características que destõem dos demais;0.103175;Renda
11.728.688/0001-47;2022-09-30;1;HGLG Betim BTS - Meli;Rua da Harmonia - Parque Industrial de Betim, Betim - MG;95730;1;Built to Suit;0.076285;Renda
11.728.688/0001-47;2022-12-31;2;HGLG Parque Torino;Rodovia BR-381, s/n, km 483, Pista Norte, Jardim Piemonte, Betim, MG;66040;21;-;0.060891543954302;Renda
11.769.604/0001-13;2022-06-30;1;49% do Outlet Premium Grande São Paulo;Rodovia Ayrton Senna, KM 45;8134;82;706 vagas de estacionamento;;Renda
11.839.593/0001-09;2022-09-30;1;Galpao Campinas - Air Liquide;Rua Ronald Cladstone Negri, 557, Sem Complemento, Polo De Alta Tecnologia De Campinas  Polo I, Campinas/SP, Brasil, 13069-472;1722.66;1;Direito de Propriedade;0.00953812132896;Renda
11.839.593/0001-09;2022-09-30;1;Feira de Santana - CDD AMBEV;Estrada De Sao Goncalo, S/ Nº, Altura Aproximada Do Km 530, Humildes , Feira De Santana/BA, Brasil, 44135-000;11185.6;1;Direito de Propriedade;0.01887945417247;Renda
11.839.593/0001-09;2022-09-30;1;Galpao Santa Luzia;Avenida Beirario, 5777, Sem Complemento, Distrito Industrial Deputado Simao Da Cunha, Santa Luzia/MG, Brasil, 33040-260;16120.5;1;Direito de Propriedade;0.02783003476014;Renda
11.839.593/0001-09;2022-09-30;1;Loja Dengo;Avenida Brigadeiro Faria Lima, 186, Sem Complemento, Pinheiros, Sao Paulo/SP, Brasil, 05426-200;1685.2;1;Direito de Propriedade;0.01366738402276;Renda
11.839.593/0001-09;2022-09-30;1;Galpao Camacari;Rodovia Ba535 Via Parafuso, Km 14, Cep 42849-000, S/n, Cep Correto: 42849-000, Polo Logístico, Camacari/BA, Brasil, 42800-331;4415.29;1;Direito de Propriedade;0.02414566469496;Renda
11.839.593/0001-09;2022-09-30;1;Imovel Cotia - Symrise;Estrada Do Capuava, 1000, Sem Complemento, Chacara Ondas Verdes, Cotia/SP, Brasil, 06715-725;7538.31;1;Direito de Propriedade;0.02414566469496;Renda
11.839.593/0001-09;2022-12-31;1;BTLG - Cabreuva | SP;Rodovia  Dom Gabriel Paulino Bueno Couto, Km 80,2, Esquina Com Via Dos Ipes, Bairro Do Jacaré, Cabreuva/SP, Brasil, 13315-000;40000;1;Não possui caracteristicas que destoem dos demais;0.04469534310634;Renda
11.839.593/0001-09;2022-12-31;1;BTLG - Extrema | MG;Estrada Municipal Thereza Thomazella, 432, Sem Complemento, Bairro Dos Pires, Extrema/MG, Brasil, 00037-640;39177.35;1;Não possui caracteristicas que destoem dos demais;0.06322538469805;Renda
12.804.013/0001-00;2022-09-30;1;Conjunto Comercial nº 301JB;Rodovia José Carlos Daux (SC 401), nº 5.500, Saco Grande, Florianópolis/SC;95.04;1;Conjunto Comercial nº 301, localizado no 3º pavimento da Torre Jurerê B do "SC 401 SQUARE CORPORATE". Imóvel objeto da matrícula nº 160.471 do Livro nº 2 Registro Geral do Cartório do 2º Ofício do Registro de Imóveis do Estado de Santa Catarina. Inscrição imobiliária nº 38.83.047.0558.546-096. Retomado por meio de RESCISÃO CONTRATUAL JUDICIAL. EM SETEMBRO/22 O JUIZ deferiu o VALOR FINAL PARA DEPÓSITO EM CAUÇAO por parte do FUNDO PARA QUE  O FUNDO SEJA IMITIDO NA POSSE;1;Venda
13.873.457/0001-52;2022-12-31;1;Ativo São Bernardo do Campo;Av. Dr. Rudge Ramos, nº 1.501;23771;1;contrato atípico;0.201889;Renda
17.198.500/0001-82;2022-06-30;2;Fazenda Gradaus;N/A;1;1;n/a;0;Renda
17.554.274/0001-25;2022-12-31;2;Campinas Shopping;Rua Jacy Teixeireira de Camargo, 940 - Campinas/SP;36165;265;36.165m² de ABL;0.0844642106244922;Renda
22.646.161/0001-90;2022-06-30;1;Frad.E - Unid. 102 - Bl 5 - Village Maris;"Fazenda do Frade" - 2º Distrito de Angra dos Reis - Rio de Janeiro;297.4;1;;;
22.646.161/0001-90;2022-09-30;1;Frad.E - Unid. 102 - Bl 5 - Village Maris;"Fazenda do Frade" - 2º Distrito de Angra dos Reis - Rio de Janeiro;297.4;1;;;
23.426.470/0001-17;2022-12-31;1;GALPÃO SBC;Estrada particular Sadae Takagi.;26940.2;1;Matrícula nº 32616;0.1248;Renda
24.796.967/0001-90;2022-03-31;1;134861;Alameda Itu,136 Jardim Paulista;88;1;Apartamento residencial para venda;0.0021;Venda
24.796.967/0001-90;2022-03-31;1;137465;Alameda Campinas,834 Jardim Paulista;130;1;Apartamento residencial para venda;0.0032;Venda
24.796.967/0001-90;2022-03-31;1;138387;Alameda Fernão Cardim,98 Jardim Paulista;125.17;1;Apartamento residencial para venda;0.0025;Venda
24.796.967/0001-90;2022-03-31;1;138591;Avenida Nove de Julho,2976 Jardim América;118.32;1;Apartamento residencial para venda;0.0023;Venda
24.796.967/0001-90;2022-03-31;1;140094;Alameda Sarutaiá,160 Jardim Paulista;83;1;Apartamento residencial para venda;0.0018;Venda
24.796.967/0001-90;2022-03-31;1;140648;Alameda Sarutaiá,103 Jardim Paulista;113.8;1;Apartamento residencial para venda;0.0028;Venda
24.796.967/0001-90;2022-03-31;1;140954;Avenida Brigadeiro Luís Antônio, 2808 Jardim Paulista;61.869;1;Apartamento residencial para venda;0.0018;Venda
24.796.967/0001-90;2022-03-31;1;142249;Alameda Santos,2081 Jardim Paulista;134.80125;1;Apartamento residencial para venda;0.0032;Venda
24.796.967/0001-90;2022-03-31;1;1454735;Rua Senador César Lacerda Vergueiro,418 Vila Madalena;287.815;1;Apartamento residencial para venda;0.0033;Venda
24.796.967/0001-90;2022-03-31;1;1456648;Rua Alvorada,859 Vila Olímpia;100;1;Apartamento residencial para venda;0.002;Venda
24.796.967/0001-90;2022-03-31;1;147430;Rua Oscar Freire,1221 Jardim América;140.58;1;Apartamento residencial para venda;0.0038;Venda
24.796.967/0001-90;2022-03-31;1;1527085;Rua Canning,22 Ipanema;71.7;1;Apartamento residencial para venda;0.0027;Venda
24.796.967/0001-90;2022-03-31;1;153326;Rua José Maria Lisboa,1003 Jardim Paulista;130;1;Apartamento residencial para venda;0.0035;Venda
24.796.967/0001-90;2022-03-31;1;155576;Avenida Nove de Julho,3183 Jardim Paulista;67.57;1;Apartamento residencial para venda;0.0017;Venda
24.796.967/0001-90;2022-03-31;1;1603160;Rua Conrado Niemeyer,28 Copacabana;50;1;Apartamento residencial para venda;0.0016;Venda
24.796.967/0001-90;2022-03-31;1;1609091;Rua São Clemente,172 Botafogo;45;1;Apartamento residencial para venda;0.001;Venda
24.796.967/0001-90;2022-03-31;1;1680444;Rua Timóteo da Costa,1100 Leblon;114;1;Apartamento residencial para venda;0.0043;Venda
24.796.967/0001-90;2022-03-31;1;194656;Rua Haddock Lobo,867 Jardim América;47;1;Apartamento residencial para venda;0.0014;Venda
24.796.967/0001-90;2022-03-31;1;204607;Rua Oscar Freire,1513 Jardim América;104.15;1;Apartamento residencial para venda;0.0024;Venda
24.796.967/0001-90;2022-03-31;1;208428;Praça Benedito Calixto,186 Pinheiros;40.7631;1;Apartamento residencial para venda;0.0008;Venda
24.796.967/0001-90;2022-03-31;1;210309;Rua Lisboa,403 Pinheiros;103;1;Apartamento residencial para venda;0.0023;Venda
24.796.967/0001-90;2022-03-31;1;210664;Rua Artur de Azevedo,761 Pinheiros;71.42;1;Apartamento residencial para venda;0.0015;Venda
24.796.967/0001-90;2022-03-31;1;212110;Rua Cônego Eugênio Leite,540 Pinheiros;112.59;1;Apartamento residencial para venda;0.0027;Venda
24.796.967/0001-90;2022-03-31;1;214656;Rua Ouro Branco,150 Jardim Paulista;40.09;1;Apartamento residencial para venda;0.001;Venda
24.796.967/0001-90;2022-03-31;1;214821;Rua Guarará,511 Jardim Paulista;29.71;1;Apartamento residencial para venda;0.001;Venda
24.796.967/0001-90;2022-03-31;1;215266;Alameda Campinas,1213 Jardim Paulista;32;1;Apartamento residencial para venda;0.001;Venda
24.796.967/0001-90;2022-03-31;1;215273;Alameda Campinas,1213 Jardim Paulista;31.2;1;Apartamento residencial para venda;0.001;Venda
24.796.967/0001-90;2022-03-31;1;216255;Rua Joaquim Antunes,865 Pinheiros;107.68;1;Apartamento residencial para venda;0.0029;Venda
24.796.967/0001-90;2022-03-31;1;217064;Rua Mateus Grou,539 Pinheiros;70.21;1;Apartamento residencial para venda;0.0018;Venda
24.796.967/0001-90;2022-03-31;1;2174013;Rua São Salvador,1 Flamengo;57;1;Apartamento residencial para venda;0.0014;Venda
24.796.967/0001-90;2022-03-31;1;2178311;Rua Inhangá 10 Copacabana;55;1;Apartamento residencial para venda;0.0015;Venda
24.796.967/0001-90;2022-03-31;1;2180056;Rua Silveira Martins 157  308;40;1;Apartamento residencial para venda;0.0002;Venda
24.796.967/0001-90;2022-03-31;1;219480;Rua Mourato Coelho,495 Pinheiros;125;1;Apartamento residencial para venda;0.0025;Venda
24.796.967/0001-90;2022-03-31;1;220816;Rua dos Pinheiros,954 Pinheiros;83.9;1;Apartamento residencial para venda;0.0014;Venda
24.796.967/0001-90;2022-03-31;1;2214096;Rua Visconde de Pirajá , nº 584, 502, Ipanema;64;1;Apartamento residencial para venda;0.0006;Venda
24.796.967/0001-90;2022-03-31;1;2232180;Rua Silva Castro,32 Copacabana;130;1;Apartamento residencial para venda;0.003;Venda
24.796.967/0001-90;2022-03-31;1;223245;Rua Itacema,380 Itaim Bibi;100;1;Apartamento residencial para venda;0.0028;Venda
24.796.967/0001-90;2022-03-31;1;223781;Rua Itacema,246 Itaim Bibi;138.22875;1;Apartamento residencial para venda;0.004;Venda
24.796.967/0001-90;2022-03-31;1;225897;Rua Pedroso Alvarenga,86 Itaim Bibi;106;1;Apartamento residencial para venda;0.0026;Venda
24.796.967/0001-90;2022-03-31;1;225953;Rua Itacema, 85 Itaim Bibi;190;1;Apartamento residencial para venda;0.0049;Venda
24.796.967/0001-90;2022-03-31;1;226016;Rua Itacema,129 Itaim Bibi;136;1;Apartamento residencial para venda;0.0035;Venda
24.796.967/0001-90;2022-03-31;1;227924;Rua Bandeira Paulista,272 Itaim Bibi;119.39;1;Apartamento residencial para venda;0.0029;Venda
24.796.967/0001-90;2022-03-31;1;230716;Rua Tabapuã,146 Itaim Bibi;83.5;1;Apartamento residencial para venda;0.002;Venda
24.796.967/0001-90;2022-03-31;1;232161;Rua Professor Tamandaré Tolêdo,64 Itaim Bibi;100;1;Apartamento residencial para venda;0.0015;Venda
24.796.967/0001-90;2022-03-31;1;232576;Rua Joaquim Floriano,466 Itaim Bibi;40;1;Apartamento residencial para venda;0.0016;Venda
24.796.967/0001-90;2022-03-31;1;232684;Rua Tabapuã,281 Itaim Bibi;120;1;Apartamento residencial para venda;0.003;Venda
24.796.967/0001-90;2022-03-31;1;232687;Rua Tabapuã,281 Itaim Bibi;121.69;1;Apartamento residencial para venda;0.003;Venda
24.796.967/0001-90;2022-03-31;1;232696;Rua Tabapuã,281 Itaim Bibi;125;1;Apartamento residencial para venda;0.0031;Venda
24.796.967/0001-90;2022-03-31;1;234916;Rua João Cachoeira,892 Itaim Bibi;84;1;Apartamento residencial para venda;0.0026;Venda
24.796.967/0001-90;2022-03-31;1;2366855;Avenida Epitácio Pessoa 2566 Lagoa;71;1;Apartamento residencial para venda;0.0026;Venda
24.796.967/0001-90;2022-03-31;1;2459453;Rua Guilherme Barbosa de Melo,84 Itaim Bibi;92.6;1;Apartamento residencial para venda;0.0019;Venda
24.796.967/0001-90;2022-03-31;1;2459909;Rua Pensilvânia,57 Brooklin;55;1;Apartamento residencial para venda;0.0013;Venda
24.796.967/0001-90;2022-03-31;1;267726;Rua Balthazar da Veiga,589 Vila Nova Conceição;43;1;Apartamento residencial para venda;0.0017;Venda
24.796.967/0001-90;2022-03-31;1;269122;Rua Monte Aprazível,109 Vila Nova Conceição;34;1;Apartamento residencial para venda;0.0012;Venda
24.796.967/0001-90;2022-03-31;1;269123;Rua Monte Aprazível,109 Vila Nova Conceição;34.77;1;Apartamento residencial para venda;0.0013;Venda
24.796.967/0001-90;2022-03-31;1;269125;Rua Monte Aprazível,109 Vila Nova Conceição;37;1;Apartamento residencial para venda;0.0013;Venda
24.796.967/0001-90;2022-03-31;1;269133;Rua Monte Aprazível, 109 Vila Nova Conceição;37;1;Apartamento residencial para venda;0.0016;Venda
24.796.967/0001-90;2022-03-31;1;274575;Rua Diogo Jacome,1046 Moema Pássaros;141.96;1;Apartamento residencial para venda;0.0038;Venda
