CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
00.332.266/0001-31;2022-03-31;1;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.
00.332.266/0001-31;2022-06-30;1;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.
00.332.266/0001-31;2022-09-30;1;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.
00.332.266/0001-31;2022-12-31;1;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.
00.762.723/0001-28;2022-03-31;1;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M., IGP-DI e IPCA.
00.762.723/0001-28;2022-06-30;1;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M., IGP-DI e IPCA.
00.762.723/0001-28;2022-09-30;1;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M., IGP-DI e IPCA.
00.762.723/0001-28;2022-12-31;1;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M., IGP-DI e IPCA.
00.868.235/0001-08;2022-03-31;1;Hotel;Contrato de arrendamento com a Accor
00.868.235/0001-08;2022-03-31;1;ABS;Contratos majoritariamente corrigidos pelo IGP-M e com prazo de 5 anos
00.868.235/0001-08;2022-06-30;1;Hotel;Contrato de arrendamento com a Accor
