CNPJ_Fundo_Classe;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2022-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;132125.9615;6896746.99
00.332.266/0001-31;2022-03-31;1;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;600262.18
00.332.266/0001-31;2022-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;138135.97038;7416652.98
00.332.266/0001-31;2022-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;8048.07449;432108.85
00.332.266/0001-31;2022-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;7146.21327;396318.81
00.332.266/0001-31;2022-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;159186.8612;8828276.77
00.332.266/0001-31;2022-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;31813.57203;1820299.19
00.332.266/0001-31;2022-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;161930.32079;9265279.38
00.762.723/0001-28;2022-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;131822.45;6880904.22
00.762.723/0001-28;2022-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;92270.08;4954069.59
00.762.723/0001-28;2022-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;47249.84;2620408.94
00.762.723/0001-28;2022-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;13475.11;771014.46
00.868.235/0001-08;2022-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;3467.97;181021.94
00.868.235/0001-08;2022-03-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.37;792.38
00.868.235/0001-08;2022-06-30;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.37;807.48
00.868.235/0001-08;2022-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;12199.83;655020.7
00.868.235/0001-08;2022-09-30;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.37;831.36
00.868.235/0001-08;2022-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;19397.96;1071346.31
00.868.235/0001-08;2022-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;18056.8;1033168.34
00.868.235/0001-08;2022-12-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.37;847.76
01.201.140/0001-90;2022-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;378988.17;19782527.83
01.201.140/0001-90;2022-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;356343.73;19132437.27
01.201.140/0001-90;2022-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;322130.41148;17864894.18
01.201.140/0001-90;2022-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;73558.12;4208825.81
01.235.622/0001-61;2022-03-31;3;Outras Cotas de FI;OPPORTUNITY LEBLON FI RF REFERENCIADO DI;10309574000108;;;;;;6305931.9808;19921453.56
01.235.622/0001-61;2022-03-31;3;Outros Ativos Financeiros;ARETÊ - BÚZIOS - BR MARINAS;26700017000145;;;;SPE;;1200;1200000
01.235.622/0001-61;2022-03-31;3;Outras Cotas de FI;FICFI ITAU TOP RENDA FIXA REFERENCIADO DI;5902521000158;;;;;;8175321.6117;43021181.25
01.235.622/0001-61;2022-03-31;3;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;56338.216267;123403.17
01.235.622/0001-61;2022-03-31;3;FII;BRIX Fundo de investimento Imobiliário;35360651000177;;;;;;12270.783656;11142491.43
01.235.622/0001-61;2022-03-31;3;Cotas de Sociedades;Taquari - Brasília;01235622000161;;;;;;82945;127990391.53
01.235.622/0001-61;2022-03-31;3;Cotas de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;25776422;720921.1
01.235.622/0001-61;2022-03-31;3;Cotas de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;85253630.6
01.235.622/0001-61;2022-03-31;3;Cotas de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1174819.48
01.235.622/0001-61;2022-03-31;3;Cotas de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;60813174;39507681.88
01.235.622/0001-61;2022-03-31;3;CRI;RB SEC COMPANHIA DE SECURITIZACAO - CRI_18L1368427_CCI;2773542000122;1;201;;;;1;133695234.12
01.235.622/0001-61;2022-03-31;3;CRI;RB SEC COMPANHIA DE SECURITIZACAO- CRI_18L1368412;2773542000122;1;200;;;;429;42546959.42
01.235.622/0001-61;2022-03-31;3;CRI;RB SEC COMPANHIA DE SECURITIZACAO - CRI_18L1368412;2773542000122;1;200;;;;461;45720624.34
01.235.622/0001-61;2022-03-31;3;FII;Dovel Fundo de Investimento Imobiliário;10522648000181;;;;;;51792;57977871.76
01.235.622/0001-61;2022-03-31;3;CRI;RB SEC COMPANHIA DE SECURITIZACAO - - CRI_18L1368427;2773542000122;1;201;;;;34;2921042.13
01.235.622/0001-61;2022-03-31;3;CRI;RB SEC COMPANHIA DE SECURITIZACAO - - CRI_18L1368427;2773542000122;1;201;;;;36;3092868.14
01.235.622/0001-61;2022-06-30;2;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;67369.668658;151821.99
01.235.622/0001-61;2022-06-30;2;Outras Cotas de FI;OPPORTUNITY LEBLON FI RF REFERENCIADO DI;10309574000108;;;;;;1009048.64644601;3265356.67
01.235.622/0001-61;2022-06-30;2;FII;BRIX Fundo de investimento Imobiliário - MEZANINO;35360651000177;;;;;;10000;10741720.91
01.235.622/0001-61;2022-06-30;2;FII;Dovel Fundo de Investimento Imobiliário;10522648000181;;;;;;55920.00743262;67462992.65
01.235.622/0001-61;2022-06-30;2;Ações de Sociedades;Taquari - Brasília;1235622000161;;;;;;82945;128047094.78
01.235.622/0001-61;2022-06-30;2;Ações de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1226671.84
01.235.622/0001-61;2022-06-30;2;Outras Cotas de FI;FICFI ITAU TOP RENDA FIXA REFERENCIADO DI;5902521000158;;;;;;8548649.21414;46354099.96
01.235.622/0001-61;2022-06-30;2;Ações de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;284601252;1122464.28
01.235.622/0001-61;2022-06-30;2;Ações de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;79826574.65
01.235.622/0001-61;2022-06-30;2;Ações de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;60813174;39300892.27
01.235.622/0001-61;2022-06-30;2;FII;BRIX Fundo de investimento Imobiliário;35360651000177;;;;;;6026.72926207;2542107.98
01.235.622/0001-61;2022-06-30;2;FII;FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO;17007528000195;;;;;;8000;14139745.12
01.235.622/0001-61;2022-06-30;2;FII;BRIX Fundo de investimento Imobiliário - SÊNIOR;35360651000177;;;;;;8334.26058682;10380689.61
01.235.622/0001-61;2022-06-30;2;FII;OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMOBILIARIO;42273290000197;;;;;;34080.59197565;30855094.85
01.235.622/0001-61;2022-06-30;2;CRI;RB SEC COMPANHIA DE SECURITIZACAO- CRI_18L1368412;2773542000122;1;200;;;;429;42462302.68
