CNPJ_Fundo_Classe;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2022-03-31;1;0;0;0;0;0;0;0;0;0;0;9940422.09;11728532.58;-95907.24;-95907.24;0;0;0;0;0;0;-4036574.08;-4036574.08;5807940.77;7596051.26;0;0;0;0;0;0;0;0;0;0;5807940.77;7596051.26;174338.92;174338.92;0;0;0;0;0;0;174338.92;174338.92;;;-284848.12;-284946;0;0;-36000;0;0;0;0;0;0;0;0;-66300;0;0;-21190.36;-21190.36;0;0;-23437.95;-23437.95;0;0;-6168.75;-6168.75;0;0;-409.94;-409.94;-10830.87;-10830.87;-382885.99;-413283.87;5599393.7;7357106.31;7357106.31;6989250.9945;;;7224384.4245;-4928262.24;2296122.1845;0.98196
00.332.266/0001-31;2022-06-30;1;0;0;0;0;0;0;0;0;0;0;12080592.65;11451187.87;-687500;-687500;0;0;0;0;0;0;-4391432.1;-4391432.1;7001660.55;6372255.77;0;0;0;0;0;0;0;0;0;0;7001660.55;6372255.77;188929.89;188929.89;0;0;0;0;0;0;188929.89;188929.89;;;-284848.12;-294745.82;0;0;-36000;0;0;0;0;0;0;0;0;0;0;0;-66906.15;-66906.15;0;0;-30603.4;-30603.4;0;0;0;0;0;0;-221.73;-221.73;-18297.53;-18297.53;-436876.93;-410774.63;6753713.51;6150411.03;13507517.34;12832141.473;;;13384712.223;-11284600.47;2100111.753;0.990908
00.332.266/0001-31;2022-09-30;1;0;0;0;0;0;0;0;0;0;0;12429331.92;12959340.86;-815574.37;-815574.37;0;0;0;0;0;0;-5526545.94;-5033960.1;6087211.61;7109806.39;0;0;0;0;0;0;0;0;0;0;6087211.61;7109806.39;208464.07;208464.07;0;0;0;0;0;0;208464.07;208464.07;;;-315338.89;-295250.14;0;0;-36000;0;0;0;0;0;0;0;0;0;0;0;-34329;-34329;0;0;-32329.28;-32329.28;0;0;-13700;-13700;0;0;-1386.3;-1386.3;-7430.48;-7430.48;-440513.95;-384425.2;5855161.73;6933845.26;6933845.2;6587152.94;;;6132326.25;-3472184.7;2660141.55;0.884405
00.332.266/0001-31;2022-12-31;1;0;0;0;0;0;0;0;0;0;0;16624098.44;13239219.39;-3273407.89;-3273407.89;0;0;0;0;-19397309.29;0;-3851754.83;-3112876.07;-9898373.57;6852935.43;0;0;0;0;0;0;0;0;0;0;-9898373.57;6852935.43;238864.92;238864.92;0;0;0;0;0;0;238864.92;238864.92;;;-315338.9;-315762.46;0;0;-36000;0;0;0;0;0;0;0;-72267;0;0;0;-84328.78;-84328.78;0;0;-32626.84;-32626.84;0;0;0;0;0;0;0;-4047.42;76576.59;-15644.88;-463984.93;-452410.38;-10123493.58;6639389.97;13573235.23;12894573.4685;;0;12894573.4685;-9233315.49;3661257.9785;0.95
00.613.094/0001-74;2022-03-31;1;;;;;;;-134761.9;-134761.9;-134761.9;-134761.9;0;0;-302455.44;-302455.44;0;0;-418184.62;-418184.62;0;0;30760.16;30760.16;-689879.9;-689879.9;;;;;;;;;0;0;-824641.8;-824641.8;;;;;;;;;0;0;;;0;;0;;0;;0;;0;;-8963.91;-8963.91;-30087.56;-30087.56;0;0;0;0;0;;0;0;0;;0;;0;;0;;-92310.88;-92310.88;-131362.35;-131362.35;-956004.15;-956004.15;-956004.15;0;;;0;0;0;0
00.613.094/0001-74;2022-06-30;1;;;;;;;-201629.94;-201629.94;-201629.94;-201629.94;0;0;-306994.97;-306994.97;0;0;-636594.03;-636594.03;0;0;13875.79;13875.79;-929713.21;-929713.21;;;;;;;;;0;0;-1131343.15;-1131343.15;;;;;;;;;0;0;;;0;;0;;0;;0;;0;;-25919.65;-25919.65;-18052.56;-18052.56;0;0;0;0;0;;0;0;0;;0;;0;;0;;-34454.78;-34454.78;-78426.99;-78426.99;-1209770.14;-1209770.14;-2165774.29;0;;;0;0;0;0
00.613.094/0001-74;2022-09-30;1;;;;;;;-201629.94;-201629.94;-201629.94;-201629.94;0;0;-197000.01;-197000.01;0;0;-636594.03;-636594.03;0;0;-2941.81;-2941.81;-836535.85;-836535.85;;;;;;;;;0;0;-1038165.79;-1038165.79;;;;;;;;;0;0;;;0;;0;;0;;0;;0;;-26271.25;-26271.25;0;0;0;0;-3871.4;-3871.4;0;;0;0;0;;0;;0;;0;;33119.44;33119.44;2976.79;2976.79;-1035189;-1035189;-3200963.29;0;;;0;0;0;0
00.613.094/0001-74;2022-12-31;1;;;;;;;-134419.96;-134419.96;-134419.96;-134419.96;;;-160968.72;-160968.72;;;-424396.02;-424396.02;;;2592.97;2592.97;-582771.77;-582771.77;;;;;;;;;0;0;-717191.73;-717191.73;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10314.75;-10314.75;-10314.75;-10314.75;-727506.48;-727506.48;-1771035.6;0;;;0;0;0;0
00.762.723/0001-28;2022-03-31;1;0;0;0;0;0;0;0;0;0;0;75615.49;75615.49;-94832.26;-94832.26;0;0;0;0;0;0;-1122858.41;-709274.31;-1142075.18;-728491.08;0;0;0;0;0;0;0;0;0;0;-1142075.18;-728491.08;171665.04;171665.04;0;0;0;0;0;0;171665.04;171665.04;;;-132812.46;-132826.79;0;0;0;0;0;0;0;0;0;0;0;-13177.83;0;0;0;0;0;0;-9299.93;-9299.93;0;0;0;0;0;0;0;0;-6486.6;-6486.6;-148598.99;-161791.15;-1119009.13;-718617.19;-718617.19;0;;0;0;0;0;0
00.762.723/0001-28;2022-06-30;1;0;0;0;0;0;0;0;0;0;0;62195.43;62195.1;-271982.91;-271982.91;0;0;0;0;0;0;-1101918.72;-1647870.17;-1311706.2;-1857657.98;0;0;0;0;0;0;0;0;0;0;-1311706.2;-1857657.98;168733.79;168733.79;0;0;0;0;0;0;168733.79;168733.79;;;-132812.46;-137196.99;0;0;0;0;0;0;0;0;0;0;0;-4392.64;0;0;-10119.3;-10119.3;0;0;-8237.89;-8237.89;0;0;0;0;0;0;-208.35;-208.35;-18728.71;-18728.71;-170106.71;-178883.88;-1313079.12;-1867808.07;-2586425.26;0;;0;0;0;0;0
