CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
28.893.734/0001-66;2022-12-30;1;RV3_2;Avenida Coronel Teixeira, 5513;2022-12-27;126.64;1;Nenhuma característica relevante;0.001028;0.002946
28.893.734/0001-66;2022-12-30;1;RV4_1;Avenida Coronel Teixeira, 5513;2022-12-23;126.64;1;Nenhuma característica relevante;0.001029;0.002947
28.893.734/0001-66;2022-12-30;1;RV4_1102;Avenida Coronel Teixeira, 5513;2022-11-03;126.64;1;Nenhuma característica relevante;0.001153;0.003287
28.893.734/0001-66;2022-12-30;1;LU1_301;Rua Salgueiro, 379;2022-11-09;353.72;1;Nenhuma característica relevante.;0.003938;0.011237
28.893.734/0001-66;2022-12-30;1;LU1_602;Rua Salgueiro, 379;2022-12-21;353.72;1;Nenhuma característica relevante.;0.003733;0.01068
28.893.734/0001-66;2022-12-30;1;LU3_1704;Rua Salgueiro, 379;2022-12-28;265.53;1;Nenhuma característica relevante.;0.003162;0.009064
28.893.734/0001-66;2022-12-30;1;PL1_2003;Rua Embira, 149;2022-12-22;225.20;1;Nenhuma característica relevante.;0.002512;0.007197
28.893.734/0001-66;2022-12-30;1;PL3_2802;Rua Embira, 149;2022-12-14;399.86;1;Nenhuma característica relevante.;0.003958;0.011314
28.893.734/0001-66;2022-12-30;1;PL3_602;Rua Embira, 149;2022-12-22;225.20;1;Nenhuma característica relevante.;0.002512;0.007197
28.893.734/0001-66;2022-12-30;1;PL4_2801;Rua Embira, 149;2022-12-08;399.86;1;Nenhuma característica relevante.;0.004678;0.013369
28.893.734/0001-66;2022-12-30;1;PL4_2802;Rua Embira, 149;2022-11-28;399.86;1;Nenhuma característica relevante.;0.003963;0.011314
28.893.734/0001-66;2022-12-30;1;BEL_R64;Avenida Chácara das Nascentes, S/N;2022-12-12;78.13;1;Nenhuma característica relevante.;0.000972;0.002777
28.893.734/0001-66;2022-12-30;1;IT_1141;Estrada União e Indústria, 10396;2022-12-15;69.89;1;Nenhuma característica relevante;0.001181;0.003375
28.893.734/0001-66;2022-12-30;1;IT_3065;Estrada União e Indústria, 10396;2022-11-30;114.98;1;Nenhuma característica relevante;0.001834;0.005232
28.893.734/0001-66;2022-12-30;1;ST1_1302;Rua Henrique Scheid, 21;2022-10-19;77.38;1;Nenhuma característica relevante;0.001436;0.004096
29.641.226/0001-53;2022-03-31;1;Pernambucanas Batatais;R. Coronel Joaquim Rosa, 29 e 35, Batatais, SP;2022-01-21;727.18;1;-;0.002244;0.002334
29.641.226/0001-53;2022-06-30;1;Pernambucanas Lorena;R. Dr. Rodrigues De Azevedo, 139/145, Lorena, SP;2022-04-27;1271.43;1;-;0.00176;0.001852
29.641.226/0001-53;2022-06-30;1;Pernambucanas Caçador;Av. Barão Do Rio Branco, 484, Caçador, SC;2022-04-29;1043;1;-;0.001717;0.001806
29.641.226/0001-53;2022-06-30;1;Pernambucanas São Sebastião do Paraíso;Praça Comendador José Honório, 207, São Sebastião do Paraíso, MG;2022-05-06;1070.82;1;-;0.002659;0.002721
