CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2022-03-31;1;Via Parque Shopping;Comércio;0.63871;0.626801
00.332.266/0001-31;2022-03-31;1;Via Parque Shopping;Serviço;0.36129;0.354554
00.332.266/0001-31;2022-06-30;1;Via Parque Shopping;Serviço;0.406761;0.39879
00.332.266/0001-31;2022-06-30;1;Via Parque Shopping;Comércio;0.593239;0.581615
00.332.266/0001-31;2022-09-30;1;Via Parque Shopping;Comércio;0.579901;0.570128
00.332.266/0001-31;2022-09-30;1;Via Parque Shopping;Serviço;0.420099;0.413019
00.332.266/0001-31;2022-12-31;1;Via Parque Shopping;Serviço;0.457678;0.450983
00.332.266/0001-31;2022-12-31;1;Via Parque Shopping;Comércio;0.542322;0.534389
00.762.723/0001-28;2022-03-31;1;CTI;Serviço;0.639206;0.198396
00.762.723/0001-28;2022-03-31;1;CTI;Comércio;0.360794;0.111983
00.762.723/0001-28;2022-06-30;1;CTI;Serviço;0.629609;0.195417
00.762.723/0001-28;2022-06-30;1;CTI;Comércio;0.370391;0.114961
00.762.723/0001-28;2022-09-30;1;CTI;Serviço;0.790747;0.241343
00.762.723/0001-28;2022-09-30;1;CTI;Comércio;0.209253;0.063866
00.762.723/0001-28;2022-12-31;1;CTI;Serviço;0.670412;0.398736
00.762.723/0001-28;2022-12-31;1;CTI;Comércio;0.329588;0.196027
00.868.235/0001-08;2022-03-31;1;Hotel;Serviço;1;0.031506
00.868.235/0001-08;2022-03-31;1;Medcenter;Serviço;0.930607;0.934912
00.868.235/0001-08;2022-03-31;1;Medcenter;Comércio;0.066433;0.060318
00.868.235/0001-08;2022-06-30;1;Medcenter;Comércio;0.061058;0.059574
00.868.235/0001-08;2022-06-30;1;Medcenter;Serviço;0.86512;0.844101
00.868.235/0001-08;2022-06-30;1;Hotel;Serviço;1;0.072028
00.868.235/0001-08;2022-09-30;1;Hotel;Serviço;1;0.048415
00.868.235/0001-08;2022-09-30;1;Medcenter;Serviço;0.895106;0.857043
00.868.235/0001-08;2022-09-30;1;Medcenter;Comércio;0.054329;0.052018
00.868.235/0001-08;2022-12-31;1;Hotel;Serviço;1;0.059875
00.868.235/0001-08;2022-12-31;1;Medcenter;Serviço;0.869878;0.825302
00.868.235/0001-08;2022-12-31;1;Medcenter;Comércio;0.067013;0.063579
01.201.140/0001-90;2022-03-31;1;Grand Plaza Shopping;Comércio;0.847194;0.834414
01.201.140/0001-90;2022-03-31;1;Grand Plaza Shopping;Serviço;0.152806;0.150511
01.201.140/0001-90;2022-06-30;1;Grand Plaza Shopping;Comércio;0.800953;0.782927
01.201.140/0001-90;2022-06-30;1;Grand Plaza Shopping;Serviço;0.199047;0.194568
01.201.140/0001-90;2022-09-30;1;Grand Plaza Shopping;Serviço;0.195999;0.190923
01.201.140/0001-90;2022-09-30;1;Grand Plaza Shopping;Comércio;0.804001;0.783177
01.201.140/0001-90;2022-12-31;1;Grand Plaza Shopping;Comércio;0.790909;0.771333
01.201.140/0001-90;2022-12-31;1;Grand Plaza Shopping;Serviço;0.209091;0.203916
01.235.622/0001-61;2022-03-31;3;Rio Branco 45;DISPONÍVEL;0;0
01.235.622/0001-61;2022-03-31;3;Primeiro de Março;DISPONÍVEL;0;0
01.235.622/0001-61;2022-03-31;3;Presidente Antonio Carlos;FINANCEIRO;1;0.011861
01.235.622/0001-61;2022-03-31;3;Marechal Camara;TI;1;0.027097
01.235.622/0001-61;2022-03-31;3;Largo de Santa Rita;SELF STORE;0;0
01.235.622/0001-61;2022-03-31;3;Ícono Parque;COMERCIO;1;0.003982
01.235.622/0001-61;2022-03-31;3;Golden Corporate;SEGUROS;0.527472;0.027135
01.235.622/0001-61;2022-03-31;3;Golden Corporate;ENGENHARIA;0.472528;0.024308
01.235.622/0001-61;2022-03-31;3;Dom Gerado 46;LOGÍSTICA;1;0.015275
01.235.622/0001-61;2022-03-31;3;Conde de Bonfim,149;DISPONÍVEL;0;0
01.235.622/0001-61;2022-03-31;3;Citta Office;MIDIA;1;0.132865
01.235.622/0001-61;2022-03-31;3;Citta America;ENSINO;0.006206;0.000316
01.235.622/0001-61;2022-03-31;3;Citta America;COMERCIO;0.045208;0.002301
01.235.622/0001-61;2022-03-31;3;AV. Brasil, 20384;DISPONÍVEL;0;0
01.235.622/0001-61;2022-03-31;3;Citta America;ACADEMIA;0.948586;0.048277
01.235.622/0001-61;2022-03-31;3;CESBOM;ENSINO;1;0.112075
01.235.622/0001-61;2022-03-31;3;Carioca;FINANCEIRO;0.99083;0.041819
01.235.622/0001-61;2022-03-31;3;Carioca;COMERCIO;0.00917;0.000387
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;TI;0.380837;0.033055
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;TELECOMUNICAÇÃO;0.052373;0.004546
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;LOGISTICA;0.156323;0.013568
01.235.622/0001-61;2022-03-31;3;Av. Mem de Sá;DISPONÍVEL;0;0
01.235.622/0001-61;2022-03-31;3;Barão de Mesquita;ENSINO;1;0.032717
01.235.622/0001-61;2022-03-31;3;Metropolitan;HOSPITALAR;1;0.200826
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;FINANCEIRO;0.079719;0.006919
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;ENGENHARIA;0.050856;0.004414
01.235.622/0001-61;2022-03-31;3;Visconde de Inhauma;HOTELARIA;0;0
01.235.622/0001-61;2022-03-31;3;Uruguaiana, 78;COMERCIO;0;0
01.235.622/0001-61;2022-03-31;3;Uruguaiana, 76;COMERCIO;0;0
01.235.622/0001-61;2022-03-31;3;Orbit;ESTACIONAMENTO;1;0.007145
01.235.622/0001-61;2022-03-31;3;Dom Gerardo 40/42;MIDIA;1;0.027822
01.235.622/0001-61;2022-03-31;3;São Pedro da Aldeia;ÁGUA E ESGOTO;1;0.022117
01.235.622/0001-61;2022-03-31;3;Esquina 98;DISPONÍVEL;0;0
01.235.622/0001-61;2022-03-31;3;Rainha Guilhermina;FINANCEIRO;0.79672;0.03512
01.235.622/0001-61;2022-03-31;3;Travessa do Ouvidor;DISPONÍVEL;0;0
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;CONTABILIDADE;0.104397;0.009061
01.235.622/0001-61;2022-03-31;3;Teofilo Otoni 24;DISPONÍVEL;0;0
01.235.622/0001-61;2022-03-31;3;Sete de Setembro;COMERCIO;1;0.000164
01.235.622/0001-61;2022-03-31;3;Senhor dos Passos 107;COMERCIO;0;0
01.235.622/0001-61;2022-03-31;3;Rainha Guilhermina;ADVOCACIA;0.20328;0.008961
01.235.622/0001-61;2022-03-31;3;Touch;HOSPITALAR;1;0.002519
01.235.622/0001-61;2022-03-31;3;Itumbiara - Fase 1;ENSINO;1;0.060921
01.235.622/0001-61;2022-03-31;3;Itabira;ENSINO;1;0.067193
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;COMÉRCIO;0.038051;0.003303
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;CONSULTORIA;0.00031;2.7E-05
01.235.622/0001-61;2022-03-31;3;Cardeal Leme;ADVOCACIA;0.137134;0.011903
01.235.622/0001-61;2022-06-30;2;Dom Gerardo 40/42;MIDIA;1;0.027822
01.235.622/0001-61;2022-06-30;2;Orbit;ESTACIONAMENTO;1;0.007145
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;TI;0.380837;0.033055
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;TELECOMUNICAÇÃO;0.052373;0.004546
01.235.622/0001-61;2022-06-30;2;Metropolitan;HOSPITALAR;1;0.200826
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;LOGISTICA;0.156323;0.013568
01.235.622/0001-61;2022-06-30;2;Itabira;ENSINO;1;0.067193
01.235.622/0001-61;2022-06-30;2;Carioca;COMERCIO;0.00917;0.000387
01.235.622/0001-61;2022-06-30;2;Itumbiara - Fase 1;ENSINO;1;0.060921
01.235.622/0001-61;2022-06-30;2;AV. Brasil, 20384;DISPONÍVEL;0;0
01.235.622/0001-61;2022-06-30;2;Av. Mem de Sá;DISPONÍVEL;0;0
01.235.622/0001-61;2022-06-30;2;Barão de Mesquita;ENSINO;1;0.032717
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;ADVOCACIA;0.137134;0.011903
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;COMÉRCIO;0.038051;0.003303
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;FINANCEIRO;0.079719;0.006919
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;ENGENHARIA;0.050856;0.004414
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;CONSULTORIA;0.00031;2.7E-05
01.235.622/0001-61;2022-06-30;2;Touch;HOSPITALAR;1;0.002519
01.235.622/0001-61;2022-06-30;2;Cardeal Leme;CONTABILIDADE;0.104397;0.009061
01.235.622/0001-61;2022-06-30;2;Visconde de Inhauma;HOTELARIA;0;0
01.235.622/0001-61;2022-06-30;2;São Pedro da Aldeia;ÁGUA E ESGOTO;1;0.022117
01.235.622/0001-61;2022-06-30;2;Esquina 98;DISPONÍVEL;0;0
01.235.622/0001-61;2022-06-30;2;Travessa do Ouvidor;DISPONÍVEL;0;0
01.235.622/0001-61;2022-06-30;2;Teofilo Otoni 24;DISPONÍVEL;0;0
01.235.622/0001-61;2022-06-30;2;Sete de Setembro;COMERCIO;1;0.000164
01.235.622/0001-61;2022-06-30;2;Senhor dos Passos 107;COMERCIO;0;0
01.235.622/0001-61;2022-06-30;2;Rio Branco 45;DISPONÍVEL;0;0
01.235.622/0001-61;2022-06-30;2;Primeiro de Março;DISPONÍVEL;0;0
01.235.622/0001-61;2022-06-30;2;Presidente Antonio Carlos;FINANCEIRO;1;0.011861
01.235.622/0001-61;2022-06-30;2;Marechal Camara;TI;1;0.027097
01.235.622/0001-61;2022-06-30;2;Largo de Santa Rita;SELF STORE;0;0
01.235.622/0001-61;2022-06-30;2;Ícono Parque;COMERCIO;1;0.003982
01.235.622/0001-61;2022-06-30;2;Golden Corporate;SEGUROS;0.527472;0.027135
01.235.622/0001-61;2022-06-30;2;Golden Corporate;ENGENHARIA;0.472528;0.024308
01.235.622/0001-61;2022-06-30;2;Dom Gerado 46;LOGÍSTICA;1;0.015275
01.235.622/0001-61;2022-06-30;2;Conde de Bonfim,149;DISPONÍVEL;0;0
01.235.622/0001-61;2022-06-30;2;Citta Office;MIDIA;1;0.132865
01.235.622/0001-61;2022-06-30;2;Citta America;ENSINO;0.006206;0.000316
01.235.622/0001-61;2022-06-30;2;Citta America;COMERCIO;0.045208;0.002301
01.235.622/0001-61;2022-06-30;2;Uruguaiana, 76;COMERCIO;0;0
01.235.622/0001-61;2022-06-30;2;Uruguaiana, 78;COMERCIO;0;0
01.235.622/0001-61;2022-06-30;2;Citta America;ACADEMIA;0.948586;0.048277
01.235.622/0001-61;2022-06-30;2;CESBOM;ENSINO;1;0.112075
01.235.622/0001-61;2022-06-30;2;Carioca;FINANCEIRO;0.99083;0.041819
01.235.622/0001-61;2022-06-30;2;Rainha Guilhermina;FINANCEIRO;0.79672;0.03512
01.235.622/0001-61;2022-06-30;2;Rainha Guilhermina;ADVOCACIA;0.20328;0.008961
01.235.622/0001-61;2022-09-30;2;Citta America;COMERCIO;0.013425;0.002736
01.235.622/0001-61;2022-09-30;2;Citta America;ACADEMIA;0.986575;0.20108
01.235.622/0001-61;2022-09-30;2;CESBOM;ENSINO;1;0.119818
01.235.622/0001-61;2022-09-30;2;Barão de Mesquita;ENSINO;1;0.036188
01.235.622/0001-61;2022-09-30;2;Av Mem de Sá;DISPONÍVEL;0;0
01.235.622/0001-61;2022-09-30;2;Cardeal Leme;COMÉRCIO;0.078953;0.006638
01.235.622/0001-61;2022-09-30;2;Cardeal Leme;CONSULTORIA;0.000636;5.3E-05
01.235.622/0001-61;2022-09-30;2;Cardeal Leme;CONTABILIDADE;0.12725;0.010698
01.235.622/0001-61;2022-09-30;2;Cardeal Leme;ENGENHARIA;0.05256;0.004419
01.235.622/0001-61;2022-09-30;2;Cardeal Leme;FINANCEIRO;0.087328;0.007342
01.235.622/0001-61;2022-09-30;2;Carioca;FINANCEIRO;1;0.041673
01.235.622/0001-61;2022-09-30;2;Carioca;COMERCIO;0;0
