CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;316253;Nenhuma característica relevante;0.05605;0.0281
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;321396;Nenhuma característica relevante;0.003386;0.001698
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;320983;Nenhuma característica relevante;0.056962;0.028557
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;304054;Nenhuma característica relevante;0.053888;0.027016
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;303394;Nenhuma característica relevante;0.053771;0.026957
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;377688;Nenhuma característica relevante;0.069849;0.035017
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;369032;Nenhuma característica relevante;0.068248;0.034215
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;355652;Nenhuma característica relevante;0.065773;0.032974
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;337423;Nenhuma característica relevante;0.062402;0.031284
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;314941;Nenhuma característica relevante;0.058244;0.0292
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;335028;Nenhuma característica relevante;0.061959;0.031062
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;327537;Nenhuma característica relevante;0.05805;0.029102
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;321315;Nenhuma característica relevante;0.056947;0.02855
34.693.040/0001-88;2022-03-31;1;Itatiba-SP;2.85138e+007;Nenhuma característica relevante;0.085441;0.042834
34.693.040/0001-88;2022-03-31;1;Itatiba-SP;4.99169e+006;Nenhuma característica relevante;0.014949;0.007494
36.200.654/0001-06;2022-09-30;1;Estrada Municipal Vargem do João Pinto - Bairro Ponte Nova - MG;270129;Terreno localizado no município de Extrema - MG.;0;0
36.312.025/0001-78;2022-09-30;1;Rua Visconde de Pirajá, n.º 616 - Ipanema - Rio de Janeiro - RJ.;895.65;Matrícula nº 49.995. Térreo - Salão, 1º Andar - Sala de Maquinas, Salão e 2 Banheiros, 2º Andar - Sala de Máquinas, Cozinha, 2 Banheiros, Sala de Reunião, Área de Serviço, Hall, Estoque, Expedição.;0;0
36.885.948/0001-19;2022-12-31;1;Um lote de terras de nº 13, da quadra "B5";360;Matrícula 50.492;1;
36.885.948/0001-19;2022-12-31;1;Avenida Marginal Leste, Goiânia;330;Lote de terreno urbano de número 09, da Quadra 04 (ZM-BD);1;
36.885.948/0001-19;2022-12-31;1;Avenida Marginal Leste, Goiânia;347.52;Lote de terreno urbano de número 10, da Quadra 04(ZM-BD);1;
36.885.948/0001-19;2022-12-31;1;Avenida Marginal Leste, Goiânia;319.57;Lote de terreno urbano de número 11, da Quadra 04(ZM-BD);1;
36.885.989/0001-05;2022-09-30;1;Avenida Alphaville Flamboyant;9876.24;fração ideal de 1,9250% do lote de terras de nº 01, da quadra "A4;1;1
36.885.989/0001-05;2022-12-31;1;Avenida das Palmeiras, s/n, em Brasília-DF lote 34;720;matrícula nº 155.412.;1;
36.885.989/0001-05;2022-12-31;1;Avenida das Palmeiras, s/n, em Brasília-DF lote 11;720;matrícula nº 155.412.;1;
36.885.989/0001-05;2022-12-31;1;Avenida das Palmeiras, s/n, em Brasília-DF lote 33;720;matrícula nº 155.412.;1;
36.885.989/0001-05;2022-12-31;1;Avenida das Palmeiras, s/n, em Brasília-DF lote 12;720;matrícula nº 155.412.;1;
38.456.598/0001-09;2022-03-31;2;Rua Antônio Corrêa de Almeida, 852, Presidente Prudente - SP, 19067-180;1;Matrícula 6.593. TR CEDRAL;0;0.00219279321389239
40.886.241/0001-02;2022-09-30;1;Avenida Sargento Hermínio, Ceara;4279.68;Matrícula nº 86.803, Livro 2 - 3º Ofício de Registro de Imóveis da Comarca de Fortaleza - CE.;0;0
41.650.310/0001-39;2022-12-31;1;Rua Amparo do Itororó, bairro Alvorada,Manaus, Amazonas.;;Rua Amparo do Itororó, bairro Alvorada,Manaus, Amazonas.;1;
41.650.310/0001-39;2022-12-31;1;Avenida Francisco Queiroz, nº 1.025, Colônia Santo Antônio, Manaus, Amazonas.;;Avenida Francisco Queiroz, nº 1.025, Colônia Santo Antônio, Manaus, Amazonas.;1;
41.650.310/0001-39;2022-12-31;1;Estrada da Compensa, bairro São Raimundo, Manaus, Amazonas.;;Estrada da Compensa, bairro São Raimundo, Manaus, Amazonas.;1;
41.650.310/0001-39;2022-12-31;1;Rua Moacir Baima, nº 407, Parque 10 de novembro, Manaus, Amazonas.;;Rua Moacir Baima, nº 407, Parque 10 de novembro, Manaus, Amazonas.;1;
41.673.349/0001-71;2022-06-30;1;Estrada das Lavras, 20 - Distrito da Sede;80858;TER QUINHAI 2B - MT54129;0.21;0.3057
41.673.349/0001-71;2022-06-30;1;Estrada das Lavras, 0 - Distrito da Sede;114171;TER S.N.S NAZARETH - MT67417;0.21;0.2612
41.978.140/0001-16;2022-12-31;3;Esquina das Ruas Luiz Otavio, nº 2191 e Hermantino Coelho nº 110 -  Campinas - SP;6639.77;Direito de superficie Mansões Campinas;0;0.361441
41.978.140/0001-16;2022-12-31;3;Av. Heraclito Fontoura Sobral Pinto nº350;24717.4;Direito de superficie Ribeirão Preto - Mat. 134.893;0;0.340376
42.273.290/0001-97;2022-06-30;3;Avenida Macaranã, nº 1273, Freguesia do Engenho Velho - Rio de Janeiro - RJ;941.41;Dona Delfina;0.140146;0.123394
42.273.290/0001-97;2022-06-30;3;Rua Visconde de Pirajá 141, Ipanema - RJ;4905;Visconde de piraja;0.859854;0.75707
42.273.290/0001-97;2022-12-31;1;Rua Prudente de Morais, 281 e 291;800;Rua Prudente de Morais n°s 281/291;0.626007;0.540673
42.463.823/0001-01;2022-03-31;1;FAZENDA BOA VISTA E PASTO OU RETIRO DO TAQUARIL, Contagem, Estado de Minas Gerais;136910;Imóvel rural Matrícula nº 172.103, aberta em 19/05/2021, no Livro 2 Registro Geral, no Ofício do Registro de Imóveis de Contagem, Minas Gerais;0.42;0.28
42.592.916/0001-28;2022-09-30;1;"Macacas";4489.79;Município de Altos, PA - matrícula nº 8.571;1;
42.592.916/0001-28;2022-09-30;1;"Macacos";1027.81;Município de Altos, PA - matrícula nº 20.081;1;
42.592.916/0001-28;2022-09-30;1;"Surubim";3977.5;Município de Altos, PA - matrícula nº 19.281;1;
44.002.561/0001-03;2022-12-31;1;Avenida Dom Antonio;18495;Municipio de Assis  SP;1;8.492
44.395.062/0001-15;2022-03-31;1;TERR JARDINS;762;lote_terreno;0.219602527917043;0.197884963260964
44.395.062/0001-15;2022-06-30;1;TERR JARDINS;762;lote_terreno;0.219602527917043;0.197884963260964
44.669.674/0001-59;2022-06-30;1;Loteamento H06 - Alphaville, Campinas;572.3;Matricula 106.246 e 106.247;0.618146;
44.669.674/0001-59;2022-06-30;1;Loteamento H07 - Alphaville, Campinas;621.67;Matricula 106.246 e 106.247;0.135392006357699;
44.669.674/0001-59;2022-06-30;1;Loteamento H08 - Alphaville, Campinas;564.18;Matricula 106.246 e 106.247;0.122871398281778;
44.669.674/0001-59;2022-06-30;1;Loteamento H09 - Alphaville, Campinas;567.48;Matricula 106.246 e 106.247;0.123590097393967;
