CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
01.235.622/0001-61;2017-09-29;2;São Pedro da Aldeia;Rodovia Ernani do Amaral Peixoto, km 107 - Município de São Pedro da Aldeia - Estado do Rio de Janeiro;19691.32;1;Locado para a Prolagos S.A. - Concessionária de Serviços Públicos de Água e Esgoto;0.0154519119351101;Renda
07.583.627/0001-61;2017-03-31;1;Não Aplicavel;Não Aplicavel;0;1;;0;Renda
07.583.627/0001-61;2017-06-30;1;Não Aplicavel;0;0;1;0;0;Renda
07.583.627/0001-61;2017-09-30;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
07.583.627/0001-61;2017-12-31;1;Não Aplicavel;Não Aplicavel;0;1;0;0;
08.431.747/0001-06;2017-03-31;1;Goiabeiras Shopping Center;Av. José Monteiro Figueiredo, 500 - Duque de Caxias, Cuiabá - MT;14821.87;210;-;0.0918336060181781;Renda
08.706.065/0001-69;2017-06-30;4;Gran Estanplaza SP (ap. 306);R. Arizona, 1517 - Cidade Monções, São Paulo - SP, 04567-010;30.5;1;Gran Estanplaza SP (ap. 306);0.0017;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1708); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;29.14;1;Estanplaza Funchal (ap. 1708);0.0012;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1706); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;29.14;1;Estanplaza Funchal (ap. 1706);0.0012;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1705); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 1705);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1210); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 1210);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1209); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 1209);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1208); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;29.14;1;Estanplaza Funchal (ap. 1208);0.0012;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1207); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;29.14;1;Estanplaza Funchal (ap. 1207);0.0012;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1206); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;29.14;1;Estanplaza Funchal (ap. 1206);0.0012;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1205); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 1205);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1204); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 1204);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1203); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;26.55;1;Estanplaza Funchal (ap. 1203);0.0011;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1202); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;26.55;1;Estanplaza Funchal (ap. 1202);0.0011;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1201); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;26.55;1;Estanplaza Funchal (ap. 1201);0.0011;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 1104); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 1104);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 809); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 809);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 803); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;26.55;1;Estanplaza Funchal (ap. 803);0.0011;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 710); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 710);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 509); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;30.63;1;Estanplaza Funchal (ap. 509);0.0013;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 508); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;29.14;1;Estanplaza Funchal (ap. 508);0.0012;Renda
08.706.065/0001-69;2017-06-30;4;Estanplaza Funchal (ap. 507); R. Funchal, 281 - Vila Olimpia, São Paulo - SP, 04551-060;29.14;1;Estanplaza Funchal (ap. 507);0.0012;Renda
