CNPJ_Fundo;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
01.235.622/0001-61;2017-09-29;2;Rua México nº 74, Centro, Rio de Janeiro;2017-08-21;420.59;Prédio Comercial;2.1E-05;0.0202
07.583.627/0001-61;2017-03-31;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2017-06-30;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2017-09-30;1;Não Aplicavel;1899-12-31;0;;0;0
07.583.627/0001-61;2017-12-31;1;Não Aplicavel;1899-12-31;0;;0;0
14.665.312/0001-29;2017-03-31;1;Marilia/SP Lote 12 Quadra P, Rua 04;2017-02-16;300;;1;
28.152.272/0001-26;2017-12-31;3;Não aplicável;1899-12-31;0;Não aplicável;0;0
