CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2017-03-31;3;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57222;238;Shopping Center;0.0295;0.1469;0.995921;;;;;;;
00.332.266/0001-31;2017-06-30;2;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57222;238;Shopping Center;0.026;0.09901;0.997321;;;;;;;
00.332.266/0001-31;2017-09-30;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57222;238;Shopping Center;0.029471;0.080188;0.998212;;;;;;;
00.332.266/0001-31;2017-12-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57222;238;Shopping Center;0.031417;0.064807;0.99826;;;;;;;
00.762.723/0001-28;2017-03-31;2;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;25677.405;1;Imóvel Comercial;0.0277;0;0.994815;;;;;;;
00.762.723/0001-28;2017-06-30;2;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;25677.405;1;Imóvel Comercial;0.039;0;0.995895;;;;;;;
00.762.723/0001-28;2017-09-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.048228;0;0.995906;;;;;;;
00.762.723/0001-28;2017-12-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.064304;0.028647;0.989569;;;;;;;
00.868.235/0001-08;2017-03-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.182056;;;;;;;
00.868.235/0001-08;2017-03-31;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.191;0.010817;0.817943;;;;;;;
00.868.235/0001-08;2017-06-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.224225;;;;;;;
00.868.235/0001-08;2017-06-30;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.191;0.011449;0.775775;;;;;;;
00.868.235/0001-08;2017-09-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.205289;;;;;;;
00.868.235/0001-08;2017-09-30;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.069485;0.782983;;;;;;;
