CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
01.235.622/0001-61;2017-03-31;1;Due Capri;Projeção "C" da  SQNW 307, do SHCNW, Brasília - DF;;204;6;Construção propia;0.0032;0.001
01.235.622/0001-61;2017-03-31;1;Due Murano;Projeção "D" da  SQNW 307, do SHCNW, Brasília - DF;;215;6;Construção propia;0.0033;0.001
01.235.622/0001-61;2017-03-31;1;Fusion;Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;;503;17;Construção propia;0.0054;0.0017
01.235.622/0001-61;2017-03-31;1;Vision;Bloco "F", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;;546;18;Construção propia;0.0066;0.0021
01.235.622/0001-61;2017-03-31;1;Le Quartier;Bloco "A", do conjunto "A", do Edifício "Fusion Work & Live" da quadra 01, do SH/Norte, Brasília - DF;;99;1;Construção propia;0.0011;0.004
01.235.622/0001-61;2017-03-31;1;Innovitá;Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ;;;;Aquisição de unidades prontas;0;0
01.235.622/0001-61;2017-03-31;1;Gift;Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ;;355;5;Aquisição de unidades prontas;0.0036;0.0011
01.235.622/0001-61;2017-03-31;1;Seasons;Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ;;59;1;Aquisição de unidades prontas;0.0005;0.0002
01.235.622/0001-61;2017-03-31;1;Riserva;Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES;;482;3;Aquisição de unidades prontas;0.0082;0.0026
01.235.622/0001-61;2017-03-31;1;Allegro;Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES;;207;2;Aquisição de unidades prontas;0;0
01.235.622/0001-61;2017-03-31;1;Dação Riserva;Vários;;106;1;n.a;0.001;0.0003
