CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2017-03-31;3;Via Parque Shopping;Comércio;0.856868;0.852857
00.332.266/0001-31;2017-03-31;3;Via Parque Shopping;Serviço;0.143132;0.142463
00.332.266/0001-31;2017-06-30;2;Via Parque Shopping;Comércio;0.876899;0.87455
00.332.266/0001-31;2017-06-30;2;Via Parque Shopping;Serviço;0.123101;0.122771
00.332.266/0001-31;2017-09-30;1;Via Parque Shopping;Comércio;0.944692;0.943003
00.332.266/0001-31;2017-12-31;1;Via Parque Shopping;Comércio;0.941324;0.939686
00.762.723/0001-28;2017-03-31;2;CTI;Serviço;0.963552;0.958556
00.762.723/0001-28;2017-06-30;2;CTI;Serviço;0.962241;0.958262
00.762.723/0001-28;2017-09-30;1;CTI;Serviço;0.962153;0.958214
00.762.723/0001-28;2017-12-31;1;CTI;Serviço;0.882098;0.872896
00.868.235/0001-08;2017-03-31;1;Hotel;Hotelaria;1;0.182056
00.868.235/0001-08;2017-03-31;1;ABS;Saude;1;0.817943
00.868.235/0001-08;2017-06-30;1;Hotel;Hotelaria;1;0.224225
00.868.235/0001-08;2017-06-30;1;ABS;Saude;1;0.775775
00.868.235/0001-08;2017-09-30;1;Hotel;Serviço;1;0.205289
00.868.235/0001-08;2017-09-30;1;ABS;Serviço;0.969976;0.759474
00.868.235/0001-08;2017-12-31;1;Hotel;Serviço;1;0.176412
00.868.235/0001-08;2017-12-31;1;ABS;Serviço;0.923575;0.920379
01.201.140/0001-90;2017-03-31;2;Grand Plaza Shopping;Comércio;0.909566;0.898046
01.201.140/0001-90;2017-06-30;2;Grand Plaza Shopping;Comércio;0.902952;0.894489
01.201.140/0001-90;2017-09-30;1;Grand Plaza Shopping;Comércio;0.902719;0.899532
01.201.140/0001-90;2017-12-31;1;Grand Plaza Shopping;Comércio;0.863865;0.860735
