CNPJ_Fundo;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
01.235.622/0001-61;2017-03-31;1;Lote 1 do PAL 47855 situado na Rua Dois de Dezembro, entre os números 63 e 71 e Lote 3 do PAL 47855 situado na Rua Irineu Bornhausen, na Freguesia da Gloria;8319.78;Nome: Flamengo - Dois de Dezembro;0.03;0.0019
01.235.622/0001-61;2017-06-30;1;Loteamento em Armação dos Búzios - RJ;8.11128e+006;fase de projeto;0.1638;0.0001
01.235.622/0001-61;2017-06-30;1;Gleba III da Rua de Acesso 2º Seguimento (Rua Projetada), em São Domingos, Niterói - RJ;27016.8;fase de projeto;0.1106;0.0001
01.235.622/0001-61;2017-12-29;2;Avenida Lauro Sodré n° 150, esquina com a Rua General Góis Monteiro, onde recebeo n° 125, com frente para a Rua General Severiano n° 201, na quadra formada por essasruas e a Rua da Passagem.;11409;N/A;0.1238;0.0194
01.235.622/0001-61;2017-12-29;2;Rua Clóvis Machado junto e antes do imóvel n° 30, entre a Avenida Nossa Senhora dos Navegantese a Rua Professor Almeida Cousin, com frente também para a Rua Abiail do Amaral Carneiro, lado ímpar.;4252;N/A;0.0506;0.0079
04.782.236/0001-88;2017-12-31;1;R. D. Francisca, 8300 - Dist. Indl. Joinville - SC;72387.2;Contrato Compra e Venda;0.013065;0.000166
07.583.627/0001-61;2017-03-31;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2017-06-30;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2017-09-30;1;Não Aplicavel;0;;0;0
07.583.627/0001-61;2017-12-31;1;Não Aplicavel;0;;0;0
11.326.746/0001-06;2017-09-29;1;Rua do Flautim, casa 286, Loteamento Residencial Parque das Araucárias - Campinas - SP;560.23;Rod. Anhanguera, Km 106+250 metros, sentido Campinas / Interior - Sumaré - SP;0.0227018818068707;0.133160544021815
12.804.013/0001-00;2017-12-31;2;Rodovia SC 401;1578.48;Aquisição de 50% da fração ideal de 1578,48 m2 de um Terreno, conforme Istrumento Particulat de Promessa de Compra e Venda da GCR Participações, datado de Dezembro de 2017.;0.5;0
14.074.706/0001-02;2017-12-29;2;CALIFORN;228508;Matricula 97.538 registro de imoveis de Campinas, valor R$ 2.282.609,00;0.5;
14.074.706/0001-02;2017-12-29;2;FLORESTA;292411;Matricula 93.839 do regitro de imoveis de Sumaré, valor R$ 6.675.501,00;0.25;
14.074.706/0001-02;2017-12-29;2;GUARA;23374.3;Matricula 113.557 do 2º serviço de registro de imoveis de Campinas, valor R$ 1.141.305,00;0.5;
14.074.706/0001-02;2017-12-29;2;HORTO;249444;Matricula 95.325 do regitro de imoveis de Sumaré, valor R$ 8.541.891,00;0.5;
14.074.706/0001-02;2017-12-29;2;IMACULAD;290400;Matricula 24.200 do regitro de imoveis Sorocaba, valor R$ 5.706.522,00;0.5;
14.074.706/0001-02;2017-12-29;2;LAGOA;282680;Matricula 150.817 do registro de imoveis de Campinas, valor R$ 5.326.087,00;0.5;
14.074.706/0001-02;2017-12-29;2;LOND 41;102026;Matricula 62.552 do resgitro de imoveis de Londrina, valor R$ 3.043.479,00;0.5;
14.074.706/0001-02;2017-12-29;2;LONDRINA;92289.6;Matricula 1042 do registro de imoveis de Londrina, valor R$ 2.282.607,00;0.5;
15.489.509/0001-17;2017-06-30;1;Avenida Imaúbas,Tubalina;9600;gleba 336c e 337;0.15;0.0636
15.489.509/0001-17;2017-06-30;1;BR-482 - Rua Maria Cristina;15626;Matricula 42.827;0.09;0.0366
15.489.509/0001-17;2017-09-29;1;Avenida Imaúbas,Tubalina;9600;gleba 336c e 337;0.15;0.0636
15.489.509/0001-17;2017-09-29;1;BR-482 - Rua Maria Cristina;15626;Matricula 42.827;0.09;0.0366
16.915.968/0001-88;2017-06-30;4;Gleba 47, Qt 30.027, Campinas-SP;103900;-;1;0.1672
16.915.968/0001-88;2017-12-31;4;Estrada Municipal BTV 250 - Boituva - SP;187234;Adquisição de gleba para desenvolvimento de condominio de casas;0.0890824855255831;0.0940546588150517
16.915.968/0001-88;2017-12-31;4;Rua João Sulinski, 225, Campinas - SP;45632;Adquisição de gleba para desenvolvimento de condominio de apartamntos;0.0197352702129909;0.0208368019319874
23.964.908/0001-10;2017-03-31;1;1. Terreno 1: Candeias - BA,  matrículas: 6052, 6053, 6054, 6055, 6056, 6057, 6058, 6059, 6060, 6061, 6062 e 6063 Endereço: 50km de Salvador.;0;1. Terreno 1: Candeias - BA,  matrículas: 6052, 6053, 6054, 6055, 6056, 6057, 6058, 6059, 6060, 6061, 6062 e 6063 Endereço: 50km de Salvador.;0.024;0.024
23.964.908/0001-10;2017-03-31;1;2. Terreno 2: Candeias - BA, matrícula 6044.  Endereço: 50km de Salvador.;0;2. Terreno 2: Candeias - BA, matrícula 6044.  Endereço: 50km de Salvador.;0.024;0.024
23.964.908/0001-10;2017-03-31;1;3. Terreno 3: Campo Grande - MS , matrícula 137.658, Endereço: Rodoanel Rodoviário BR 262.;0;3. Terreno 3: Campo Grande - MS , matrícula 137.658, Endereço: Rodoanel Rodoviário BR 262.;0.023;0.023
23.964.908/0001-10;2017-03-31;1;4. Terreno 4: Guarujá - SP, matrículas: 97.185, 97.186, 97.187, 97.188, 97.189, 97.190, 97.191.  Endereço: Guarujá Central Park, Jardim Belmar.;0;4. Terreno 4: Guarujá - SP, matrículas: 97.185, 97.186, 97.187, 97.188, 97.189, 97.190, 97.191.  Endereço: Guarujá Central Park, Jardim Belmar.;0.036;0.036
23.964.908/0001-10;2017-03-31;1;5. Terreno 5: Porangantu - GO, matrícula: 3.296. Endereço: Rua São Miguel do Araguaia, nº 242.;0;5. Terreno 5: Porangantu - GO, matrícula: 3.296. Endereço: Rua São Miguel do Araguaia, nº 242.;0.004;0.004
23.964.908/0001-10;2017-03-31;1;6.Terreno Comercial: Pilar do Sul - SP, matrícula: 603. Endereço: Rua Tenente Almeida, 368.;667;6.Terreno Comercial: Pilar do Sul - SP, matrícula: 603. Endereço: Rua Tenente Almeida, 368.;0.003;0.003
23.964.908/0001-10;2017-03-31;1;7. Terreno : Campo de Goytacazes - RJ, matrícula: 13.799, 13.800. Endereço: Silvio Basto Tavares, 341/351 e 329/339.;0;7. Terreno : Campo de Goytacazes - RJ, matrícula: 13.799, 13.800. Endereço: Silvio Basto Tavares, 341/351 e 329/339.;0.015;0.015
23.964.908/0001-10;2017-03-31;1;8. Terreno Rural: Pedro Velho / RN, matrícula: 468. Endereço: Carnaúba (Fazenda Lagoa das Vieiras).;85.3;8. Terreno Rural: Pedro Velho / RN, matrícula: 468. Endereço: Carnaúba (Fazenda Lagoa das Vieiras).;0.002;0.002
23.964.908/0001-10;2017-03-31;1;9. Terreno Rural: Pedro Velho / RN, matrícula: 300. Endereço: Cuité (Fazenda Barra do Cuité). Área: 120m²;120;9. Terreno Rural: Pedro Velho / RN, matrícula: 300. Endereço: Cuité (Fazenda Barra do Cuité). Área: 120m²;0.003;0.003
23.964.908/0001-10;2017-03-31;1;10. Terreno Rural: Pedro Velho / RN, matrícula: 320. Endereço: Cuité (Fazenda Lameiro).;107;10. Terreno Rural: Pedro Velho / RN, matrícula: 320. Endereço: Cuité (Fazenda Lameiro).;0.002;0.002
23.964.908/0001-10;2017-03-31;1;11. Terreno Rural: Nísia Floresta / RN, matrícula: 2.469. Endereço: Fazenda Cachoeira.;507;11. Terreno Rural: Nísia Floresta / RN, matrícula: 2.469. Endereço: Fazenda Cachoeira.;0.012;0.012
23.964.908/0001-10;2017-03-31;1;12. Terreno Rural: Espírito Santo / RN, matrícula: 35. Endereço: Fazenda Boa Esperança.;169.2;12. Terreno Rural: Espírito Santo / RN, matrícula: 35. Endereço: Fazenda Boa Esperança.;0.003;0.003
23.964.908/0001-10;2017-03-31;1;13. Terreno Rural: Nísia Floresta / RN, matrícula: 221. Endereço: Fazenda Cachoeira II.;750;13. Terreno Rural: Nísia Floresta / RN, matrícula: 221. Endereço: Fazenda Cachoeira II.;0.021;0.021
23.964.908/0001-10;2017-03-31;1;14. Terreno 8: Jacarepaguá - Rio de Janeiro - RJ, matrícula 161.009. Endereço: Estrada do Gabinal, nº 1336.;0;14. Terreno 8: Jacarepaguá - Rio de Janeiro - RJ, matrícula 161.009. Endereço: Estrada do Gabinal, nº 1336.;0.01;0
23.964.908/0001-10;2017-03-31;1;15: Terreno 9: Jacarepaguá - Rio de Janeiro - RJ, matrícula: 1.126. Endereço: Rua Estrada do Gabinal, nº 1284;0;15: Terreno 9: Jacarepaguá - Rio de Janeiro - RJ, matrícula: 1.126. Endereço: Rua Estrada do Gabinal, nº 1284;0.01;0
23.964.908/0001-10;2017-03-31;1;16. Terreno 10: São José dos Pinhais - PR, matrícula: 66.244. Endereço: Rotatória de confluência da Avenida Norte com a Rua Sebastião Souza Ramos - Campininha do Guaraituba;0;16. Terreno 10: São José dos Pinhais - PR, matrícula: 66.244. Endereço: Rotatória de confluência da Avenida Norte com a Rua Sebastião Souza Ramos - Campininha do Guaraituba;0.03;0
23.964.908/0001-10;2017-03-31;1;17. Terreno 11: Várzea Grande - MT, matrícula: 55.043. Endereço: Estrada da Guarita - Passagem da Conceição;0;17. Terreno 11: Várzea Grande - MT, matrícula: 55.043. Endereço: Estrada da Guarita - Passagem da Conceição;0.015;0
23.964.908/0001-10;2017-03-31;1;18. Terreno 12: Várzea Grande - MT, matrícula: 55.429. Endereço: Rodovia dos Imigrantes, altura do KM 25.;0;18. Terreno 12: Várzea Grande - MT, matrícula: 55.429. Endereço: Rodovia dos Imigrantes, altura do KM 25.;0.018;0
25.032.881/0001-53;2017-03-31;2;Residencial Nova Canaã, Trindade-Goias;250;44 lotes;0.0374;0.0328
25.032.881/0001-53;2017-06-30;2;Jardim Maria Madalena;200;150 lotes;0.0857;0.0777
25.032.881/0001-53;2017-06-30;2;Portal do lago I e II;250;30 lotes;0.0461;0.0417
26.269.251/0001-60;2017-06-30;1;Matricula 18993, lote 87 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;NA;0.201867;0.202451
26.269.251/0001-60;2017-06-30;1;Matricula 18994, lote 88 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;NA;0.201867;0.202451
26.269.251/0001-60;2017-06-30;1;Matricula 18995, lote 89 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1472.98;NA;0.202276;0.202861
26.269.251/0001-60;2017-06-30;1;Matricula 18996, lote 90 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1389.39;NA;0.192124;0.189786
26.269.251/0001-60;2017-06-30;1;Matricula 18997, lote 91 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;NA;0.201867;0.202451
26.269.251/0001-60;2017-09-29;1;Matricula 18993, lote 87 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;0.201867;0.202451
26.269.251/0001-60;2017-09-29;1;Matricula 18994, lote 88 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;0.201867;0.202451
26.269.251/0001-60;2017-09-29;1;Matricula 18995, lote 89 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1472.98;loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;0.202276;0.202861
26.269.251/0001-60;2017-09-29;1;Matricula 18996, lote 90 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1389.39;loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;0.192124;0.189786
26.269.251/0001-60;2017-09-29;1;Matricula 18997, lote 91 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;0.201867;0.202451
26.269.251/0001-60;2017-12-29;1;Matricula 18993, lote 87 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;NA;0.201867;0.202451
26.269.251/0001-60;2017-12-29;1;Matricula 18994, lote 88 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;NA;0.201867;0.202451
26.269.251/0001-60;2017-12-29;1;Matricula 18995, lote 89 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1472.98;NA;0.202276;0.202861
26.269.251/0001-60;2017-12-29;1;Matricula 18996, lote 90 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1389.39;NA;0.192124;0.189786
26.269.251/0001-60;2017-12-29;1;Matricula 18997, lote 91 da quadra L,  situado na cidade de Guariba, Estado de S.Paulo, loteamento Industrial, denominado PQ. Industrial Governador Mario Covas com frente para Av. José Bacio;1470;NA;0.201867;0.202451
26.502.810/0001-30;2017-09-29;1;Avenida Giovanii Battista Pirelli;5773.44;;0.0746;85.0935
26.502.810/0001-30;2017-09-29;1;Estrada Nova para Mauá esquina com a Avenida Marginal Cassaquera;67323.9;;0.8909;1016.972
26.502.810/0001-30;2017-09-29;1;Avenida Giovanii Battista Pirelli;2625;;0.0345;39.4336
26.502.810/0001-30;2017-12-29;1;Chácara Suiça;5773.44;Matrícula 48404;0.0745;7.4833
26.502.810/0001-30;2017-12-29;1;Estrada Nova para Mauá;67323.9;Matrícula 47255;0.8909;89.4343
26.502.810/0001-30;2017-12-29;1;Chácara Suiça;2625;Matrícula 48403;0.0345;3.4679
26.545.627/0001-11;2017-03-31;1;Estrada do Cajuru,  São José dos Campos - SP;9402.98;Matrícula nº 123.191, do Oficial de Registro de Imóveis e Anexos da Comarca de São José dos Campos:;0.139;73.4126
27.782.823/0001-72;2017-09-29;1;Rodovia Buritizeiro S Romão Km61, MG;1.89975e+007;Fazenda São Judas Tadeu;0.10997639825844;
27.782.823/0001-72;2017-09-29;1;Rua Araguaia, nºs 51,53 e 57, São Paulo;100;Matrícula 74.791, 5º Registro de Imóveis de São Paulo;0.0374696148862191;
27.782.823/0001-72;2017-09-29;1;Petrolina - Orla II;3740.68;Matrícula nº 53.596, 1º Registro de Imóveis de Petrolina;0.00248859224564388;
27.782.823/0001-72;2017-09-29;1;Petrolina - Orla II;3456.78;Matrícula nº 53.597, 1º Registro de Imóveis de Petrolina;0.00268247677695252;
27.782.823/0001-72;2017-09-29;1;Petrolina - Orla II;3862.14;Matrícula nº 53.598, 1º Registro de Imóveis de Petrolina;0.00289442329167619;
28.152.272/0001-26;2017-12-31;3;Não aplicável;0;Não aplicável;0;0
