CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
00.332.266/0001-31;2017-12-31;1;12/2017;0.03246;
00.762.723/0001-28;2017-03-31;2;03/2017;0.011287;0
00.762.723/0001-28;2017-06-30;2;06/2017;0.010604;
01.235.622/0001-61;2017-03-31;1;Janeiro;-0.33;-0.33
01.235.622/0001-61;2017-03-31;1;Fevereiro;0.0006;0.0006
01.235.622/0001-61;2017-03-31;1;Março;-0.08;-0.08
01.235.622/0001-61;2017-06-30;1;abril/17;0.000885;0.000885
01.235.622/0001-61;2017-06-30;1;maio/17;-0.002637;-0.002637
01.235.622/0001-61;2017-06-30;1;junho/17;0.00182;0.00182
01.235.622/0001-61;2017-09-29;2;julho/17;0.0041;0.0041
01.235.622/0001-61;2017-09-29;2;agosto/17;0.0114;0.0114
01.235.622/0001-61;2017-09-29;2;setembro/17;0.0007;0.0007
01.235.622/0001-61;2017-12-29;2;outubro/17;0.0043;0.0043
01.235.622/0001-61;2017-12-29;2;novembro/17;-0.0322;-0.0322
01.235.622/0001-61;2017-12-29;2;dezembro/17;0.0195;0.0195
01.497.954/0001-14;2017-03-31;1;03/2017;0.00278;0
01.497.954/0001-14;2017-06-30;1;06/2017;0.004966;
01.497.954/0001-14;2017-09-30;1;09/2017;0.004184;
01.601.918/0001-59;2017-09-30;1;09/2017;0.006535;
01.601.918/0001-59;2017-12-31;1;09/2017;0.005409;
01.636.325/0001-28;2017-03-31;1;03/2017;0.00462;
01.636.325/0001-28;2017-06-30;1;06/2017;0.008571;0.008571
01.636.325/0001-28;2017-09-30;1;09/2017;0.006828;0.006828
01.636.325/0001-28;2017-12-31;1;12/2017;0.011155;0.011155
01.657.856/0001-05;2017-03-31;1;MARÇO/2017;0.008077;0
01.657.856/0001-05;2017-06-30;1;JUNHO/2017;0.007686;0.007686
01.657.856/0001-05;2017-09-30;1;09/2017;0.007617;0.007617
01.657.856/0001-05;2017-12-31;1;12/2017;0.015204;0.015204
02.027.437/0001-44;2017-03-31;1;03/2017;0.005794;
02.027.437/0001-44;2017-06-30;1;06/2017;0.000477;
02.027.437/0001-44;2017-09-30;1;09/2017;0.005472;
02.027.437/0001-44;2017-12-31;1;09/2017;0.004221;
02.508.235/0001-14;2017-09-30;1;09/2017;0.005134;
02.508.235/0001-14;2017-12-31;1;12/2017;0.009329;
03.855.441/0001-63;2017-03-31;1;03/2017;0.040392;
03.855.441/0001-63;2017-06-30;1;06/2017;0.000394;
03.855.441/0001-63;2017-09-30;1;09/2017;0.031008;
03.855.441/0001-63;2017-12-31;1;12/2017;0.036674;
04.141.645/0001-03;2017-03-31;1;03/2017;0.00447;
04.141.645/0001-03;2017-06-30;2;06/2017;0.004629;0.004629
04.141.645/0001-03;2017-09-30;1;09/2017;0.004256;0.004256
04.141.645/0001-03;2017-12-31;1;12/2017;0.004148;0.004148
07.583.627/0001-61;2017-03-31;1;Não Aplicavel;0;0
07.583.627/0001-61;2017-06-30;1;Não Aplicavel;0;0
07.583.627/0001-61;2017-09-30;1;Não Aplicavel;0;0
07.583.627/0001-61;2017-12-31;1;Não Aplicavel;0;0
08.417.532/0001-30;2017-03-31;1;03/2017;0.002916;
08.417.532/0001-30;2017-06-30;1;06/2017;0.02954;
08.417.532/0001-30;2017-09-30;1;09/2017;0.022066;
08.417.532/0001-30;2017-12-31;1;12/2017;0.078155;
09.350.920/0001-04;2017-09-30;1;09/2017;0.007789;
09.350.920/0001-04;2017-12-31;1;12/2017;0.007752;
10.456.799/0001-89;2017-03-31;1;03/2017;-0.00218;0
10.456.799/0001-89;2017-06-30;1;06/2017;0.003664;
10.456.799/0001-89;2017-09-30;1;09/2017;0.01206;
10.456.799/0001-89;2017-12-31;1;12/2017;0.05373;
10.456.810/0001-00;2017-03-31;4;03/2017;0.004823;
10.456.810/0001-00;2017-06-30;4;06/2017;0.003939;
10.456.810/0001-00;2017-09-30;1;09/2017;0.00447;
10.456.810/0001-00;2017-12-31;1;12/2017;0.004211;
11.268.335/0001-01;2017-03-31;2;01/2017;0.0003;0.0003
11.268.335/0001-01;2017-03-31;2;02/2017;0.000615;0.000615
11.268.335/0001-01;2017-03-31;2;03/2017;-0.000131701848674948;-0.000131701848674948
11.268.335/0001-01;2017-06-30;1;04/2017;0.0001;0.0001
11.268.335/0001-01;2017-06-30;1;05/2017;-0.000598;-0.000598
11.268.335/0001-01;2017-06-30;1;06/2017;-0.001347;-0.001347
11.268.335/0001-01;2017-12-29;1;10/2017;0.00108;0.00108
11.268.335/0001-01;2017-12-29;1;11/2017;0.000378;0.000378
11.268.335/0001-01;2017-12-29;1;12/2017;-0.248526;-0.248526
11.281.322/0001-72;2017-03-31;2;01/2017;0.003099;0.003099
11.281.322/0001-72;2017-03-31;2;02/2017;0.002815;0.002815
11.281.322/0001-72;2017-03-31;2;03/2017;0.002658;0.002658
11.281.322/0001-72;2017-06-30;2;04/2017;0.002605;0.002605
11.281.322/0001-72;2017-06-30;2;05/2017;0.00263;0.00263
11.281.322/0001-72;2017-06-30;2;06/2017;-0.002117;-0.002117
11.281.322/0001-72;2017-12-29;1;10/2017;-0.000194;-0.000194
11.281.322/0001-72;2017-12-29;1;11/2017;0.000783;0.000783
11.281.322/0001-72;2017-12-29;1;12/2017;-0.371618;-0.371618
12.804.013/0001-00;2017-03-31;1;03/2017;-0.00188;0
12.804.013/0001-00;2017-06-30;1;06/2017;-0.002447;
12.804.013/0001-00;2017-09-30;1;09/2017;-0.00523;
12.804.013/0001-00;2017-12-31;2;12/2017;0.816772;
12.948.291/0001-23;2017-03-31;3;03/2017;0.005585;
12.948.291/0001-23;2017-06-30;3;06/2017;0.006084;
12.948.291/0001-23;2017-09-30;1;09/2017;0.006083;
12.948.291/0001-23;2017-12-31;1;12/2017;0.006262;
13.500.306/0001-59;2017-03-31;4;03/2017;0.006384;
13.500.306/0001-59;2017-06-30;4;06/2017;0.006434;
13.500.306/0001-59;2017-09-30;3;09/2017;-0.005571;
13.500.306/0001-59;2017-12-31;2;12/2017;0.000801;
13.652.006/0001-95;2017-09-29;1;out/16;0.0189;0.0042
13.652.006/0001-95;2017-12-31;1;out/16;0.0189;0.0042
13.873.457/0001-52;2017-03-31;1;Jan/2017;0.00769900712431827;0.00675105992644576
13.873.457/0001-52;2017-03-31;1;Fev/2017;0.00994551134604313;0.00796040494234118
13.873.457/0001-52;2017-03-31;1;Mar/2017;0.0107731799934997;0.00817299919772597
13.873.457/0001-52;2017-06-30;1;abril/2017;0.008801221391936;0.00668070063734354
13.873.457/0001-52;2017-06-30;1;maio/2017;0.0105139188212842;0.00801496339949378
13.873.457/0001-52;2017-06-30;1;junho/2017;0.00954808471937743;0.00712922232507354
13.873.457/0001-52;2017-09-30;1;Jul/2017;0.0118470061654657;0.00682543097369522
13.873.457/0001-52;2017-09-30;1;Ago/2017;0.00982293750876383;0.00695912332047525
13.873.457/0001-52;2017-09-30;1;Set/2017;0.00919321509991828;0.00682500582146344
13.873.457/0001-52;2017-12-31;2;12/2017;0.00824;0.006825
14.733.211/0001-48;2017-03-31;1;03/2017;0.00574;0
14.733.211/0001-48;2017-06-30;1;06/2017;0.006335;0.006335
