CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2017-03-31;1;Imóveis para renda em construção;Miguel Couto;Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.;Não se aplica
01.235.622/0001-61;2017-03-31;1;Imóveis para renda em construção;Metropolitan;Atraso no serviço de execução de drywall.;Não se aplica
01.235.622/0001-61;2017-06-30;1;Imóveis para renda em construção;Miguel Couto;Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.;Não se aplica
01.235.622/0001-61;2017-09-29;2;Imóveis para venda em construção;Rua José Alexandre Buaiz, 230, Enseada do Suá, Vitória - ES;Não há atrasos relacionados a está obra;Os custos estão dentro do orçado
01.235.622/0001-61;2017-09-29;2;Imóveis para renda em construção;Miguel Couto;Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.;Não se aplica
01.235.622/0001-61;2017-12-29;2;Imóveis para renda em construção;Miguel Couto;Obra foi embargada pelo IRPH por um entendimento de que a obra não estava de acordo com o projeto.;Não se aplica
01.235.622/0001-61;2017-12-29;2;Imóveis para venda em construção;Rua José Alexandre Buaiz, 230, Enseada do Suá, Vitória - ES;Não há atrasos relacionados a está obra;Os custos estão dentro do orçado
03.683.056/0001-86;2017-12-31;1;Imóveis para renda em construção;ED MORUMBI PARK;Não há;Não há
03.855.441/0001-63;2017-03-31;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2017-06-30;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2017-09-30;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2017-12-31;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
07.583.627/0001-61;2017-03-31;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2017-06-30;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2017-09-30;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2017-12-31;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2017-12-31;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
11.044.355/0001-07;2017-03-31;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
11.044.355/0001-07;2017-06-30;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
11.044.355/0001-07;2017-09-30;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
11.044.355/0001-07;2017-12-31;2;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
12.681.340/0001-04;2017-03-31;1;Imóveis para renda em construção;Ag. Raposo;imóvel em processo de orçamento;não há
12.681.340/0001-04;2017-03-31;1;Imóveis para renda em construção;Ag. Parque Boturussu;imóvel acabado, pendente apenas a vistoria do locatário;não há
12.681.340/0001-04;2017-06-30;1;Imóveis para renda em construção;Ag. Raposo;imóvel em processo de orçamento;não há
12.681.340/0001-04;2017-06-30;1;Imóveis para renda em construção;Ag. Parque Boturussu;imóvel acabado, pendente apenas a vistoria do locatário;não há
12.681.340/0001-04;2017-09-30;1;Imóveis para renda em construção;Ag. Raposo;imóvel em processo de orçamento;não há
12.681.340/0001-04;2017-12-31;1;Imóveis para renda em construção;Ag. Raposo;imóvel em processo de orçamento;não há
12.811.222/0001-73;2017-06-30;1;Imóveis para renda em construção;Imóvel 4;Não se aplica;Não se aplica
12.811.222/0001-73;2017-06-30;1;Imóveis para renda em construção;Imóvel 5;Não se aplica;Não se aplica
12.811.222/0001-73;2017-06-30;1;Imóveis para renda em construção;Imóvel 1;Não se aplica;Não se aplica
12.811.222/0001-73;2017-06-30;1;Imóveis para renda em construção;Imóvel 3;Não se aplica;Não se aplica
12.811.222/0001-73;2017-06-30;1;Imóveis para renda em construção;Imóvel 2;Não se aplica;Não se aplica
12.811.222/0001-73;2017-09-29;1;Imóveis para renda em construção;Imóvel 3;Não se aplica;Não se aplica
12.811.222/0001-73;2017-09-29;1;Imóveis para renda em construção;Imóvel 4;Não se aplica;Não se aplica
12.811.222/0001-73;2017-09-29;1;Imóveis para renda em construção;Imóvel 2;Não se aplica;Não se aplica
12.811.222/0001-73;2017-09-29;1;Imóveis para renda em construção;Imóvel 1;Não se aplica;Não se aplica
12.811.222/0001-73;2017-09-29;1;Imóveis para renda em construção;Imóvel 5;Não se aplica;Não se aplica
12.811.222/0001-73;2017-12-29;1;Imóveis para renda em construção;Imóvel 3;Não se aplica;Não se aplica
12.811.222/0001-73;2017-12-29;1;Imóveis para renda em construção;Imóvel 4;Não se aplica;Não se aplica
12.811.222/0001-73;2017-12-29;1;Imóveis para renda em construção;Imóvel 2;Não se aplica;Não se aplica
12.811.222/0001-73;2017-12-29;1;Imóveis para renda em construção;Imóvel 5;Não se aplica;Não se aplica
12.811.222/0001-73;2017-12-29;1;Imóveis para renda em construção;Imóvel 1;Não se aplica;Não se aplica
12.978.943/0001-72;2017-03-31;3;Imóveis para renda em construção;Edifício Administrativo Natura São Paulo;NA;NA
12.978.943/0001-72;2017-06-30;1;Imóveis para renda em construção;Edifício Administrativo Natura São Paulo;NA;NA
