CNPJ_Fundo_Classe;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
40.067.483/0001-66;2025-03-31;1;;;;;;;;;0;0;3685194.18;3685194.18;-1295888.19;-1295888.19;;;;;;;;;2389305.99;2389305.99;;;;;;;190687.39;0;190687.39;0;2579993.38;2389305.99;;;;;;;;;0;0;;;-70881.8;-69773.13;;;;;;;;;;;;;;;-168372.84;-163303.21;;;;;;;;;;;;;0;-111475;-239254.64;-344551.34;2340738.74;2044754.65;2044754.65;1942516.9175;;;1942516.9175;0;1942516.9175;0.95
40.102.445/0001-05;2025-03-31;1;0;0;0;0;0;0;0;0;0;0;147375.86;147375.86;0;0;0;0;0;0;0;0;73380.22;73380.22;220756.08;220756.08;59737.56;59737.56;0;0;0;0;0;0;59737.56;59737.56;280493.64;280493.64;17188.27;17188.27;0;0;0;0;0;0;17188.27;17188.27;0;0;-242838.47;-242838.47;0;0;0;0;0;0;0;0;0;0;-12750;-25500;0;0;-2108.2;0;-89;-89;0;0;0;0;-1450;0;0;0;-23;-23;-6291.1;-6291.1;-265549.77;-274741.57;32132.14;22940.34;-3977357.42;0;;0;0;0;0;0
40.189.596/0001-34;2025-03-31;1;0;0;0;0;0;0;0;0;0;0;5014223.04;5110696.71;-119751.62;0;0;0;0;0;0;0;0;0;4894471.42;5110696.71;0;0;0;0;0;0;0;0;0;0;4894471.42;5110696.71;0;246556.92;140407.06;0;0;0;0;0;140407.06;246556.92;0;0;-286524.1;-297173.24;0;0;0;-54582.84;0;0;-33204.21;-33204.21;0;0;-30455.78;0;0;0;-19947.94;0;0;0;0;-19598.21;0;0;0;0;0;0;0;0;-81647.57;-89367.67;-451779.6;-493926.17;4583098.88;4863327.46;4863327.46;4620161.087;;0;4863327.457;-4390304.1;473023.357;1
40.225.262/0001-79;2025-03-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299.3;299.3;0;0;0;0;0;0;299.3;299.3;;;-43659.3;-43661.59;;;-21000;-14000;;;;;0;0;0;-1625;;;-7589.49;-7589.49;;;0;0;;;0;0;;;0;0;-11962.31;-11962.31;-84211.1;-78838.39;-83911.8;-78539.09;-78539.09;0;;0;0;0;0;0
40.265.671/0001-07;2025-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;6611856.95;17141433.15;19909031.45;0;740870.35;0;-4606796.22;0;22654962.53;17141433.15;22654962.53;17141433.15;437565.09;406232.09;0;0;0;0;0;0;437565.09;406232.09;;;-1777957.93;-1859392.42;0;0;0;0;0;0;0;0;0;0;-55278.81;0;0;0;-48407.67;-46938.06;0;0;-21969.16;-22212;0;0;0;0;0;0;0;0;-32378;-12707.5;-1935991.57;-1941249.98;21156536.05;15606415.26;15606415.26;14826094.497;;;14487693.567;-9658462.38;4829231.187;0.928317
40.343.867/0001-64;2025-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;109768.49;109768.49;392817.24;;-66265.05;-66265.05;;;436320.68;43503.44;436320.68;43503.44;8708.89;8227.11000000016;;;;;;;8708.89;8227.11;;;-55000;-66033;-88014.21;;-108.2;-108.2;;;;;;;;;;;-10560.7;-9219.08;-68.63;;;;;;;;;;;;-11092.21;-108.7;-164843.95;-75468.98;280185.62;-23738.43;-23738.43;0;;;0;0;0;0
40.346.049/0001-15;2025-03-31;1;;;;;;;;;0;0;7426817.34;7129637.19;-563464;-563464;;;;;0;;;;6863353.34;6566173.19;;;;;;;;;0;0;6863353.34;6566173.19;575877.22;575877.22;;;;;;;575877.22;575877.22;;;-679214.54;-906765.37;;;-45000;-45000;;;;;-81793.49;-91383.62;-6927.48;-14000;;;-73868.35;-66417.81;;;;;;;-2478.43;-4080;;;;;-6057898.6;-5742124.28;-6947180.89;-6869771.08;492049.67;272279.33;272279.33;258665.3635;;;258665.3635;0;258665.3635;0.95
40.413.979/0001-44;2025-03-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;619039900.35;31759908.18;-541019674.7;0;0;0;0;0;78020225.65;31759908.18;78020225.65;31759908.18;0;0;1610716.8;950957.54;0;0;1008126.32;0;2618843.12;950957.54;;;-5688455.89;-1887092.76;-1053863.73;-1053863.73;-43630.74;0;0;0;0;0;-98929.81;-32818.99;-44256.56;0;0;0;-160360.04;-64280.96;0;0;-38610.02;-38610.02;0;0;-8245;0;0;0;-68154.99;-56058;-21994.16;0.01;-7226500.94;-3132724.45;73412567.83;29578141.27;29578141.27;28099234.2065;;0;24494552.9965;-16329702;8164850.9965;0.82813
40.414.001/0001-05;2025-03-31;1;0;0;0;0;0;0;;;0;0;1449645.85;1449645.85;0;0;0;0;0;0;0;0;-1333113.77;-1316814.1;116532.08;132831.75;0;0;0;0;0;0;0;0;0;0;116532.08;132831.75;8386.06;8386.06;0;0;0;0;0;0;8386.06;8386.06;0;0;-63384.27;-63384.27;0;0;0;0;0;0;0;0;0;0;-11112.2;-23207.19;0;0;-40096.96;-37725.25;0;0;0;0;0;0;-1500;0;0;0;-202;-202;-43359.1;-43359.1;-159654.53;-167877.81;-34736.39;-26660;-549186.37;0;;0;0;0;0;0
40.575.940/0001-23;2025-03-31;1;;;;;;;;;0;0;5630288.93;5736654.68;;;809646.82;400838.83;;;;;-304951.93;-25046.73;6134983.82;6112446.78;28985.72;61740.54;;;;;-2511220.71;-1309684.29;-2482234.99;-1247943.75;3652748.83;4864503.03;107043.36;113071.8;;;;;;;107043.36;113071.8;;;-470889.53;-492406.5;;;;;;;;-51849.69;-7091.57;-7091.57;-5296.02;;;;-29709.63;;;;-125928.86;-125993.36;;;;;;;;;-56470.01;-68545.93;-695385.62;-745887.05;3064406.57;4231687.78;4231687.78;4020103.391;;;3695964.301;-2463976.2;1231988.101;0.873402
