CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Outras_Caracteristicas_Relevantes;Area;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
00.868.235/0001-08;2025-03-31;1;Rua Primeiro de Janeiro, 100;Terreno;3950;1;0
01.235.622/0001-61;2025-03-31;1;Av. Vereador Hermínio Moreira - Itaboraí, RJ;Itaboraí;20000;0;0
01.235.622/0001-61;2025-03-31;1;Rodovia Darly Santos - Vila Velha - ES;Green Village;477000;0;0
01.235.622/0001-61;2025-03-31;1;Praia Rasa, Búzios - RJ;Aretê - Toriba I;11537;0;0
01.235.622/0001-61;2025-03-31;1;Praia Rasa, Búzios - RJ;Aretê - Toriba Oeste;15039;0;0
01.235.622/0001-61;2025-03-31;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase I;20471;0;0
01.235.622/0001-61;2025-03-31;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase II;5274;0;0
01.235.622/0001-61;2025-03-31;1;Praia Rasa, Búzios - RJ;ARETÊ - TORIBA SUL;6287.47;0;0
01.235.622/0001-61;2025-03-31;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase III;4229;0;0
01.235.622/0001-61;2025-03-31;1;Praia Rasa, Búzios - RJ;Aretê - Vista Ybirá;3870.28;0;0
01.235.622/0001-61;2025-03-31;1;Praia Rasa, Búzios - RJ;Aretê - Ybirá Fase IV;4349;0;0
01.235.622/0001-61;2025-03-31;1;Rua José Higino n° 416 - Tijuca, RJ;Homem de Melo - Tijuca;9430;0;0
01.235.622/0001-61;2025-03-31;1;Avenida Lineu de Paula Machado, 696/708 - Lagoa, RJ;Lineu de Paula Machado;249.84;0;0
01.235.622/0001-61;2025-03-31;1;Rua Fernandes Guimarães, nºs 39 e 43 e Rua Arnaldo Quintela nºs, 24, 26, 30 e 32;Arnaldo Quintela;1635.64;0;0
01.235.622/0001-61;2025-03-31;1;Avenida Epitácio pessoa, 3744 e 3800;Epitácio Pessoa, 3744 e 3800;952.33;0;0
01.235.622/0001-61;2025-03-31;1;Rua Visconde de Pirajá, 484 e 486;Visconde de Pirajá;360;0;0
01.235.622/0001-61;2025-03-31;1;Rua Barão da Torre, nº 662;Barão da Torre;287.5;0;0
01.235.622/0001-61;2025-03-31;1;Fernandes Guimarães, 75, 79 e 81;Fernandes Guimarães;656.24;0;0
01.235.622/0001-61;2025-03-31;1;Alberto de Campos, 100;Alberto de Campos;160;0;0
01.235.622/0001-61;2025-03-31;1;Sorocaba, 420, 422 e 436;Sorocaba;949.8;0;0
01.235.622/0001-61;2025-03-31;1;Rua do Russel, no 632, Glória, Rio de Janeiro - RJ;Hotel Gloria;9066;0;0
01.235.622/0001-61;2025-03-31;1;R. Barão da Torre, 662 - Ipanema;Barao Da Torre, 662;287.5;0;0
01.235.622/0001-61;2025-03-31;1;Av. das Américas - Barra da Tijuca - RJ;Extra Barra;122350;0;0
01.235.622/0001-61;2025-03-31;1;Av. Epitácio Pessoa, 3744 - 3800 - Ipanema - RJ;Epitácio Pessoa;952.33;0;0
01.235.622/0001-61;2025-03-31;1;R. Prudente de Morais, 589 - Ipanema - RJ;Prudente De Morais, 589;5266;0;0
01.235.622/0001-61;2025-03-31;1;R. Tonelero, 61 - Copacabana - RJ;Rua Tonelero, 61;441.78;0;0
01.633.741/0001-72;2025-03-31;1;Rua Julio Gonzales,  132;Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia. Os imóveis não foram adquiridos em regime de condomínio. Não há prazo para construção de empreendimento, pois, as construções estão concluídas.;3490;1;0
05.437.916/0001-27;2025-03-31;1;Rodovia Anhanguera, s/n km 17,5;Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.;61543.5;0.717347;0
05.437.916/0001-27;2025-03-31;1;Rua Sargento Aquino, 136;Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.;6172.5;0.078725;0
05.437.916/0001-27;2025-03-31;1;Rua Comandante Vergueiro da Cruz, 206;Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.;6172.5;0.095311;0
05.437.916/0001-27;2025-03-31;1;Av. Interlagos, 4455;Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.;6305.75;0.108617;0
10.456.799/0001-89;2025-03-31;1;Av. Das Indústrias, 1587, Bairro São João, Porto Alegre-RS. Quadra A, lote 1 ao 5 e Quadras B ao G, lotes 1.;Nenhuma;272389.28;0;0
10.456.799/0001-89;2025-03-31;1;Av. Veríssimo de Amaral, 320, Bairro Passo d'Areia, Porto Alegre-RS. Quadra G.;Nenhuma;22269.82;0;0
10.456.799/0001-89;2025-03-31;1;Rua Antônio Carlos Berta, 345, Bairro Boa Vista, Porto Alegre-RS. Quadra G.;Nenhuma;16837.79;0;0
10.456.799/0001-89;2025-03-31;1;Av. Veríssimo de Amaral, 50, Bairro Passo d'Areia, Porto Alegre-RS. Quadra I.;Nenhuma;9068.73;0;0
10.456.799/0001-89;2025-03-31;1;Av. Senador Tarso Dutra, 735, Bairro Petropolis, Porto Alegre-RS. Quadra C, lote 1.;Nenhuma;16618.56;0;0
10.456.799/0001-89;2025-03-31;1;Av. Senador Tarso Dutra, 495, Bairro Petropolis, Porto Alegre-RS. Quadra H, lote 1A.;Nenhuma;2216.43;0;0
10.456.799/0001-89;2025-03-31;1;Mário Leitão, 150, Bairro Petropolis, Porto Alegre-RS. Quadra H, lote 3A.;Nenhuma;6034.29;0;0
10.456.799/0001-89;2025-03-31;1;Av. Veríssimo do Amaral, 37 , Bairro Passo d'Areia, Porto Alegre-RS. Quadra 154, lote 1 ao 3.;Nenhuma;1153.19;0;0
