CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
13.320.290/0001-00;2025-03-31;1;Avenida Francisco Roveri, S/n°, Sem Complemento, Parque Almerinda Pereira Chaves, Jundiaí/SP, Brasil, 13212-541;2025-02-24;108557;Direito de Propriedade;0;0
13.320.290/0001-00;2025-03-31;1;Avenida Luiz Gushiken, S/n°, Sem Complemento, Fazenda Grande, Jundiaí/SP, Brasil, 13212-437;2025-02-24;27093.3;Direito de Propriedade;0;0
16.915.968/0001-88;2025-03-31;1;Rua Luís Gemin, Bairro Descampado, Campinas - SP;2025-03-27;177057;Não possui;0.917143;0.013834
