CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Tiê Residencial;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;All - Jardim Oceânico;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Nurban;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Zenture;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Arete Toriba - Toriba Sudoeste;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Lineu 708;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;Glória Residencial;N.A.;N.A.
01.235.622/0001-61;2025-03-31;1;Imóveis para venda em construção;S Design;N.A.;N.A.
08.417.532/0001-30;2025-03-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
11.728.688/0001-47;2025-03-31;1;Imóveis para renda em construção;-;;
12.989.974/0001-29;2025-03-31;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas;O FII PM não arca com custo de construção.
13.584.584/0001-31;2025-03-31;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;The Gallery;N.A.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
14.721.889/0001-00;2025-03-31;1;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
15.461.076/0001-91;2025-03-31;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2025-03-31;1;Imóveis para renda em construção;19 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2025-03-31;1;Imóveis para renda em construção;51 Unidades Master no Hotel;;
15.461.076/0001-91;2025-03-31;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
